stat,pvalue,corrected_pvalue,significant,region
0.12236407306693284,0.005886742392836415,0.049951997551699066,True,L-Cingulate_Cortex_Area_24a
0.05562960752813599,0.028438769587928032,0.049951997551699066,True,L-Cingulate_Cortex_Area_24a_prime
0.14541805147514336,0.0026531796700107785,0.049951997551699066,True,L-Cingulate_Cortex_Area_24b
0.05171365781474141,0.03192106790481718,0.049951997551699066,True,L-Cingulate_Cortex_Area_24b_prime
0.04790843797819485,0.03266727468700771,0.049951997551699066,True,L-Cingulate_Cortex_Area_29a
0.04774190540406696,0.03573501368045767,0.049951997551699066,True,L-Cingulate_Cortex_Area_29b
0.04227042731663204,0.038388193350468454,0.049951997551699066,True,L-Cingulate_Cortex_Area_29c
0.029059427857907334,0.05439018323522096,0.0629182607459699,False,L-Cingulate_Cortex_Area_30
0.06502012543132601,0.022220379736340272,0.049951997551699066,True,L-Cingulate_Cortex_Area_32
0.05009176257256701,0.03349639333388608,0.049951997551699066,True,L-Primary_Auditory_Cortex
0.04030081888246677,0.03888566453859547,0.049951997551699066,True,L-Secondary_Auditory_Cortex_Dorsal_Part
0.03945998047820296,0.03896857640328331,0.049951997551699066,True,L-Secondary_Auditory_Cortex_Ventral_Part
0.050916375942260124,0.033413481469198245,0.049951997551699066,True,L-Dorsolateral_Orbital_Cortex
0.08444947036235614,0.01600198988475251,0.049951997551699066,True,L-Frontal_Cortex_Area_3
0.012202605499082126,0.06442251886244922,0.0722576900754498,False,L-Frontal_Association_Cortex
0.008342899699531683,0.07304535278998425,0.07977321423116701,False,L-Insular_Cortex
0.0925616939050129,0.012519691567863362,0.049951997551699066,True,L-Lateral_Orbital_Cortex
0.05058050796366482,0.028853328911367215,0.049951997551699066,True,L-Lateral_Parietal_Association_Cortex
0.17729412178913778,0.0019069728878202473,0.049951997551699066,True,L-Primary_Motor_Cortex
0.08503572620064449,0.015919078020064672,0.049951997551699066,True,L-Secondary_Motor_Cortex
0.026533845581538984,0.05571677307022636,0.06378609882522465,False,L-Medial_Orbital_Cortex
0.052998656146192,0.031755244175441504,0.049951997551699066,True,L-Medial_Parietal_Association_Cortex
0.05023194873875722,0.03258436282231987,0.049951997551699066,True,L-Parietal_Cortex_Posterior_Area_Rostral_Part
0.049695600893824375,0.03208689163419285,0.049951997551699066,True,L-Primary_Somatosensory_Cortex
0.07700052906916564,0.017991874637260593,0.049951997551699066,True,L-Primary_Somatosensory_Cortex_Barrel_Field
0.04673924831189939,0.03449133571014012,0.049951997551699066,True,L-Primary_Somatosensory_Cortex_Dysgranular_Zone
0.031567733232802944,0.0481717933836332,0.05681050405121483,False,L-Primary_Somatosensory_CortexForelimb_Region
0.04495958408214455,0.034325511980764445,0.049951997551699066,True,L-Primary_Somatosensory_Cortex_Hindlimb_Region
0.13947145689841095,0.0028190033993864523,0.049951997551699066,True,L-Primary_Somatosensory_Cortex_Jaw_Region
0.04943343051163658,0.033413481469198245,0.049951997551699066,True,L-Primary_Somatosensory_Cortex_Shoulder_Region
0.05600455159037516,0.02984827128762126,0.049951997551699066,True,L-Primary_Somatosensory_Cortex_Trunk_Region
0.05256794450182809,0.030179918746372606,0.049951997551699066,True,L-Primary_Somatosensory_Cortex_Upper_Lip_Region
-0.018035105052158457,0.11267722411077025,0.11617651678501778,False,L-Secondary_Somatosensory_Cortex
-0.002403641846628978,0.09194925793881105,0.09753084228653441,False,L-Temporal_Association_Cortex
0.052783625947620344,0.032252715363568524,0.049951997551699066,True,L-Primary_Visual_Cortex
0.09188859724928233,0.009866511897852582,0.049951997551699066,True,L-Primary_Visual_Cortex_Binocular_Area
0.02618791699438127,0.05488765442334799,0.06327326829358171,False,L-Primary_Visual_Cortex_Monocular_Area
0.013716375584219166,0.07329408838404775,0.07978241751968476,False,L-Secondary_Visual_CortexLateral_Area
0.056761436346729525,0.028853328911367215,0.049951997551699066,True,L-Secondary_Visual_Cortex_Mediolateral_Area
0.05818732476293131,0.02512229500041456,0.049951997551699066,True,L-Secondary_Visual_Cortex_Mediomedial_Area
0.04241707502460382,0.03946604759141033,0.05020202222355643,False,L-Ventral_Orbital_Cortex
0.010985196514808566,0.06931431887903158,0.07645300288318434,False,L-Caudomedial_Entorhinal_Cortex
0.06328455814484553,0.026780532294171294,0.049951997551699066,True,L-Dorsal_Intermediate_Entorhinal_Cortex
-0.01781531038457478,0.11599369869828373,0.11885774064145123,False,L-Dorsolateral_Entorhinal_Cortex
0.05032118192802782,0.03208689163419285,0.049951997551699066,True,L-Medial_Entorhinal_Cortex
0.049076611494556784,0.034325511980764445,0.049951997551699066,True,L-Ventral_Intermediate_Entorhinal_Cortex
0.052284131074558364,0.029267888234806402,0.049951997551699066,True,L-Claustrum
0.050796953743499434,0.033413481469198245,0.049951997551699066,True,L-Dorsal_Claustrum
0.04769550762327481,0.032833098416383384,0.049951997551699066,True,L-Posterolateral_Cortical_Amygdaloid_Area
0.05211719127891247,0.03233562722825637,0.049951997551699066,True,L-Ventral_Claustrum
-0.014207674857257034,0.10471768510073791,0.10958758387004423,False,L-Hippocampus
0.06402495679502797,0.024210264488848353,0.049951997551699066,True,L-Dorsal_Tenia_Tecta
0.03223132015799445,0.047508498466130505,0.05633150532412617,False,L-Ectorhinal_Cortex
0.04939935161751775,0.032833098416383384,0.049951997551699066,True,L-Parasubiculum
0.014377042882409239,0.06516872564463974,0.07260408360409529,False,L-Perirhinal_Cortex
0.05027847672721414,0.03158942044606583,0.049951997551699066,True,L-Presubiculum
-0.037210748836458016,0.1557913937484454,0.15769128879415814,False,L-Piriform_Cortex
