ROI	structure	N57437	N57442	N57446	N57447	N57449	N57451	N57496	N57498	N57500	N57502	N57504	N57513	N57515	N57518	N57520	N57522	N57546	N57548	N57550	N57552	N57554	N57559	N57580	N57582	N57584	N57587	N57590	N57692	N57694	N57700	N57702	N57709	N58302	N58303	N58305	N58309	N58310	N58344	N58346	N58350	N58355	N58359	N58361	N58394	N58396	N58398	N58400	N58402	N58404	N58406	N58408	N58477	N58500	N58510	N58512	N58514	N58516	N58604	N58606	N58608	N58611	N58613	N58706	N58708	N58712	N58214	N58215	N58216	N58217	N58218	N58219	N58221	N58222	N58223	N58224	N58225	N58226	N58228	N58229	N58230	N58231	N58232	N58633	N58634	N58635	N58636	N58649	N58650	N58651	N58653	N58654	N58714	N58740	N58734	N58792	N58784	N58790	N58779	N58749	N58788	N58794	N58733	N58655	N58735	N58780	N58747	N58751	N58745	N58742	N58732	N58935	N59003	N58819	N58909	N58919	N58889	N59010	N58859	N58917	N58815	N58997	N58999	N58881	N58853	N58995	N58877	N58883	N58885	N58906	N58821	N58855	N58861	N58857	N58851	N58887	N58879	N58829	N58913	N58831	N58941	N58813	N58952	N59022	N59026	N59033	N59035	N59039	N59041	N59065	N59066	N59072	N59076	N59078	N59080	N59097	N59099	N59109	N59116	N59118	N59120	N58612	N59136	N59140	N58946	N59141	N58915	N59005	N58954	N58948	N58610	N60103	N60062	N60101	N60056	N60088	N60064	N60070	N60093	N60097	N60095	N60068	N60072	N60058	N60092	N60060	N60188	N60190	N60192	N60194	N60198	N60219	N60221	N60223	N60225	N60229	N60231	N60167	N60133	N60200	N60131	N60139	N60163	N60159	N60157	N60127	N60161	N60169	N60137	N60129
0	Exterior	0.3956551	0.3886894	0.392502	0.360206	0.3865037	0.3500362	0.3493397	0.3726528	0.3602842	0.3799431	0.3822812	0.3822146	0.3752702	0.3706115	0.3578771	0.3576545	0.3493043	0.3748723	0.3709755	0.3890581	0.3488808	0.3827191	0.3833534	0.334157	0.3332645	0.3794337	0.3784018	0.3871263	0.3442935	0.3753401	0.336286	0.361818	0.2860709	0.2776998	0.2877741	0.2722211	0.2662214	0.2864034	0.2822787	0.2766017	0.2792359	0.2741478	0.2608112	0.2766961	0.2821012	0.2724418	0.254282	0.2413621	0.2607666	0.3007107	0.29535	0.2403059	0.2543598	0.2668144	0.2654487	0.2816447	0.2253934	0.2573636	0.2797925	0.2631463	0.2506673	0.2319392	0.2680582	0.2661045	0.2623227	0.1238588	0.1373038	0.1588683	0.1272568	0.1331937	0.1308733	0.1433244	0.1373155	0.1459686	0.146943	0.1216541	0.1615193	0.1279477	0.1562578	0.1617481	0.1448318	0.1354109	0.1660251	0.1538664	0.1731174	0.1619677	0.1840249	0.1904549	0.1778943	0.1917747	0.1872677	0.2665739	0.2677319	0.2891005	0.247614	0.2743828	0.2401755	0.278416	0.2542301	0.2390214	0.2499356	0.3003162	0.3000745	0.2557935	0.2571001	0.2821337	0.2471559	0.2599227	0.2646123	0.2938997	0.3064079	0.2424226	0.1901024	0.26728	0.2628135	0.2661355	0.2595736	0.2975515	0.2388298	0.2053933	0.2706159	0.2623886	0.2645601	0.2501409	0.2263183	0.2789128	0.2735928	0.2892023	0.2584857	0.2523655	0.2893907	0.2799834	0.2785256	0.2651062	0.2734924	0.2876358	0.3003321	0.2827405	0.220665	0.2890164	0.2610649	0.2649673	0.265881	0.2649592	0.247301	0.2459201	0.2730289	0.2517695	0.2249891	0.2369783	0.2540839	0.2707587	0.2732385	0.2660199	0.2520047	0.2486647	0.2682457	0.2438324	0.2402553	0.2404657	0.2626185	0.2709713	0.2576296	0.2944027	0.26587	0.2540654	0.2242665	0.2765097	0.2669671	0.2637091	0.3001903	0.2747369	0.2844827	0.254624	0.2949201	0.2966489	0.2899331	0.2727124	0.2909908	0.2748396	0.2924367	0.3275822	0.2883773	0.2912528	0.277128	0.2903127	0.2756902	0.3009506	0.3020889	0.2499989	0.2735267	0.2698837	0.2597282	0.2424603	0.2835262	0.2937171	0.3051702	0.2587042	0.2722286	0.2588536	0.2475002	0.3163843	0.2879671	0.2867875	0.2792037	0.2856002	0.2841304	0.2474001	0.2287505
1	Cingulate_Cortex,_Area_24a	0.2999277	0.256559	0.2927578	0.2997152	0.2939222	0.2857172	0.3152649	0.2875207	0.31083	0.3056172	0.2972662	0.2973432	0.2947196	0.2843772	0.2738895	0.2814497	0.2928031	0.3060541	0.2995229	0.2812861	0.2935772	0.2552326	0.2740732	0.2980855	0.3226961	0.2735546	0.2756191	0.291517	0.3163689	0.2686933	0.2933846	0.2891385	0.2083444	0.189325	0.2011853	0.2173938	0.1988237	0.2163798	0.21364	0.2210662	0.1989155	0.2343843	0.2419086	0.227538	0.2191321	0.2166188	0.229033	0.21879	0.2365867	0.2162837	0.2132288	0.2504379	0.2637733	0.2793103	0.2245676	0.2375538	0.253291	0.2603924	0.2492962	0.2408636	0.2367817	0.2502172	0.2148226	0.2099869	0.1996474	0.1300114	0.1678197	0.1522772	0.1735087	0.09308205	0.185481	0.1619406	0.1954967	0.1997568	0.1734896	0.1452798	0.1601311	0.1673031	0.1643289	0.1372955	0.1668726	0.1641797	0.1876563	0.2080238	0.1938841	0.1805636	0.1991979	0.2117164	0.1946542	0.1739714	0.201275	0.2097239	0.2244909	0.2294921	0.2045456	0.2197048	0.2126969	0.232112	0.2083185	0.2429463	0.2091794	0.2164549	0.2305813	0.2444129	0.2194639	0.1941201	0.1960713	0.2121432	0.2236317	0.1998807	0.2142952	0.2196302	0.2178676	0.2146409	0.2164457	0.2294387	0.2093905	0.2093472	0.1913926	0.2152282	0.1872054	0.1887135	0.2059629	0.218169	0.2347668	0.2181877	0.2282879	0.2294871	0.2235945	0.2059084	0.2169829	0.2069194	0.2130132	0.1515459	0.2254494	0.2016868	0.2200024	0.213098	0.2233232	0.2399318	0.1962945	0.2065931	0.2195013	0.2241081	0.222763	0.2103556	0.2049164	0.2037855	0.2030963	0.1979713	0.2311447	0.2385245	0.2234961	0.1942742	0.2085411	0.2141138	0.2418868	0.2658738	0.2583421	0.2273682	0.230051	0.2258985	0.2298075	0.2183338	0.2117829	0.210181	0.2028406	0.2232604	0.2282438	0.2463976	0.2434306	0.2893966	0.2745778	0.2435942	0.2910671	0.3052728	0.2402369	0.3090438	0.2507865	0.2357413	0.2643549	0.2714023	0.2406372	0.2888301	0.2663805	0.2903515	0.2769957	0.2404331	0.2624964	0.2691291	0.2904751	0.2749534	0.2827703	0.2437484	0.2798248	0.2544214	0.2112803	0.212492	0.2488044	0.2093541	0.2139293	0.2789959	0.2306838	0.1790064	0.2070426	0.2590308	0.1911116	0.2509209	0.2200368
2	Cingulate_Cortex,_Area_24a_prime	0.2916614	0.2493219	0.2826766	0.2857694	0.2782018	0.2823971	0.307638	0.2902838	0.2953031	0.3074127	0.268257	0.2681923	0.2814578	0.2779905	0.2802621	0.2789171	0.285159	0.2848631	0.2703633	0.2657706	0.2538067	0.2671789	0.2444924	0.2528727	0.2805381	0.2472506	0.2646691	0.2619774	0.2907099	0.2415785	0.2798362	0.2896904	0.2196605	0.194578	0.1981747	0.2130715	0.1869176	0.2303438	0.2127776	0.2189941	0.1912554	0.2548411	0.2351529	0.2362991	0.2340058	0.2390069	0.2394814	0.2248836	0.2392354	0.2536618	0.2177993	0.2521713	0.2280559	0.24586	0.2108734	0.2320564	0.2470198	0.2390445	0.2264668	0.2299362	0.2382177	0.2673002	0.2077147	0.2210935	0.2026185	0.1344292	0.1869367	0.1521447	0.1880794	0.1108299	0.1872845	0.1700985	0.2078785	0.2162325	0.1904996	0.1259607	0.1867508	0.1613306	0.1462284	0.1745495	0.1443174	0.1622802	0.1906153	0.1798424	0.1884142	0.1756269	0.1924673	0.2119816	0.1939249	0.1896744	0.2069088	0.2030682	0.210965	0.2221531	0.1956479	0.2287769	0.2062236	0.2307216	0.1907634	0.2117779	0.1914756	0.2266998	0.2094738	0.2251788	0.2157882	0.2082654	0.191957	0.2337812	0.224934	0.1957281	0.2208863	0.2157615	0.2175873	0.2400328	0.218516	0.2163953	0.181864	0.195739	0.1891595	0.2971079	0.2009323	0.1940939	0.2200601	0.1925696	0.1765892	0.2259015	0.2259928	0.2409911	0.2292574	0.2012357	0.1874783	0.1957926	0.1973697	0.1545394	0.2307609	0.2179414	0.2117085	0.2164458	0.3109616	0.2330815	0.1953249	0.2010069	0.2109802	0.2216882	0.1991831	0.2152292	0.1851953	0.195996	0.2017981	0.1898647	0.2071764	0.2068428	0.2162555	0.2129346	0.1829452	0.1937512	0.2111522	0.2289802	0.2312683	0.2008549	0.2330058	0.2131112	0.2083835	0.2338473	0.2230377	0.2075914	0.1974194	0.209995	0.2173325	0.239204	0.2514922	0.2861141	0.2641473	0.2293174	0.2876019	0.2888477	0.225906	0.2951781	0.2580809	0.2417321	0.2678491	0.2644401	0.2243908	0.2654516	0.269348	0.2893122	0.2549665	0.243004	0.2486258	0.252989	0.2545473	0.2356416	0.2536149	0.2157812	0.2771341	0.2427045	0.223068	0.1920923	0.2344589	0.2098155	0.205753	0.2772596	0.211163	0.1743499	0.1877805	0.2780381	0.213322	0.2387934	0.2129679
3	Cingulate_Cortex,_Area_24b	0.2099742	0.1755425	0.2084838	0.2120787	0.2130301	0.2030265	0.2124137	0.1843965	0.2076843	0.2177565	0.2064307	0.2069026	0.2028542	0.1981391	0.1962523	0.202949	0.196747	0.2177285	0.2012695	0.1838668	0.1802012	0.1866896	0.1791932	0.1951021	0.1934329	0.1894343	0.193862	0.1864002	0.2068818	0.1754701	0.2133879	0.2033811	0.161464	0.1477516	0.147349	0.1645174	0.1448511	0.1734612	0.1606545	0.1605738	0.1471083	0.1887506	0.1776893	0.188759	0.1709657	0.1833851	0.1703334	0.1601779	0.1737155	0.1830939	0.1714283	0.1666527	0.1817033	0.1797414	0.1558725	0.1661011	0.1816352	0.1878517	0.1706109	0.1677947	0.1566882	0.2251411	0.1583437	0.1678319	0.153173	0.1194919	0.1465318	0.1157988	0.1554701	0.09234918	0.156651	0.1514076	0.1489614	0.1703851	0.1437515	0.1177471	0.1474338	0.1173669	0.1366522	0.1350142	0.1210096	0.129475	0.1309006	0.1415199	0.1479014	0.1377849	0.140451	0.153256	0.1405427	0.1347767	0.1460497	0.1552196	0.1536623	0.175745	0.1579979	0.1730324	0.1729857	0.1775335	0.1486217	0.1728977	0.156582	0.1769343	0.1609702	0.1770337	0.1763221	0.1519065	0.1543012	0.1734464	0.1698493	0.1537628	0.1770727	0.1510704	0.2880597	0.1655661	0.1585833	0.1934792	0.1443794	0.1564418	0.1447664	0.3315072	0.1584565	0.1486001	0.1621206	0.1421484	0.1624411	0.1844479	0.1585206	0.1790242	0.1771283	0.1571387	0.1537052	0.1550091	0.1665562	0.1283421	0.1707321	0.1739333	0.1583284	0.161745	0.2499057	0.1837548	0.1459793	0.1518006	0.1555295	0.1611725	0.1508981	0.1557354	0.1495914	0.1513799	0.1608837	0.1395386	0.1551919	0.1642143	0.1654508	0.1671441	0.1395749	0.1563001	0.1632162	0.1846797	0.1797905	0.1526489	0.1610433	0.1717161	0.1620367	0.1790851	0.1658764	0.1618887	0.1501653	0.1656826	0.165378	0.1557294	0.201133	0.2195774	0.2198294	0.1772204	0.2368888	0.2499109	0.19803	0.2273261	0.203755	0.1869722	0.21439	0.2167749	0.1936878	0.2011564	0.2230886	0.2286872	0.2058692	0.1866668	0.2031843	0.2081966	0.2120538	0.1979754	0.193056	0.1795689	0.1994339	0.1837912	0.1956068	0.162104	0.1833282	0.1825047	0.1679262	0.2057571	0.178174	0.1402885	0.1777386	0.200914	0.1804478	0.1973929	0.1802021
4	Cingulate_Cortex,_Area_24b_prime	0.2270562	0.1787716	0.2163797	0.2124346	0.1946484	0.2143361	0.2189407	0.1853476	0.2097477	0.2320174	0.2206445	0.2203037	0.1914719	0.204123	0.1943407	0.1962854	0.2151062	0.209523	0.1951764	0.1893322	0.1751324	0.1976067	0.1817838	0.1888997	0.1878037	0.191956	0.1892692	0.1868772	0.2253181	0.1827753	0.2345134	0.2114577	0.1534751	0.1388182	0.1384724	0.1562384	0.1308034	0.1727833	0.1479882	0.1665252	0.1480794	0.1889615	0.1772767	0.1857281	0.1765417	0.1794811	0.1712313	0.1684215	0.1695135	0.1751077	0.1842472	0.1701348	0.1849131	0.1790685	0.1679026	0.1716489	0.1865031	0.1833183	0.1627693	0.1765011	0.1564182	0.2311122	0.1582649	0.1630391	0.1576633	0.1212434	0.1576676	0.1374273	0.1484496	0.1124026	0.1403694	0.1348034	0.1551581	0.1585034	0.1423693	0.1121357	0.1498832	0.1249666	0.1309235	0.1566147	0.1281622	0.1252477	0.1325831	0.1296177	0.145721	0.1211413	0.1392193	0.160926	0.1483017	0.1471906	0.1531232	0.1605335	0.1585125	0.1634859	0.1574928	0.1663252	0.1691374	0.1740856	0.1529835	0.1659214	0.1573306	0.1739147	0.151988	0.1720315	0.1632767	0.1504523	0.1671094	0.1817158	0.173462	0.147033	0.1705605	0.1654295	0.1586579	0.1786668	0.1563141	0.1890561	0.1462833	0.1677249	0.1582833	0.1920151	0.1621812	0.1574927	0.1696209	0.1394649	0.1614479	0.194993	0.1794253	0.1838548	0.1933688	0.1567546	0.1524755	0.1438881	0.182123	0.1445304	0.1798301	0.1859645	0.1731052	0.1699609	0.2518345	0.1815774	0.1504365	0.1621539	0.1573856	0.1706086	0.1494602	0.158765	0.1346741	0.1601352	0.1737441	0.1421099	0.1394185	0.1604526	0.1635226	0.1713326	0.1422559	0.1518544	0.1591381	0.1787389	0.1823578	0.1519993	0.1591784	0.1633456	0.1624494	0.1833156	0.1762448	0.1728978	0.1616079	0.1737187	0.1632943	0.1495641	0.2017113	0.222909	0.2026399	0.178805	0.2436702	0.248948	0.1821347	0.2243419	0.1889933	0.1989216	0.2136671	0.1971535	0.175856	0.2015536	0.207334	0.2282634	0.2012253	0.1993012	0.1916681	0.1944867	0.197798	0.1815512	0.1990199	0.1920361	0.2064033	0.1854127	0.1778898	0.1629637	0.1786379	0.1610786	0.1598571	0.2250562	0.1744105	0.1402332	0.1536023	0.2416804	0.1680629	0.1980119	0.154716
5	Cingulate_Cortex,_Area_29a	0.2442068	0.2294625	0.2937315	0.2689036	0.2522091	0.2576814	0.2625367	0.2550973	0.2710337	0.2581652	0.263826	0.2641539	0.2691777	0.2558765	0.2545272	0.2310498	0.2744074	0.2476048	0.2395924	0.2556183	0.2496419	0.2423013	0.2563095	0.2532378	0.272584	0.2503522	0.2061895	0.2564885	0.2600683	0.2442941	0.2718839	0.2505548	0.212892	0.2187269	0.1998667	0.1942873	0.1996765	0.2095568	0.2000518	0.1922249	0.1843727	0.2031557	0.2014818	0.2064976	0.1870747	0.2067016	0.2011704	0.2257173	0.2004023	0.2103149	0.1979707	0.2033937	0.207149	0.2135481	0.1970298	0.2084434	0.2066112	0.1993341	0.2096519	0.2037298	0.2173462	0.2277737	0.2041588	0.2314615	0.1804752	0.1497329	0.2132627	0.1819933	0.1984681	0.142377	0.2097898	0.1673165	0.1865933	0.222907	0.1675098	0.1518645	0.1829583	0.1651272	0.1665427	0.1514438	0.165654	0.1747416	0.1701002	0.1922252	0.1773463	0.161782	0.1832937	0.1911867	0.1811361	0.1660764	0.1737862	0.2159213	0.194655	0.1930075	0.2152013	0.1973882	0.189225	0.1957132	0.2017751	0.1968393	0.2274096	0.2206328	0.1984628	0.2014285	0.1944674	0.1889033	0.2060234	0.2243616	0.2303799	0.2139875	0.2204273	0.220362	0.1597008	0.2348151	0.1989492	0.233401	0.1842695	0.1830643	0.2349205	0.1815193	0.2187451	0.2135311	0.232178	0.2322256	0.2192499	0.2173969	0.2248661	0.2430506	0.217546	0.215435	0.2030327	0.2046442	0.2267606	0.1896009	0.2319546	0.2130384	0.2231799	0.2187649	0.1820742	0.2005477	0.2179202	0.2043986	0.2067015	0.2126563	0.21234	0.1789591	0.2097668	0.1942002	0.2112251	0.2236306	0.1980122	0.2022584	0.2108245	0.2076269	0.1786387	0.2080747	0.2355516	0.210137	0.2140867	0.196492	0.2157323	0.1969847	0.2024871	0.2285592	0.2208101	0.2195544	0.2043614	0.2108397	0.2051903	0.2047426	0.2237095	0.2076959	0.2322609	0.1813573	0.2564752	0.2735377	0.1897848	0.2115417	0.2398758	0.1922559	0.194605	0.2193461	0.1824571	0.210104	0.1872454	0.2058342	0.2036699	0.1887728	0.2054736	0.2015678	0.1959269	0.202	0.200653	0.1977146	0.2154059	0.2147287	0.2392713	0.2402768	0.2117032	0.2216375	0.2152988	0.2545588	0.2054533	0.2096641	0.2113533	0.2223849	0.2089342	0.225016	0.201193
6	Cingulate_Cortex,_Area_29b	0.2288662	0.1960979	0.228874	0.2271548	0.2151625	0.242514	0.2360045	0.2244887	0.2172115	0.2147622	0.2076341	0.2077351	0.2350467	0.2222765	0.2113379	0.2187842	0.2296949	0.2279239	0.2025924	0.2152027	0.207734	0.2015464	0.1837041	0.2081462	0.2263725	0.1992739	0.1989027	0.2408297	0.2333337	0.1929478	0.2214027	0.2493631	0.1598719	0.1617428	0.1530608	0.178713	0.14533	0.1591907	0.1535038	0.1626517	0.1637697	0.207934	0.1876411	0.2026473	0.1954099	0.1820072	0.1906566	0.1750464	0.1903354	0.2111268	0.1794709	0.1852506	0.1998624	0.2054532	0.1692865	0.1912735	0.2202576	0.2029701	0.2060381	0.2003534	0.1643338	0.2171995	0.1813521	0.1791063	0.1755049	0.1112203	0.1470342	0.1357161	0.1705982	0.1111592	0.1711097	0.150621	0.1300672	0.1803096	0.1416021	0.09611069	0.1603651	0.1115864	0.1332612	0.1439192	0.1236564	0.1183326	0.1494542	0.1554226	0.1227865	0.1546407	0.1583198	0.1847705	0.1734351	0.1616085	0.1511309	0.1635293	0.1782977	0.1899687	0.1718317	0.17429	0.1924843	0.2017178	0.1745632	0.1855	0.148979	0.1956067	0.1904463	0.1940716	0.1771512	0.1927506	0.1691009	0.1945357	0.1749595	0.1614651	0.1779541	0.1760501	0.09512187	0.2039731	0.1867812	0.1514674	0.1375519	0.1587178	0.1772899	0.1115094	0.1572806	0.1454485	0.1698493	0.1675713	0.1760574	0.2045754	0.1920177	0.1974162	0.2022105	0.1558708	0.1472703	0.1556535	0.1786527	0.1385522	0.2033104	0.1737467	0.1878741	0.1828538	0.1046889	0.1704981	0.1543659	0.1594922	0.1662364	0.182362	0.1649589	0.1797598	0.1514344	0.1699542	0.1703414	0.1571875	0.1632627	0.2064443	0.167325	0.1948822	0.1484783	0.1669798	0.171946	0.1948666	0.1934695	0.1598411	0.1661261	0.1728739	0.1535201	0.1918087	0.167769	0.1613104	0.1608901	0.1693661	0.1626416	0.1598851	0.184132	0.2353341	0.2045543	0.186123	0.225572	0.2508734	0.1787029	0.1875189	0.2095729	0.2035241	0.2104083	0.232829	0.1738543	0.1991496	0.2162362	0.2049981	0.2063725	0.1637402	0.1927124	0.1850362	0.1827146	0.179367	0.1854847	0.1513041	0.2116016	0.1765473	0.1934042	0.224461	0.1820169	0.1851145	0.1736595	0.2355502	0.1867722	0.1738068	0.1786553	0.2142193	0.1861304	0.2151247	0.1897778
7	Cingulate_Cortex,_Area_29c	0.3113398	0.2867197	0.3253512	0.3242345	0.3110855	0.3049531	0.3352955	0.2919155	0.3180842	0.3372825	0.3137718	0.3136597	0.3110461	0.2915661	0.3084319	0.2983387	0.3161452	0.3153205	0.2917688	0.2867089	0.2939641	0.3004418	0.2871259	0.2772686	0.2902568	0.273723	0.3057989	0.2786818	0.3156191	0.2802536	0.3282854	0.3156786	0.2375599	0.2153659	0.2174099	0.2348155	0.2129719	0.2452733	0.2367385	0.2346093	0.2139937	0.2578743	0.2668655	0.2457585	0.2376408	0.2506137	0.2460243	0.2284746	0.2447356	0.2584041	0.2285143	0.2653677	0.2564272	0.2586818	0.239657	0.2369193	0.2520199	0.2542052	0.256907	0.256712	0.2411856	0.2483696	0.234674	0.2419318	0.2172787	0.1737512	0.2093336	0.1890951	0.2235843	0.1350145	0.2363137	0.2040198	0.2246749	0.2460905	0.2074194	0.1539811	0.228497	0.1581015	0.1851109	0.2153724	0.1799385	0.1937667	0.2032142	0.2056397	0.2267154	0.1982419	0.2196096	0.2243579	0.2215773	0.2113718	0.2139412	0.2410579	0.227419	0.2287345	0.2202936	0.2363848	0.2386334	0.2478004	0.2142166	0.2278085	0.2173786	0.2448944	0.2359899	0.2486843	0.2251428	0.2301197	0.2102875	0.248945	0.2453051	0.2304769	0.2314211	0.2421066	0.1404376	0.2619196	0.2189262	0.2603571	0.1937227	0.2134839	0.2301475	0.1545281	0.2355139	0.2221845	0.237839	0.2161108	0.2241696	0.2527443	0.2519367	0.2537652	0.2604623	0.2294649	0.2188443	0.2199385	0.2406186	0.1855381	0.2510325	0.2521807	0.2386551	0.2391068	0.1612678	0.2546141	0.2305908	0.2285111	0.2288627	0.2352083	0.2203753	0.2244488	0.2130973	0.2258483	0.2283773	0.205058	0.2191727	0.2354683	0.2432456	0.2411696	0.2076382	0.2256385	0.2366899	0.2579224	0.2572322	0.2228176	0.2459418	0.2324889	0.2323563	0.2587621	0.2442966	0.2421852	0.2291838	0.2455714	0.24043	0.2448787	0.2788098	0.3013744	0.2899759	0.2594233	0.3078488	0.3169495	0.256469	0.2952901	0.2943253	0.2656231	0.2768731	0.2974689	0.2533759	0.2798006	0.2816864	0.3135256	0.2825934	0.2609167	0.289654	0.2843063	0.2743127	0.2639986	0.2774428	0.2546354	0.302826	0.2697743	0.272816	0.2170645	0.2718566	0.2594512	0.2484517	0.3270167	0.2515572	0.2220389	0.2431513	0.3152926	0.233782	0.2697707	0.2544401
8	Cingulate_Cortex,_Area_30	0.2341477	0.194503	0.2216368	0.2238307	0.223337	0.231774	0.2092697	0.2013389	0.2182281	0.2174436	0.2258389	0.2257436	0.2175911	0.2101981	0.2106543	0.2165257	0.2229265	0.2193912	0.1967065	0.197339	0.204975	0.1987577	0.1918829	0.1956361	0.199841	0.1968251	0.1907775	0.1965065	0.2119941	0.2007483	0.2205719	0.2218001	0.157613	0.160511	0.15799	0.1674314	0.1561856	0.1765737	0.1623095	0.1715301	0.1696315	0.2025169	0.187312	0.1812863	0.1941952	0.182019	0.1807533	0.1750716	0.179396	0.200742	0.1826241	0.1805828	0.1865358	0.1917706	0.1827745	0.1762486	0.1874636	0.1815916	0.1865349	0.1703507	0.1594339	0.2167857	0.1858872	0.1792871	0.1735402	0.1361632	0.1605841	0.1546234	0.1757911	0.1132352	0.1751099	0.1577772	0.1529957	0.1771024	0.1488839	0.1171002	0.1633439	0.1260508	0.1539772	0.1531377	0.143939	0.1407118	0.1555807	0.1575467	0.1464906	0.146566	0.1592483	0.1659449	0.1624161	0.1553264	0.1566471	0.180922	0.1760198	0.1738348	0.1687375	0.1773308	0.1818585	0.1866774	0.1749149	0.1753309	0.1712109	0.1856723	0.1782091	0.1834099	0.1650102	0.1721215	0.1691626	0.1872051	0.1847491	0.169557	0.1923541	0.1922849	0.1043174	0.1960445	0.1672054	0.1835383	0.1506225	0.1768557	0.1925958	0.1179664	0.1729262	0.1631995	0.1673329	0.1661902	0.1787469	0.1994714	0.2020469	0.1850789	0.2056023	0.1765923	0.1646209	0.1704607	0.2104838	0.1539308	0.1819586	0.177304	0.1897686	0.1830773	0.1120898	0.1903626	0.1646431	0.1737608	0.1629122	0.1773998	0.1675552	0.1701436	0.1584597	0.1640906	0.1705327	0.1524592	0.1667083	0.1842274	0.1744087	0.1998411	0.1523668	0.1817081	0.1761253	0.1970909	0.1963187	0.1646225	0.1632163	0.1858721	0.1743946	0.2012133	0.1908665	0.1763886	0.1778696	0.1890421	0.1830658	0.1545648	0.1964	0.2187179	0.2154532	0.1944655	0.2339412	0.2586774	0.1946624	0.2135628	0.2145587	0.2032295	0.2049741	0.2165872	0.1870468	0.2073715	0.2012662	0.2214508	0.2026907	0.1844219	0.2002998	0.194881	0.204806	0.1873117	0.1938626	0.1812848	0.2189682	0.2053111	0.2070377	0.173825	0.1971629	0.1870172	0.1812426	0.2235202	0.183297	0.1647438	0.1770923	0.2192396	0.1739022	0.2013364	0.1876056
9	Cingulate_Cortex,_Area_32	0.1745104	0.1482981	0.1769392	0.1763773	0.1798104	0.1737872	0.1787828	0.1754868	0.1721524	0.1754584	0.1723456	0.1726127	0.1696423	0.1612836	0.1714997	0.1672949	0.1768892	0.1833888	0.1688619	0.1745713	0.1648508	0.1680666	0.173214	0.1838334	0.1896305	0.1642255	0.1606554	0.1961387	0.1808669	0.1600609	0.1828187	0.1599931	0.137539	0.1286554	0.1346521	0.1408906	0.1268751	0.1422956	0.1296165	0.1386311	0.1374939	0.1502173	0.138851	0.1539339	0.1487359	0.1464248	0.1347141	0.1337931	0.1381568	0.1495703	0.1541711	0.1417488	0.1466583	0.14581	0.1362066	0.1422255	0.1580029	0.152688	0.1397861	0.1430704	0.1282978	0.1923389	0.1370791	0.132661	0.1279067	0.1233355	0.1462243	0.1107254	0.1345598	0.1140333	0.1500469	0.1405214	0.1243984	0.1501489	0.1317231	0.1240538	0.1337056	0.1172949	0.1333349	0.1232705	0.1332806	0.1301987	0.1353448	0.152226	0.1283676	0.1330153	0.1572291	0.1368132	0.1448496	0.1362283	0.1485445	0.1286696	0.1340961	0.1545089	0.1512896	0.1396651	0.1427665	0.1426983	0.1325121	0.1395446	0.1331314	0.150142	0.1369548	0.1435094	0.1466162	0.1314947	0.1354781	0.1553362	0.1419032	0.1220408	0.1457452	0.1397291	0.2182503	0.1394744	0.1404096	0.1366506	0.1465447	0.1432675	0.1379064	0.1668254	0.1458891	0.1405349	0.146684	0.135002	0.13621	0.1454983	0.1399024	0.1542235	0.1426114	0.1347699	0.1528065	0.1488304	0.1554424	0.1151734	0.1506124	0.1453998	0.1407517	0.1393469	0.1728026	0.1450433	0.1294354	0.144318	0.1357008	0.1453237	0.1371175	0.1384005	0.1279283	0.1261102	0.1433196	0.1338462	0.1383969	0.1391496	0.1418837	0.1373688	0.1226652	0.1273535	0.1391689	0.1450993	0.1444061	0.1325837	0.1345078	0.1369032	0.1343929	0.1486153	0.1268633	0.1333809	0.1355321	0.1415998	0.1424217	0.1310345	0.1626522	0.1820935	0.1794766	0.159407	0.192839	0.2007323	0.1716417	0.1838245	0.1714328	0.1615132	0.160094	0.1801051	0.1793554	0.1677511	0.1821762	0.1730493	0.1616684	0.1687637	0.1669589	0.1593696	0.166077	0.1547688	0.1576039	0.1535009	0.1458937	0.1622016	0.165268	0.1585547	0.1551225	0.1538373	0.1518514	0.1779648	0.1536225	0.1440376	0.1575529	0.1581076	0.165667	0.1744599	0.1566886
