ROI	structure	N57437	N57442	N57446	N57447	N57449	N57451	N57496	N57498	N57500	N57502	N57504	N57513	N57515	N57518	N57520	N57522	N57546	N57548	N57550	N57552	N57554	N57559	N57580	N57582	N57584	N57587	N57590	N57692	N57694	N57700	N57702	N57709	N58302	N58303	N58305	N58309	N58310	N58344	N58346	N58350	N58355	N58359	N58361	N58394	N58396	N58398	N58400	N58402	N58404	N58406	N58408	N58477	N58500	N58510	N58512	N58514	N58516	N58604	N58606	N58608	N58611	N58613	N58706	N58708	N58712	N58214	N58215	N58216	N58217	N58218	N58219	N58221	N58222	N58223	N58224	N58225	N58226	N58228	N58229	N58230	N58231	N58232	N58633	N58634	N58635	N58636	N58649	N58650	N58651	N58653	N58654	N58714	N58740	N58734	N58792	N58784	N58790	N58779	N58749	N58788	N58794	N58733	N58655	N58735	N58780	N58747	N58751	N58745	N58742	N58732	N58935	N59003	N58819	N58909	N58919	N58889	N59010	N58859	N58917	N58815	N58997	N58999	N58881	N58853	N58995	N58877	N58883	N58885	N58906	N58821	N58855	N58861	N58857	N58851	N58887	N58879	N58829	N58913	N58831	N58941	N58813	N58952	N59022	N59026	N59033	N59035	N59039	N59041	N59065	N59066	N59072	N59076	N59078	N59080	N59097	N59099	N59109	N59116	N59118	N59120	N58612	N59136	N59140	N58946	N59141	N58915	N59005	N58954	N58948	N58610	N60103	N60062	N60101	N60056	N60088	N60064	N60070	N60093	N60097	N60095	N60068	N60072	N60058	N60092	N60060	N60188	N60190	N60192	N60194	N60198	N60219	N60221	N60223	N60225	N60229	N60231	N60167	N60133	N60200	N60131	N60139	N60163	N60159	N60157	N60127	N60161	N60169	N60137	N60129
0	Exterior	0.4536286	0.4295368	0.4717219	0.4722814	0.4652055	0.4596304	0.4707305	0.4579573	0.4553374	0.4701388	0.4605636	0.4605564	0.4873939	0.4539753	0.4723963	0.4382046	0.4640161	0.4739765	0.4291008	0.4575486	0.4705781	0.453885	0.4333782	0.4801938	0.4694155	0.4646011	0.4045598	0.4239306	0.4743861	0.4137892	0.4698826	0.4501275	0.5350989	0.5146394	0.5306435	0.5595123	0.5665431	0.5447688	0.5141282	0.5487018	0.5577441	0.562174	0.5476585	0.5801684	0.5550836	0.589946	0.5659229	0.5403135	0.5465994	0.5649279	0.5310986	0.5440757	0.510786	0.5166705	0.432439	0.5099073	0.5308957	0.5134478	0.5421675	0.5155041	0.4851041	0.4693927	0.5489359	0.524577	0.4941201	0.3425072	0.3949791	0.3157159	0.3778206	0.3058642	0.4070217	0.3786958	0.4123237	0.3566197	0.3658216	0.3723356	0.3795481	0.339938	0.3582539	0.2932193	0.3432916	0.3707518	0.3599589	0.3436805	0.3514149	0.3262523	0.3346738	0.3487622	0.3291105	0.3612022	0.3399658	0.4764626	0.5097678	0.523224	0.5148214	0.532566	0.5453059	0.5477808	0.4904084	0.5502025	0.4757633	0.5126249	0.4299061	0.5319064	0.5309115	0.5048465	0.4751418	0.5045201	0.5157245	0.45822	0.439119	0.4688934	0.3817634	0.488105	0.5492541	0.4433347	0.4665182	0.4374828	0.4717336	0.4042395	0.4454289	0.4766871	0.4857884	0.4637019	0.4656829	0.4602693	0.4751126	0.496049	0.5463336	0.4853787	0.4488482	0.4422195	0.4605867	0.3866294	0.5232184	0.4716039	0.4294984	0.5249602	0.3783243	0.4575622	0.465746	0.468338	0.4884946	0.4749928	0.4895419	0.4847707	0.4727137	0.4818481	0.4862021	0.4357651	0.4623148	0.4936489	0.487581	0.4305444	0.4338868	0.4587803	0.4536639	0.4760371	0.471959	0.4576313	0.479843	0.4913732	0.462516	0.4418819	0.4973213	0.4963062	0.4723388	0.4520763	0.4704846	0.4985704	0.404019	0.4298762	0.4477792	0.4526765	0.4634484	0.4450888	0.4339404	0.4458757	0.3915249	0.4199983	0.4205039	0.4048791	0.3770828	0.4234195	0.4173067	0.4023512	0.3845204	0.3685937	0.391226	0.4126347	0.3862815	0.4157428	0.4079627	0.3866491	0.3796535	0.357032	0.5202511	0.5670378	0.502141	0.5873014	0.5339028	0.4536258	0.5082759	0.441603	0.5419943	0.480198	0.5317224	0.5366653	0.578806
1	Cingulate_Cortex,_Area_24a	0.3221888	0.247125	0.3047677	0.3241574	0.2972205	0.3216508	0.319014	0.2848461	0.3051459	0.3000565	0.2966792	0.2966195	0.3297924	0.3117927	0.3169924	0.3071323	0.2997438	0.3167968	0.2882033	0.2953022	0.2991416	0.2655596	0.2422585	0.2977997	0.3056926	0.2765995	0.2334058	0.2662504	0.3070027	0.2569667	0.2957093	0.2922185	0.3715519	0.3591062	0.3678993	0.4139891	0.3938721	0.3899729	0.384902	0.4071116	0.3840711	0.4315347	0.4175747	0.4226708	0.4123133	0.4243894	0.4147892	0.4183582	0.4033121	0.4135611	0.370035	0.370452	0.3668806	0.352057	0.3161711	0.3497218	0.3639129	0.3732786	0.3681878	0.363029	0.3308477	0.3293276	0.3705817	0.3755064	0.3480072	0.311214	0.4006859	0.3073858	0.3828432	0.3005633	0.3978717	0.3852345	0.3804375	0.3814304	0.3832867	0.3877887	0.3987176	0.3600427	0.329376	0.2761283	0.3394172	0.3544263	0.3433025	0.3571034	0.3500765	0.3386374	0.3198238	0.3342954	0.3109829	0.3380746	0.3173555	0.3317432	0.3665787	0.3738601	0.3720544	0.3972312	0.3886872	0.3910813	0.3619869	0.3900101	0.3536859	0.3778729	0.3335634	0.3700066	0.3799545	0.3592929	0.3617244	0.374381	0.3765371	0.3136537	0.3377118	0.3424566	0.4230694	0.378032	0.3819951	0.3142247	0.332551	0.3624094	0.3661989	0.3683809	0.2999564	0.296743	0.3303712	0.3545894	0.3229626	0.3242021	0.3377506	0.3701265	0.3803903	0.3455239	0.3582189	0.334004	0.3380485	0.3012497	0.3608565	0.3550543	0.3588669	0.3817256	0.3484626	0.3377823	0.3444704	0.3475424	0.3570806	0.370921	0.3516534	0.3716684	0.3692523	0.3528573	0.3472654	0.3301008	0.3478492	0.3438611	0.3204929	0.3739097	0.3280755	0.3441919	0.3462901	0.3574953	0.3364518	0.3565927	0.340151	0.3530915	0.320463	0.3232218	0.3677034	0.3708424	0.328252	0.3255279	0.3553588	0.319136	0.2766047	0.2732867	0.299948	0.3237456	0.325975	0.2910632	0.3044236	0.3202276	0.2788283	0.2930372	0.2829838	0.299337	0.277399	0.3069463	0.2880159	0.2471707	0.2600578	0.2431483	0.264403	0.2712327	0.2669568	0.2783237	0.2707798	0.2519378	0.2653343	0.2309015	0.3422755	0.366744	0.3379956	0.3755903	0.3536387	0.320573	0.3461094	0.3085352	0.3772511	0.3335389	0.3543654	0.3613778	0.3975797
2	Cingulate_Cortex,_Area_24a_prime	0.3292757	0.2710339	0.3141745	0.3312316	0.3072404	0.3238024	0.3232959	0.3009007	0.3090023	0.3196532	0.2996867	0.2996339	0.3359983	0.3184375	0.3301908	0.3099569	0.3084689	0.3173634	0.2947133	0.3050166	0.2988438	0.2818671	0.2621819	0.2997265	0.2877702	0.2868991	0.2380655	0.2670721	0.3066218	0.2629349	0.3010171	0.2953624	0.3822991	0.3661385	0.3787929	0.4063445	0.3928196	0.3999227	0.3871385	0.4123815	0.3902089	0.428579	0.4214739	0.4276324	0.4225004	0.4408992	0.4208735	0.4242443	0.4154165	0.4314862	0.3873557	0.3679917	0.3584535	0.354765	0.324645	0.3581396	0.3722987	0.3707527	0.3679668	0.3617025	0.3397645	0.3434412	0.3725556	0.3788083	0.3565335	0.3158408	0.4016413	0.3168072	0.3894257	0.3024153	0.3983125	0.3918458	0.389342	0.3979263	0.3981495	0.3824518	0.4155088	0.3630884	0.3343642	0.303137	0.3415419	0.3594291	0.3430629	0.3577014	0.3457667	0.3381536	0.3177361	0.3318914	0.3073657	0.3371869	0.3286839	0.3400066	0.3697517	0.3727322	0.3765169	0.4003158	0.3823236	0.3942157	0.3570673	0.3842566	0.3614339	0.3771015	0.3392765	0.3692062	0.3822847	0.367819	0.3638974	0.3751849	0.3839082	0.335399	0.347219	0.3456213	0.3634726	0.3851139	0.3887191	0.3211626	0.3330571	0.3563398	0.3672905	0.3860979	0.3095772	0.3121339	0.340102	0.3585592	0.338709	0.3429759	0.3401729	0.3775602	0.3827879	0.3570965	0.3488134	0.3358725	0.3402287	0.3197855	0.3596992	0.3601694	0.3549638	0.3874458	0.3847889	0.3402314	0.3476724	0.3411586	0.3618867	0.371754	0.3527029	0.373211	0.3703455	0.3547202	0.3530224	0.3350478	0.3528528	0.3503472	0.3322405	0.3675158	0.3243563	0.3507497	0.3429315	0.3443403	0.3361881	0.3492874	0.3412914	0.3509403	0.3263231	0.336443	0.3650743	0.3694629	0.3326503	0.3291477	0.3516592	0.3258967	0.2933711	0.2715124	0.3069337	0.3215645	0.3320143	0.2894189	0.3046577	0.3160675	0.2865013	0.2958819	0.2961114	0.2875903	0.2799068	0.308979	0.2956371	0.2528922	0.2708469	0.2535365	0.2795468	0.2754877	0.2789821	0.2687352	0.271685	0.2517561	0.2775055	0.2434191	0.3448964	0.3639168	0.3429133	0.3739315	0.3505722	0.3239992	0.3536583	0.305462	0.3737884	0.3383688	0.3584513	0.3556344	0.3896807
3	Cingulate_Cortex,_Area_24b	0.3150561	0.2665622	0.3075792	0.3224326	0.3054102	0.3130431	0.3115939	0.2890728	0.3020371	0.2994645	0.2953483	0.2954473	0.3242331	0.3071742	0.3201523	0.3058158	0.2984323	0.3106701	0.284294	0.2927966	0.2932248	0.2799702	0.2522914	0.2951749	0.2834427	0.2846917	0.2420683	0.2595189	0.2926747	0.2588407	0.2934187	0.2884443	0.370142	0.3667209	0.3725734	0.4036475	0.3917924	0.3904112	0.3872718	0.4026016	0.3837505	0.4162857	0.4031682	0.4193767	0.4110317	0.4200903	0.4086584	0.4105871	0.4027767	0.4177242	0.3835196	0.3427258	0.3461105	0.3380816	0.317486	0.3457084	0.3406959	0.3554895	0.3518331	0.3471343	0.3250189	0.3438117	0.367533	0.3755916	0.3546548	0.3218649	0.3837216	0.3168935	0.3767377	0.3066764	0.3720385	0.3729017	0.3739982	0.3645548	0.355597	0.3857263	0.3822577	0.3671876	0.3451449	0.2779184	0.3422081	0.3456801	0.3281099	0.3361582	0.3408644	0.3333174	0.3097582	0.32049	0.3037936	0.3297178	0.3116002	0.3296912	0.3711577	0.3659239	0.3743201	0.3859032	0.3838298	0.3825115	0.357955	0.3818086	0.3664944	0.3765978	0.3334329	0.3688721	0.3746012	0.3617777	0.3615302	0.3739502	0.3706657	0.3354723	0.3409889	0.3408793	0.3714818	0.369824	0.3766925	0.3361641	0.3362381	0.3584338	0.3692644	0.3936424	0.3127563	0.3125836	0.3318142	0.3543351	0.3542399	0.3371026	0.3300325	0.3620871	0.3761495	0.3552598	0.3608129	0.3427677	0.3473676	0.3229323	0.3524919	0.3563865	0.3538407	0.3761274	0.3623314	0.3437189	0.3561065	0.3429923	0.352496	0.3572684	0.3514563	0.3649015	0.3753004	0.3522944	0.3569177	0.340787	0.3542828	0.3452445	0.3258467	0.3555298	0.3323111	0.3491088	0.3470113	0.3468677	0.3330884	0.3512009	0.3273359	0.3539414	0.3284234	0.3345394	0.3611585	0.3712181	0.336051	0.3318335	0.3486389	0.3119962	0.2939301	0.2734389	0.2995853	0.3291818	0.3139262	0.2849277	0.3072305	0.3056358	0.2889399	0.2972691	0.2912121	0.2959362	0.2917254	0.2979011	0.2902638	0.2516085	0.2741349	0.2560236	0.2796452	0.2746833	0.2711463	0.2748247	0.2752335	0.266881	0.2751495	0.2451058	0.3499117	0.3598155	0.3417653	0.3780594	0.3572401	0.3175101	0.353738	0.3197609	0.3825389	0.3189986	0.3610951	0.3459772	0.3852506
4	Cingulate_Cortex,_Area_24b_prime	0.3057943	0.2608654	0.299885	0.3106489	0.2883475	0.3009492	0.3014204	0.2835637	0.2902705	0.2981029	0.2861587	0.2861057	0.3126987	0.2957506	0.3093311	0.2892695	0.29362	0.2979537	0.2754541	0.2804899	0.2775426	0.2707864	0.2463406	0.2849255	0.266249	0.2779568	0.2345557	0.2540671	0.281633	0.2515357	0.2876025	0.2788535	0.3599805	0.3525722	0.3539184	0.3771853	0.3808681	0.376552	0.3691901	0.392454	0.3749316	0.3885867	0.3912139	0.4026669	0.3960485	0.4045562	0.3907875	0.3984498	0.3848355	0.3928739	0.371857	0.3352322	0.3369583	0.3287353	0.309377	0.3332971	0.3426907	0.3440366	0.3406977	0.3380711	0.3154018	0.3360028	0.3509245	0.3562023	0.3419069	0.3107235	0.386096	0.3130641	0.3691448	0.300162	0.3662891	0.368403	0.3729415	0.3641189	0.3634102	0.3727402	0.3849612	0.3584982	0.339799	0.2966154	0.3446169	0.3442062	0.3220784	0.3345749	0.3272328	0.3166679	0.3003003	0.3099613	0.2888346	0.3153555	0.3123391	0.3277331	0.3489464	0.3533721	0.3585837	0.3693673	0.3660509	0.3685498	0.3507965	0.3673916	0.3565175	0.3534758	0.3199304	0.35107	0.3673939	0.3475523	0.3495634	0.3497587	0.3576001	0.3276225	0.3294328	0.3274468	0.3669317	0.3569304	0.3667164	0.318515	0.3198466	0.3401908	0.347541	0.3640527	0.3066781	0.3051372	0.3249738	0.350235	0.3374047	0.323263	0.3251041	0.3581111	0.3649238	0.3450005	0.3411169	0.3275963	0.330676	0.3296882	0.3382052	0.3393844	0.33502	0.3651463	0.3492081	0.326976	0.3372366	0.3212924	0.3426625	0.3488723	0.3390809	0.3506042	0.3600762	0.3387252	0.3404915	0.3303714	0.3402575	0.3335339	0.3174283	0.3430063	0.3192065	0.3358807	0.3305145	0.3278374	0.3212338	0.3367885	0.317364	0.3334641	0.3233646	0.3247505	0.3388735	0.3576518	0.3285809	0.3135994	0.3318338	0.3024241	0.2791248	0.2518512	0.2846852	0.3138078	0.2952155	0.2772329	0.2892209	0.2959426	0.2741666	0.2741721	0.2804654	0.2775131	0.267461	0.2840645	0.2759517	0.2371803	0.2607558	0.2439515	0.2685447	0.255789	0.2556391	0.2536196	0.2621736	0.2515913	0.2545993	0.2333596	0.3327587	0.3540236	0.3335685	0.3579205	0.3438874	0.3008741	0.3437527	0.2991372	0.3630243	0.3203551	0.3469215	0.3314011	0.3669918
5	Cingulate_Cortex,_Area_29a	0.317403	0.2659993	0.3145633	0.3227667	0.2999917	0.3134697	0.3121797	0.2928642	0.3045028	0.3063077	0.2955796	0.2955929	0.3274913	0.3118308	0.3238103	0.2971882	0.3016264	0.2987885	0.2777143	0.2994297	0.2976012	0.2753501	0.2621913	0.2985004	0.2916373	0.2902973	0.2399208	0.2641982	0.2886104	0.2585434	0.2931933	0.2926556	0.3806629	0.3741989	0.377385	0.3946358	0.4008563	0.3941366	0.3856237	0.4075594	0.4062597	0.4039778	0.4021018	0.4124645	0.4053611	0.4200295	0.4094774	0.4164515	0.4029081	0.41129	0.3895965	0.3651601	0.359207	0.3472934	0.3202139	0.3509092	0.357794	0.3539706	0.3622417	0.3524217	0.3322187	0.3235781	0.3772754	0.3696337	0.361768	0.3066175	0.4007767	0.3176548	0.3798911	0.3020256	0.3791918	0.3781002	0.381818	0.3799784	0.3610868	0.3758659	0.3977831	0.3686245	0.3441463	0.2824759	0.3378631	0.3475207	0.3387058	0.3516607	0.3402903	0.3293689	0.3145239	0.3310816	0.3171689	0.3349481	0.3243562	0.346516	0.3713187	0.3683064	0.3927234	0.3926085	0.3911317	0.3942272	0.3757139	0.3961321	0.3740385	0.383417	0.3423939	0.3688709	0.3838703	0.3678813	0.3720288	0.3717357	0.3794185	0.3260753	0.338754	0.3479292	0.3942996	0.376754	0.3920043	0.3195361	0.3413841	0.3604546	0.372417	0.3851412	0.3107236	0.3168344	0.3545264	0.3733518	0.3521309	0.3420626	0.3479923	0.3826074	0.3825598	0.3621109	0.3660146	0.3385043	0.3455655	0.3279451	0.363741	0.3586378	0.360954	0.3928424	0.366962	0.3376341	0.3593108	0.3350281	0.367155	0.3609234	0.3617927	0.3692245	0.3694116	0.3538901	0.3548996	0.3433538	0.3505744	0.3590502	0.3419167	0.3602342	0.334565	0.3477057	0.3461234	0.3365415	0.334453	0.3391085	0.3379836	0.3532915	0.3273782	0.3437574	0.3607307	0.3721631	0.3420771	0.3325207	0.3455208	0.3175902	0.2811982	0.2475897	0.2824575	0.3146982	0.306528	0.2589191	0.2909208	0.2923456	0.2777797	0.273191	0.273561	0.2809012	0.2710293	0.2883122	0.2730648	0.2410863	0.2511268	0.2413865	0.2652421	0.2555467	0.2549381	0.2586474	0.2601263	0.238996	0.2513815	0.2299843	0.3438679	0.3770207	0.3304349	0.370965	0.3548431	0.304581	0.3396936	0.3043144	0.3719392	0.3200677	0.3595175	0.3458831	0.3703404
6	Cingulate_Cortex,_Area_29b	0.325264	0.273613	0.3193947	0.3239899	0.3101515	0.333185	0.3273708	0.3036592	0.305838	0.3128786	0.3000993	0.2999524	0.3350123	0.3120573	0.3290941	0.3081801	0.3119508	0.3155175	0.2837318	0.3065612	0.2992827	0.2739221	0.2621548	0.3078376	0.2980889	0.2912692	0.2583034	0.2784974	0.2961444	0.2628012	0.3019027	0.3155269	0.3828478	0.3865369	0.3759401	0.4086216	0.4015391	0.3970146	0.382336	0.4155769	0.4074806	0.4191547	0.4180993	0.4388432	0.4176482	0.4290468	0.421882	0.4256869	0.420936	0.4179915	0.3907946	0.3731711	0.3762882	0.3561206	0.3262861	0.3602536	0.3748622	0.3633956	0.3718403	0.363014	0.3270559	0.3378453	0.3803568	0.3716074	0.3736574	0.3131413	0.4016381	0.3116646	0.3794203	0.3160944	0.4086303	0.397878	0.3894373	0.3883447	0.3655471	0.3522083	0.4030664	0.3702939	0.3509387	0.2776009	0.3389751	0.352836	0.380743	0.365577	0.3450572	0.3220727	0.3223966	0.3429987	0.3205436	0.3380173	0.3454631	0.3470469	0.3772501	0.3872331	0.3954696	0.3957875	0.3955601	0.3937759	0.3779397	0.3990067	0.3658269	0.3911012	0.348862	0.3811833	0.3820347	0.3861992	0.3666654	0.377856	0.382634	0.3366113	0.3394972	0.3491139	0.3632951	0.3854776	0.3995698	0.3167935	0.3455055	0.3637121	0.3738571	0.3752395	0.3155695	0.3203617	0.3532199	0.3788411	0.3511253	0.3540068	0.3486032	0.3830165	0.3898536	0.3549683	0.360076	0.3407694	0.3435018	0.3361425	0.3708391	0.3621343	0.3575626	0.397626	0.3529196	0.34459	0.357856	0.3404445	0.3728136	0.3652185	0.3700682	0.3842963	0.373214	0.3636974	0.3608401	0.3440393	0.3532273	0.3716093	0.3354649	0.391748	0.3423955	0.3542355	0.3488635	0.3413236	0.3428687	0.3488698	0.3345926	0.3576357	0.3304342	0.3423336	0.3564026	0.3702448	0.3477476	0.3307131	0.3442513	0.3178002	0.2888836	0.2719361	0.2889381	0.3346236	0.3121413	0.2638298	0.3056402	0.3101764	0.2888208	0.2847261	0.2908998	0.3126614	0.2823009	0.3007018	0.2948473	0.2495358	0.2656657	0.2493519	0.269409	0.2597332	0.2619062	0.2736631	0.2742235	0.2513904	0.2586351	0.2368775	0.3471623	0.3952319	0.3360402	0.3771179	0.3490877	0.315506	0.3570922	0.3197032	0.3801743	0.3268706	0.3705631	0.3593971	0.380232
7	Cingulate_Cortex,_Area_29c	0.3365168	0.2832461	0.3212926	0.3400048	0.3147996	0.3299829	0.3309777	0.3047118	0.3175465	0.3253104	0.3078238	0.3078227	0.3457361	0.322742	0.3362221	0.3139426	0.31284	0.319901	0.2927562	0.3051087	0.3053563	0.2896286	0.2753899	0.3089928	0.2893153	0.2955218	0.2539715	0.2744319	0.3027117	0.2719173	0.3082829	0.3128582	0.3824712	0.3722981	0.3758882	0.4098906	0.4093817	0.4064293	0.3887126	0.4225096	0.4060814	0.4201436	0.4243473	0.4321783	0.4180832	0.4374699	0.4206579	0.4196045	0.4143937	0.42562	0.3952545	0.370021	0.3710665	0.3569597	0.3335309	0.3572357	0.3746205	0.3695101	0.3785194	0.3702451	0.3388015	0.3359	0.374186	0.3769806	0.3611965	0.3258669	0.4045725	0.3305922	0.3937761	0.311515	0.3993487	0.3978103	0.3993082	0.3981406	0.3807867	0.3743398	0.4155859	0.3661099	0.3477382	0.3034815	0.3489543	0.3618619	0.3478714	0.3567257	0.3486406	0.3378156	0.3207919	0.3362656	0.3156764	0.3385525	0.3311025	0.3508613	0.3748895	0.3704187	0.3822165	0.4006933	0.394725	0.4049589	0.3711362	0.3964091	0.3723984	0.3871663	0.3452445	0.3654509	0.3852791	0.3754577	0.3664433	0.3732732	0.3813198	0.3410244	0.3477942	0.3529962	0.3701804	0.3929287	0.3910615	0.3323292	0.3429098	0.3599199	0.3789678	0.3705525	0.3209829	0.3114848	0.3473442	0.3691776	0.3532235	0.3475359	0.3484518	0.3849577	0.3925602	0.364407	0.3611716	0.3488365	0.3481618	0.3353038	0.3685299	0.3641491	0.3585113	0.3970299	0.3558824	0.3478733	0.3561225	0.340089	0.372567	0.3701667	0.3654952	0.3812213	0.3795544	0.3589184	0.3552946	0.3393181	0.3590899	0.3561183	0.3366794	0.3711608	0.334835	0.3525767	0.3476889	0.345935	0.341616	0.3508159	0.3429706	0.3523982	0.333748	0.3460937	0.3604983	0.3819877	0.3504967	0.339159	0.3500848	0.3247006	0.2961821	0.2707354	0.2932035	0.3370354	0.3282157	0.276141	0.3040728	0.3112522	0.2887734	0.2875914	0.295701	0.3006426	0.2825596	0.3084473	0.3014111	0.2532734	0.27107	0.255594	0.2882444	0.2758428	0.2759427	0.2700405	0.2772661	0.262613	0.2729676	0.2526946	0.360257	0.3760228	0.3531238	0.3855413	0.3592069	0.3249178	0.3606992	0.312965	0.3785639	0.3487688	0.3678437	0.3539597	0.3880135
8	Cingulate_Cortex,_Area_30	0.3137406	0.2774343	0.3143197	0.3208235	0.3102951	0.322421	0.3156111	0.2962071	0.3041611	0.3079746	0.2994508	0.2993748	0.3310731	0.3064577	0.3222867	0.3021628	0.3046653	0.3127749	0.2818679	0.2951714	0.2975962	0.281814	0.2659909	0.3056142	0.2834376	0.2923218	0.2574119	0.2640929	0.290076	0.2664175	0.2992862	0.3054505	0.3765724	0.378135	0.3682003	0.390922	0.3979453	0.3984668	0.3864808	0.4038701	0.3981425	0.4018852	0.4116747	0.4185253	0.4092673	0.4205404	0.4087993	0.4096214	0.4025822	0.4013206	0.3834065	0.3672614	0.359269	0.3446172	0.3259374	0.3435711	0.3643757	0.3543679	0.3631366	0.3538881	0.3276172	0.3454042	0.3666677	0.3698178	0.3610166	0.3263185	0.3965287	0.3176247	0.3856158	0.3138213	0.3888693	0.3884647	0.3947384	0.3769662	0.371089	0.3657283	0.3944235	0.3714919	0.3498756	0.2931989	0.3323521	0.3399588	0.3564996	0.3510636	0.3469642	0.3380596	0.3167667	0.3304166	0.3118791	0.3376948	0.3292526	0.3474985	0.371951	0.375591	0.3796243	0.387454	0.3906099	0.3828432	0.3687619	0.3897249	0.3715754	0.3780975	0.3368147	0.3681037	0.3789954	0.3656184	0.3631232	0.3672345	0.3779893	0.3387221	0.3432383	0.3423531	0.3581176	0.383599	0.385531	0.3246086	0.3417314	0.3561005	0.3737824	0.3752061	0.3164602	0.3165872	0.3503225	0.370213	0.3503488	0.3438657	0.344373	0.3702702	0.3805216	0.361499	0.3547424	0.3372412	0.336916	0.3341646	0.3600293	0.3583088	0.3505779	0.3826374	0.3521037	0.3441453	0.3566302	0.3390417	0.3604867	0.3587528	0.356805	0.3721759	0.3768	0.3517193	0.3551337	0.3385942	0.3479121	0.3521122	0.3300478	0.3633183	0.3289626	0.3506392	0.3436233	0.3410242	0.3418585	0.3461857	0.3330754	0.350871	0.3325616	0.3311214	0.3512586	0.3757055	0.3487085	0.3290086	0.3444532	0.3233457	0.2979249	0.2688915	0.2899097	0.3288472	0.3071631	0.2694518	0.3082777	0.3092569	0.2891392	0.2801134	0.2877161	0.306101	0.2811053	0.3086472	0.2961379	0.2484974	0.2678635	0.2476698	0.2766528	0.260712	0.265222	0.2672684	0.2701809	0.258853	0.2640258	0.2485888	0.3559528	0.3795939	0.3447906	0.3852406	0.361098	0.3218051	0.357074	0.3152402	0.3789779	0.3283788	0.3733371	0.3464091	0.3849244
9	Cingulate_Cortex,_Area_32	0.3102587	0.2595539	0.3069318	0.3185402	0.3017568	0.3116618	0.3051208	0.2897188	0.2990033	0.2934817	0.2952552	0.2953309	0.3225915	0.3013592	0.3194458	0.3016325	0.3047922	0.3097608	0.277638	0.3019016	0.3003378	0.2798982	0.2489094	0.2934331	0.2949545	0.2768683	0.2408329	0.2710276	0.2893132	0.2613119	0.2954641	0.2842249	0.3759765	0.3676534	0.3741567	0.4040186	0.3913747	0.3928168	0.3816395	0.4099092	0.3925053	0.4164153	0.3987522	0.4187958	0.4113736	0.4181538	0.404939	0.4112024	0.3953504	0.414309	0.3754876	0.3584534	0.351858	0.3394281	0.3251902	0.343694	0.3462222	0.3538821	0.3541189	0.3487253	0.3258352	0.336442	0.3761646	0.3713368	0.3531051	0.3318393	0.3932581	0.3168705	0.3777319	0.3130415	0.3739395	0.3749864	0.3710923	0.3666393	0.3602076	0.3961372	0.3886213	0.3624649	0.335131	0.2708155	0.3533773	0.3446127	0.3285518	0.3437118	0.3418895	0.3348046	0.321315	0.3260784	0.319138	0.3425073	0.3149632	0.3263264	0.3664307	0.3777451	0.3853034	0.3900012	0.3804451	0.3830554	0.3673034	0.3790435	0.3639301	0.3848118	0.3320361	0.3699334	0.3815447	0.3619243	0.3642915	0.3841316	0.3782596	0.327834	0.34016	0.3446923	0.3563153	0.3743738	0.3767761	0.332319	0.3366185	0.3661927	0.3750395	0.3359539	0.3202741	0.3132067	0.3399355	0.3670097	0.3572337	0.335958	0.3423009	0.3621848	0.3724582	0.3577366	0.3719136	0.3436753	0.3505976	0.3148397	0.3606782	0.3631421	0.3619584	0.3764206	0.3485583	0.3429889	0.3609192	0.3502674	0.3557921	0.3633241	0.3585405	0.3684058	0.373783	0.3555343	0.3556577	0.3420637	0.3544411	0.344558	0.3351846	0.3638473	0.3343888	0.3503227	0.3496426	0.3453647	0.3362037	0.3529648	0.331757	0.3582918	0.3290855	0.3322034	0.361111	0.3759308	0.3431466	0.3323824	0.3523283	0.3161537	0.2935192	0.2744213	0.3035521	0.3325009	0.3134595	0.2799788	0.3132778	0.3040579	0.286759	0.2982245	0.2815496	0.3018688	0.2900093	0.2989302	0.2860171	0.2509173	0.2683631	0.2600245	0.2776269	0.2690007	0.261559	0.276612	0.2716332	0.26881	0.2713882	0.2503684	0.3529702	0.3674154	0.3442548	0.3827255	0.3650374	0.3294628	0.3478363	0.3323586	0.3932075	0.3177996	0.36547	0.3580648	0.385874
