ROI	structure	N57437	N57442	N57446	N57447	N57449	N57451	N57496	N57498	N57500	N57502	N57504	N57513	N57515	N57518	N57520	N57522	N57546	N57548	N57550	N57552	N57554	N57559	N57580	N57582	N57584	N57587	N57590	N57692	N57694	N57700	N57702	N57709	N58302	N58303	N58305	N58309	N58310	N58344	N58346	N58350	N58355	N58359	N58361	N58394	N58396	N58398	N58400	N58402	N58404	N58406	N58408	N58477	N58500	N58510	N58512	N58514	N58516	N58604	N58606	N58608	N58611	N58613	N58706	N58708	N58712	N58214	N58215	N58216	N58217	N58218	N58219	N58221	N58222	N58223	N58224	N58225	N58226	N58228	N58229	N58230	N58231	N58232	N58633	N58634	N58635	N58636	N58649	N58650	N58651	N58653	N58654	N58714	N58740	N58734	N58792	N58784	N58790	N58779	N58749	N58788	N58794	N58733	N58655	N58735	N58780	N58747	N58751	N58745	N58742	N58732	N58935	N59003	N58819	N58909	N58919	N58889	N59010	N58859	N58917	N58815	N58997	N58999	N58881	N58853	N58995	N58877	N58883	N58885	N58906	N58821	N58855	N58861	N58857	N58851	N58887	N58879	N58829	N58913	N58831	N58941	N58813	N58952	N59022	N59026	N59033	N59035	N59039	N59041	N59065	N59066	N59072	N59076	N59078	N59080	N59097	N59099	N59109	N59116	N59118	N59120	N58612	N59136	N59140	N58946	N59141	N58915	N59005	N58954	N58948	N58610	N60103	N60062	N60101	N60056	N60088	N60064	N60070	N60093	N60097	N60095	N60068	N60072	N60058	N60092	N60060	N60188	N60190	N60192	N60194	N60198	N60219	N60221	N60223	N60225	N60229	N60231	N60167	N60133	N60200	N60131	N60139	N60163	N60159	N60157	N60127	N60161	N60169	N60137	N60129
0	Exterior	3561.392	3667.749	3324.606	3498.756	3426.694	3699.928	3056.644	3135.573	3237.46	3011.074	3403.198	3400.779	3405.4	3943.934	3180.15	3783.823	3236.54	3399.78	3719.569	3704.653	3606.24	3250.865	3695.489	3380.211	3566.062	3543.688	4240.116	3823.641	3539.672	3899.78	3494.433	3682.984	2826.58	2858.632	2593.686	2712.506	2734.344	2780.995	3138.093	2771.388	3049.302	2744.039	2839.733	2734.704	2814.73	2580.347	2800.831	2852.643	2875.053	2745.357	2815.388	3040.702	3157.202	3255.92	3600.388	3381.211	3275.296	3313.536	3108.515	3312.274	3574.037	4211.406	2897.95	2893.044	3206.161	2410.198	2115.553	2897.717	1954.786	2775.118	2028.609	2165.549	2170.623	2155.824	2163.327	2225.834	2358.77	2136.555	2620.01	3213.553	2539.846	2465.494	2540.209	2186.643	2622.69	2533.954	2514.465	2613.451	2733.228	2500.146	2748.77	3794.153	3506.715	3340.417	3471.46	3410.948	3335.933	3356.179	3597.029	3294.297	3612.791	3430.727	3834.143	3385.155	3478.245	3622.82	3582.623	3365.713	3384.107	3793.044	3763.662	3731.386	7138.067	3093.338	3219.964	4064.259	3566.148	3730.392	3414.399	6870.046	3565.461	3582.19	3542.96	3814.062	3662.103	3868.506	3747.048	3721.129	3152.241	3699.23	3682.74	3679.097	3482.163	4536.427	3533.166	3563.244	3877.722	3341.1	7460.965	3752.017	3852.789	3596.969	3556.256	3713.938	3664.34	3585.475	3588.201	3720.458	3721.68	3854.737	3718.253	3457.022	3561.695	3326.853	3912.567	3755.865	3882.136	3703.369	3664.6	3773.907	3988.737	3721.158	3897.592	3885.355	3579.481	3411.2	3674.719	3858.628	3744.611	4753.126	4146.591	4457.519	4137.922	3893.287	3692.988	4123.933	4096.355	3993.62	4150.214	4321.183	4516.967	3784.982	4724.749	3729.77	4420.677	4003.067	3887.523	4004.685	3918.968	4078.223	4180.205	3792.327	4100.85	4314.964	4028.134	4397.613	3100.869	2958.556	2995.745	2919.476	3010.736	3256.907	3465.774	3573.681	2939.55	3434.904	3094.725	3081.413	2827.551
1	Cingulate_Cortex,_Area_24a	6215.807	6636.759	6269.908	6194.67	6483.143	6551.678	5928.887	6063.062	6217.175	5642.964	6325.704	6326.655	6337.955	6799.175	6406.236	6860.529	6348.022	6071.011	6958.279	6616.33	6662.58	5994.047	7206.934	6481.989	6343.064	6867.323	7394.44	7139.268	6329.288	7026.29	6672.304	6718.189	5234.03	5335.374	5156.838	4844.057	5108.307	5243.127	5501.93	4974.078	5410.674	4618.116	4959.417	4835.269	4993.818	4863.31	4907.409	4981.517	5032.854	4842.418	5446.606	5436.714	5647.635	5820.591	6438.541	6119.525	5459.446	5549.699	5737.992	5662.064	6236.071	7477.725	5527.76	5355.758	5859.394	6730.098	5022.366	6779.077	5348.038	7074.171	5212.835	5222.786	5592.851	5270.625	5064.063	5281.339	5135.052	5591.329	6248.427	7752.313	5939.035	5838.264	5972.154	5907.65	6044.749	6151.345	5999.063	5561.27	6154.374	5462.41	6015.529	6210.208	5440.023	5042.014	5603.507	5184.629	5419.101	5235.947	5747.776	5394.491	5788.927	5171.773	6025.54	5228.053	5367.047	5528.91	5674.339	5413.162	5442.783	5694.502	6061.611	6211.914	11439.82	5165.291	5372.782	6769.545	5589.84	5635.908	5639.168	11188.68	5617.758	5527.443	6153.564	6007.367	6655.512	6463.723	6135.408	5677.167	5167.425	6078.94	5816.444	6010.071	5615.939	7241.641	5680.594	6114.926	5801.21	5498.488	11854.71	6132.207	6076.538	5807.578	5807.935	5757.82	6061.723	5736.764	5723.766	6060.99	6149.674	6385.497	6155.018	5781.899	6072.583	5034.229	6568.887	6196.05	6110.771	5865.575	6050.921	6030.276	6224.489	5997.777	6386.048	6396.823	5757.447	5664.147	6375.307	6439.1	5907.938	7459.14	6897.258	7041.676	6808.573	6106.108	5888.444	6427.229	6543.38	6204.164	6881.38	6870.57	7023.649	6039.345	7455.924	6059.35	7083.019	7491.179	7270.658	7529.061	7426.513	7162.328	6881.907	6918.878	7026.643	7346.919	7009.599	7995.218	5900.157	5273.943	5541.272	5240.248	5578.866	5857.368	5861.546	6332.725	5136.636	5944.586	5628.196	5436.951	4928.595
2	Cingulate_Cortex,_Area_24a_prime	6152.014	6269.671	5927.78	6005.717	6208.764	6533.819	5572.453	5672.558	5932.135	5272.372	6036.263	6036.899	6130.249	6631.726	6118.066	6757.351	6107.363	6032.958	6654.503	6272.586	6369.481	5691.92	6672.781	6236.458	6357.327	6454.263	7038.908	6785.557	6062.643	6718.026	6296.083	6440.136	4920.027	5063.412	4781.599	4700.763	4920.921	5006.771	5406.789	4851.584	5290.613	4454.045	4842.978	4635.755	4856.551	4533.949	4836.661	4869.763	4924.031	4626.871	5048.043	5149.365	5501.886	5651.492	6055.576	5756.513	5286.603	5411.124	5391.732	5577.865	6010.85	7227.105	5160.758	5000.813	5488.653	6423.484	4857.348	6637.474	5195.658	6811.152	5058.989	5107.92	5250.782	5063.034	4843.256	5115.087	4897.562	5486.437	6038.226	7133.923	5856.396	5769.528	5734.639	5568.893	5681.213	5907.631	5700.286	5399.696	5976.529	5142.149	5692.771	5712.489	5280.081	4815.447	5315.577	5008.646	5221.142	5134.544	5552.955	5159.95	5500.925	4894.301	5773.661	4960.514	5022.53	5285.262	5576.325	5184.748	5159.049	5344.516	5765.915	5901.644	10895.38	4760.735	5035.314	6337.544	5281.176	5485.961	5362.49	10619.48	5185.75	5080.531	5669.148	5651.402	5928.745	6016.907	5914.565	5444.035	4945.924	5670.473	5763.471	5647.609	5271.372	6646.205	5519.428	5740.291	5653.726	5166.569	11152.44	5924.515	5793.893	5582.798	5562.657	5495.823	5724.83	5527.896	5557.226	5782.464	5697.628	5998.894	5832.976	5372.769	5552.292	4828.816	6349.248	5797.758	5904.927	5816.58	5766.902	5949.301	5949.095	5764.303	6033.975	5980.566	5532.671	5399.448	5957.959	6196.202	5693.163	7295.752	6518.068	6712.224	6511.226	5843.738	5608.912	6269.128	6414.195	5938.055	6488.086	6563.382	6633.833	5940.988	7223.576	5895.094	6675.648	7188.39	6798.235	7137.27	7075.004	6900.492	6703.133	6728.951	6913.528	7324.036	6790.411	7606.378	5562.263	4958.137	5294.803	5050.935	5380.043	5474.182	5506.297	6034.323	5037.578	5498.059	5265.884	5164.276	4831.584
3	Cingulate_Cortex,_Area_24b	6214.755	6394.552	6036.072	6053.511	6258.557	6489.753	5802.845	5950.94	6170.977	5578.454	6200.689	6198.015	6196.1	6677.072	6166.559	6751.494	6236.476	6111.311	6806.567	6386.545	6499.382	5811.932	6889.133	6278.323	6452.847	6555.064	7277.049	7017.467	6303.043	6812.881	6429.466	6567.728	5014.927	4970.637	4774.691	4667.081	4830.812	4916.736	5120.813	4746.83	5188.841	4562.435	4857.418	4646.725	4761.921	4637.708	4737.006	4839.748	4846.218	4601.413	4975.888	5320.228	5613.391	5683.21	6142.992	5829.279	5465.657	5476.276	5583.338	5588.055	6137.291	7562.078	5171.323	5091.233	5484.699	6182.108	4932.075	6413.401	5116.411	6651.856	5163.738	5153.039	5184.772	5202.73	5024.314	5081.389	5064.676	5174.956	5745.614	7522.996	5671.727	5721.008	5876.557	5709.354	5764.269	5881.031	5817.389	5464.229	5947.527	5115.662	5736.041	5905.112	5038.383	4903.055	5336.583	5006.053	5121.584	5057.929	5514.47	5116.354	5372.644	4911.185	5743.216	4899.249	5002.772	5255.19	5517.099	5114.272	5217.349	5321.092	5768.362	5873.269	10880.32	4899.481	5111.319	6181.696	5296.951	5369.863	5268.607	10772.55	5395.73	5291.013	5782.893	5600.809	5704.85	5992.217	5926.092	5432.051	4965.685	5585.484	5516.731	5537.461	5178.695	6559.581	5384.412	5673.696	5531.145	5238.178	11038.34	5717.927	5566.61	5519.072	5539.482	5555.242	5696.531	5471.817	5360.705	5730.877	5599.552	5886.95	5712.704	5388.731	5646.781	4911.475	6192.501	5731.58	5830.843	5706.31	5778.269	5811.553	6128.644	5652.961	5967.542	5861.645	5501.283	5354.948	5909.763	5969.944	5653.771	7703.084	6555.155	6764.055	6571.246	5926.535	5865.213	6228.65	6375.852	6203.272	6562.277	6602.724	6672.063	5841.612	7095.971	6069.474	6776.752	7354.116	6977.695	7196.489	7067.61	7017.194	6826.498	6840.081	6927.596	7133.472	6926.21	7697.768	5506.511	5057.902	5293.563	4957.95	5288.813	5543.982	5486.761	5940.336	4802.064	5733.534	5235.017	5202.729	4820.242
4	Cingulate_Cortex,_Area_24b_prime	6182.735	6333.938	5890.825	6075.199	6202.427	6574.974	5549.244	5757.844	5935.643	5292.373	6022.067	6022.399	6171.219	6722.715	6197.631	6839.244	6124.297	6052.622	6751.007	6402.558	6415.43	5811.995	6781.204	6184.654	6643.798	6423.688	7116.856	6833.095	6248.659	6741.007	6174.672	6508.706	5006.336	5124.421	4843.136	4806.217	4823.362	5068.376	5298.442	4836.663	5186.445	4705.379	4933.267	4667.236	4904.079	4615.174	4961.871	4986.422	5071.55	4761.111	5023.809	5293.035	5624.034	5781.654	6100.029	6050.502	5503.093	5531.329	5516.8	5676.438	6149.733	7496.868	5195.788	5045.192	5519.35	6183.679	4944.092	6428.717	5156.458	6622.154	5150.551	5105.739	5122.707	5111.945	4900.176	5075.701	4982.635	5286.368	5632.487	6970.956	5482.624	5722.78	5870.87	5618.364	5742.752	6019.978	5713.943	5482.06	6005.897	5158.105	5660.059	5706.855	5303.115	4904.244	5455.585	5162.937	5155.356	5132.07	5553.719	5203.485	5364.863	4968.052	5801.179	4931.992	5077.546	5350.847	5628.995	5380.088	5230.531	5273.48	5683.182	5914.618	10991.17	4898.806	5062.31	6060.241	5360.708	5536.317	5418.038	10737.65	5135.315	5186.914	5736.406	5644.675	5714.278	6020.087	5867.114	5403.458	4919.824	5548.325	5670.187	5612.964	5226.94	6278.522	5575.116	5731.941	5767.178	5169.402	11277.62	5854.564	5691.967	5601.67	5619.014	5574.839	5674.68	5654.361	5430.538	5718.276	5596.834	5853.535	5721.21	5292.09	5435.887	4791.004	6302.613	5717.639	5896.601	5792.392	5764.686	5894.214	6138.45	5755.576	5889.984	5767.467	5712.47	5333.986	5922.772	6161.765	5639.374	7625.647	6498.766	6826.147	6458.845	5861.889	5756.564	6319.741	6365.548	6085.503	6407.04	6667.433	6618.542	5891.895	7201.935	5982.941	6701.1	7244.352	6808.783	7064.792	6916.991	6994.371	6831.619	6775.259	6897.401	7259.392	6935.215	7554.145	5449.16	5088.289	5206.521	4940.186	5310.724	5483.136	5393.375	6036.407	4865.972	5572.135	5206.798	5210.753	4877.106
5	Cingulate_Cortex,_Area_29a	6221.289	6333.295	5886.029	6025.065	6148.448	6382.776	5438.702	5766.338	5796.467	5235.267	5999.735	5999.574	6229.754	6685.587	6008.195	6769.935	5993.226	6129.283	6677.201	6311.527	6247.044	5769.236	6687.722	6073.827	6228.314	6385.546	7146.677	6856.939	6152.42	6735.946	6142.198	6342.123	4999.186	5083.05	4813.508	4733.662	4823.179	4934.085	5273.436	4709.155	5164.674	4631.414	4892.134	4751.943	4919.208	4666.532	4874.839	4861.204	5031.337	4798.105	4960.16	5189.454	5498.184	5643.834	6161.763	5959.838	5242.866	5547.441	5396.303	5648.16	6069.126	7424.928	5070.567	4992.514	5514.298	6469.033	5081.462	6540.634	5251.89	6644.434	5088.521	5053.526	5193.722	5264.468	5274.956	5698.238	5028.552	5413.877	5907.437	7072.192	6023.15	5762.713	5545.473	5427.024	5509.205	5769.428	5596.057	5364.641	5710.297	5093.694	5600.635	5630.906	5162.321	4940.174	5275.426	5037.964	5057.44	5042.196	5411.391	5001.42	5435.29	4886.499	5673.922	4987.804	5119.48	5367.41	5539.912	5284.437	5110.64	5512.671	5861.899	5915.366	10789.37	4738.103	5053.396	6285.658	5151.66	5429.415	5295.77	10666.73	5286.14	5028.416	5399.691	5589.882	5704.88	6026.083	5809.47	5345.619	4858.598	5585.289	5473.13	5742.043	5302.223	6592.512	5372.725	5436.768	5590.745	5054.576	11034.14	5726.574	5646.098	5710.689	5456.405	5723.966	5662.717	5556.991	5576.814	5794.459	5647.648	5985.483	5867.218	5068.116	5246.519	5021.463	6233.156	5828.349	5865.39	5790.954	5731.386	6004.834	6108.911	5720.995	5875.228	5702.383	5534.749	5274.509	5824.314	6000.401	5813.392	7451.219	6410.452	6887.053	6419.777	5916.012	5807.586	6481.286	6359.458	6132.357	6428.04	6714.044	6694.208	5892.503	7219.326	5878.9	6816.269	7124.617	6924.894	7226.252	6986.852	7069.402	6980.671	6752.386	7002.884	7281.883	6903.838	7448.117	5352.364	5130.424	5329.185	4983.267	5300.222	5562.66	5578.25	6143.607	4924.457	5769.631	5150.813	5279.146	4973.509
6	Cingulate_Cortex,_Area_29b	6564.823	6755.29	6261.854	6424.142	6498.455	6456.182	5788.566	6265.039	6257.96	5596.707	6407.675	6404.377	6631.25	7042.496	6236.197	7066.496	6279.862	6434.084	7150.79	6607.94	6663.011	6341.372	7180.678	6392.921	6523.855	6822.6	7392.298	7105.934	6455.985	7131.955	6437.864	6544.601	5185.312	5207.968	5035.542	5037.646	5002.749	5102.482	5503.307	4822.371	5308.196	4809.758	5111.275	4731.856	5023.22	4870.282	5021.125	4920.679	5192.214	4990.777	5181.534	5456.4	5652.992	5869.818	6330.4	6213.93	5394.704	5743.192	5674.243	5845.966	6303.13	7790.366	5189.823	5144.234	5514.266	6783.204	5080.528	6757.296	5377.716	6880.646	5067.002	5102.918	5243.774	5223.909	5313.668	6203.511	5185.049	5444.258	6025.532	7753.666	6208.933	5804.169	5634.976	5580.489	5836.934	5951.187	5777.694	5558.581	6038.426	5381.853	5899.815	5847.696	5396.83	5052.951	5502.275	5291.819	5360.65	5096.267	5647.353	5227.353	5695.323	5085.632	5770.704	5285.566	5375.576	5481.214	5659.199	5416.624	5299.397	5566.884	5937.412	6177.719	11323.1	4861.11	5136.144	6476.536	5395.563	5557.657	5433.941	11100.35	5615.842	5418.156	5540.889	5758.682	5910.373	6100.375	6001.978	5455.959	4992.146	5876.168	5684.166	5998.144	5484.817	6738.174	5557.548	5601.976	5767.699	5211.986	11490.75	5880.569	5888.396	5825.089	5542.657	5918.514	5875.637	5722.898	5645.682	5916.71	5857.871	6314.302	6072.761	5224.342	5544.042	4908.17	6378.475	5911.541	6028.865	6004.366	5857.84	6133.926	6338.421	5933.975	6060.041	5910.215	5639.44	5514.009	6035.537	6280.204	5969.71	7886.17	6643.783	7068.968	6688.474	6013.377	5950.104	6737.341	6464.406	6191.743	6614.415	6860.283	6835.621	5973.763	7257.084	5997.908	6956.164	7265.92	7195.497	7454.461	7317.14	7375.805	7167.432	6939.438	7167.613	7468.112	7155.898	7724.246	5449.839	5176.998	5484.537	5092.99	5353.496	5557.729	5659.103	6215.064	5037.403	5950.499	5286.676	5318.158	5179.605
7	Cingulate_Cortex,_Area_29c	6084.429	6189.076	5896.189	5965.769	6054.361	6383.583	5357.072	5628.467	5750.548	5148.068	5949.454	5949.255	6130.9	6681.769	6083.016	6755.029	5989.015	6042.052	6676.853	6301.327	6192.591	5659.328	6503.821	6029.581	6340.216	6373.666	6792.063	6705.536	6128.577	6611.709	6115.15	6237.615	4913.587	5045.911	4790.608	4692.468	4672.686	4909.334	5307.942	4739.252	5113.823	4599.189	4862.567	4672.881	4937.083	4572.089	4868.369	4823.69	5002.697	4729.726	4946.841	5162.403	5432.793	5596.683	6008.767	5899.939	5275.428	5491.579	5351.531	5563.713	6020.231	7272.122	5123.885	4980.043	5491.899	6371.556	5046.044	6504.183	5188.871	6572.261	5062.259	5033.262	5192.057	5122.068	5119.986	5459.341	4990.616	5500.92	5869.119	7052.241	5847.457	5744.336	5620.322	5527.812	5655.896	5846.098	5609.185	5365.138	5720.506	5084.984	5567.197	5566.376	5150.421	4873.953	5358.48	5007.397	5058.504	4963.632	5420.093	5048.104	5355.837	4801.883	5645.278	5036.568	4988.016	5297.462	5507.349	5250.638	5146.713	5273.434	5679.775	5857.145	10691.66	4730.956	5011.814	6097.186	5066.163	5411.563	5229.136	10603.45	5058.473	5084.405	5564.942	5497.516	5661.434	5907.25	5767.939	5275.877	4783.516	5549.868	5614.314	5556.246	5244.333	6349.799	5365.095	5395.829	5640.685	5038.143	10843.9	5728.193	5636.675	5584.294	5445.483	5597.546	5614.89	5480.471	5448.891	5737.417	5592.247	5891.377	5776.881	5160.819	5295.154	4725.477	6210.509	5722.304	5792.409	5710.393	5687.78	5911.701	6002.104	5721.548	5870.861	5656.753	5501.401	5218.574	5826.459	5962.291	5690.125	7353.863	6271.172	6661.599	6361.263	5746.69	5515.632	6357.85	6246.702	5943.557	6357.028	6514.326	6472.608	5780.795	7043.887	5768.88	6542.017	6959.305	6665	7085.676	6760.33	6902.63	6757.662	6552.336	6850.023	7069.062	6765.871	7245.149	5255.252	5006.004	5215.198	4864.209	5269.338	5377.636	5381.251	5978.158	4924.645	5438.152	5074.348	5133.78	4875.691
8	Cingulate_Cortex,_Area_30	6151.562	6198.278	5883.51	6042.283	6076.274	6304.913	5521.935	5715.207	5807.099	5282.166	5992.569	5993.431	6046.771	6668.381	6038.277	6645.537	6006.947	6081.219	6746.419	6316.491	6283.809	5768.266	6613.972	6032.237	6289.459	6297.291	6908.007	6676.142	6169.474	6622.793	6042.604	6171.086	4839.077	4966.546	4710.093	4689.607	4640.853	4829.602	5128.585	4672.726	5003.325	4513.439	4797.154	4550.863	4751.062	4549.713	4724.049	4732.89	4870.661	4676.52	4861.139	5134.824	5427.473	5632.7	5980.379	5964.44	5312.668	5470.188	5356.005	5552.219	5955.608	7301.002	4974.736	4884.274	5317.894	6239.624	4887.087	6340.767	5011.418	6483.266	4994.59	4886.968	4992.539	5008.505	5015.844	5489.864	4958.267	5202.861	5641.58	7136.847	5785.363	5619.172	5526.223	5424.374	5538.398	5747.923	5523.542	5361.649	5721.495	5019.857	5563.735	5499.926	5047.328	4824.616	5313.366	5036.921	5013.124	4964.865	5440.558	5069.003	5348.739	4778.382	5602.262	4994.973	5052.158	5298.248	5516.656	5233.467	5032.109	5239.996	5625.482	5897.588	10643.3	4689.777	4938.805	6045.563	5166.766	5364.501	5177.089	10547.37	5190.049	5218.176	5394.196	5429.544	5604.875	5832.692	5733.615	5268.886	4734.639	5567.857	5500.59	5539.45	5260.56	6313.382	5352.471	5351.893	5570.179	5025.479	10791.7	5651.984	5571.643	5598.194	5382.631	5596.365	5600.639	5437.917	5307.692	5632.116	5575.107	5872.152	5690.996	5092.203	5294.453	4705.792	6126.75	5676.614	5759.702	5713.184	5630.819	5868.209	6037.887	5632.727	5774.254	5656.11	5486.359	5207.297	5763.375	5947.135	5673.727	7467.117	6277.355	6625.275	6320.817	5662.115	5606.208	6278.8	6139.695	5866.555	6292.752	6461.682	6407.984	5726.039	6940.483	5805.31	6528.092	6859.226	6682.169	6955.58	6561.516	6906.217	6731.3	6490.352	6724.775	7130.469	6643.485	7246.606	5062.638	4925.878	5078.179	4728.447	5040.771	5310.038	5241.165	5772.563	4762.941	5489.515	4994.398	5022.947	4726.922
9	Cingulate_Cortex,_Area_32	6258.128	6421.508	6201.158	6176.163	6335.903	6555.506	6151.944	6134.081	6353.823	5724.4	6357.168	6354.799	6313.575	6767.113	6296.27	6731.578	6329.273	6022.407	7040.425	6392.925	6581.911	5860.81	7206.503	6603.761	6512.844	6946.998	7310.25	7159.19	6623.928	6913.115	6535.7	6630.995	5099.127	5129.836	5047.595	4734.817	4938.101	4941.881	5295.984	4673.637	5028.238	4507.61	4746.604	4746.309	4880.103	4778.108	4680.55	4803.19	4792.143	4716.338	5312.229	5400.518	5678.506	5690.954	6192.234	6039.107	5410.259	5418.876	5743.717	5635.827	6162.46	7626.822	5301.098	5293.65	5779.13	6288.714	4949.371	6330.378	5163.062	6889.825	5282.797	5157.987	5201.601	5267.928	5144.478	5038.247	5060.346	5321.689	6067.732	7692.519	5506.051	5859.131	5935.001	5800.102	5790.952	6058.605	5937.41	5423.841	5867.613	5237.814	5755.055	6241.184	5133.828	4924.724	5368.291	5056.589	5407.783	5098.208	5561.879	5295.097	5604.567	5030.887	5881.103	4999.252	5225.062	5396.677	5566.208	5228.317	5205.186	5379.3	5879.189	6129.772	11178.28	4934.902	5310.04	6154.759	5694.402	5450.827	5469.57	10813.18	5517.167	5580.606	5973.449	5653.5	5833.076	6118.358	5886.773	5486.561	5146.336	5758.822	5544.408	5823.198	5382.949	6993.415	5560.98	5770.929	5503.058	5358.325	11492.16	5906.107	5650.752	5693.164	5723.61	5760.74	5849.786	5723.581	5506.925	5849.579	5906.185	6152.422	5937.923	5662.669	5758.674	5097.227	6427.008	5930.899	6030.94	5773.85	5873.634	6023.953	6215.935	5813.809	6184.904	6122.913	5720.028	5391.952	6070.577	6299.348	5793.339	7686.087	6714.474	7014.06	6639.783	5968.52	6012.885	6375.623	6359.54	6364.592	6755.395	6783.996	6839.116	5956.998	7302.793	6215.404	6913.999	7567.487	7233.939	7493.966	7274.529	7157.947	7019.915	7058.273	7148.396	7168.896	7005.04	7876.839	5676.206	5103.897	5451.659	4911.766	5441.609	5786.859	5715.132	6049.72	4844.825	6025.98	5569.883	5337.117	4978.218
