ROI	structure	N57437	N57442	N57446	N57447	N57449	N57451	N57496	N57498	N57500	N57502	N57504	N57513	N57515	N57518	N57520	N57522	N57546	N57548	N57550	N57552	N57554	N57559	N57580	N57582	N57584	N57587	N57590	N57692	N57694	N57700	N57702	N57709	N58302	N58303	N58305	N58309	N58310	N58344	N58346	N58350	N58355	N58359	N58361	N58394	N58396	N58398	N58400	N58402	N58404	N58406	N58408	N58477	N58500	N58510	N58512	N58514	N58516	N58604	N58606	N58608	N58611	N58613	N58706	N58708	N58712	N58214	N58215	N58216	N58217	N58218	N58219	N58221	N58222	N58223	N58224	N58225	N58226	N58228	N58229	N58230	N58231	N58232	N58633	N58634	N58635	N58636	N58649	N58650	N58651	N58653	N58654	N58714	N58740	N58734	N58792	N58784	N58790	N58779	N58749	N58788	N58794	N58733	N58655	N58735	N58780	N58747	N58751	N58745	N58742	N58732	N58935	N59003	N58819	N58909	N58919	N58889	N59010	N58859	N58917	N58815	N58997	N58999	N58881	N58853	N58995	N58877	N58883	N58885	N58906	N58821	N58855	N58861	N58857	N58851	N58887	N58879	N58829	N58913	N58831	N58941	N58813	N58952	N59022	N59026	N59033	N59035	N59039	N59041	N59065	N59066	N59072	N59076	N59078	N59080	N59097	N59099	N59109	N59116	N59118	N59120	N58612	N59136	N59140	N58946	N59141	N58915	N59005	N58954	N58948	N58610	N60103	N60062	N60101	N60056	N60088	N60064	N60070	N60093	N60097	N60095	N60068	N60072	N60058	N60092	N60060	N60188	N60190	N60192	N60194	N60198	N60219	N60221	N60223	N60225	N60229	N60231	N60167	N60133	N60200	N60131	N60139	N60163	N60159	N60157	N60127	N60161	N60169	N60137	N60129
0	Exterior	25153.97	23448.38	24825.39	27404.79	25199.58	28778.95	24090.07	22774.73	24725.12	22040.5	24990.68	24980.07	27630.09	28214.31	24544.5	26824.64	23768.43	24263.72	25436.07	25260.82	27029.29	21707.06	23744.98	26096.26	27332.87	23843.38	24362.99	23915.61	26583.14	24164.13	26515.83	25936.74	10210.26	9982.538	9316.494	10741.24	10265.5	10209.7	10837.73	10450.55	12151.28	10998.95	11314.74	10706.82	10408.08	10126.2	11390.27	11029.49	11534.52	10337.44	9721.234	11063.56	11149.37	11654.86	10675.04	11030.47	11685.25	11020.92	11561.37	10945.23	11053.35	5928.064	10556.73	10141.51	10993.36	14426.08	13037.55	12836.89	13140.16	12799.33	13500.23	12129.23	14029.82	12529.51	11658.92	13086.95	12442.08	11020.5	13119.14	14024.36	12475.91	13339.05	13017.11	12157.53	12972.98	12816.48	11502.42	11607.09	11523.72	11487.18	11602.86	14679.24	14702.28	14076.65	15506.01	15175.24	15903.81	15418.94	14940.25	16043.16	14560.09	14260.51	12488.17	15068.28	15614.84	14582.34	14383.55	14455.22	14456.63	13479.05	13194.71	15131.95	30152.99	12916.46	14838.62	14361.22	13621.99	13116.68	14105.25	30937.78	12794.24	13965.55	14214.34	14552.44	14971.21	14347.58	14770.17	14741.34	14535.39	15093.83	13308.91	13309.74	13184.72	14190.58	15335.61	13446.42	13368.35	14614.24	29376.06	13615.54	14737.96	14286.3	14168.15	14635.63	15061.18	14939.6	13820.7	14783.67	15666.26	14003.44	14554.12	13587.89	13760.46	12393.29	14042.29	14603.02	14265.13	15158.45	14885.7	14710.22	15175.61	14836.5	14811.45	13349.48	14864.06	14445.76	15183.27	14304.7	14767.03	12252.25	13525.28	16062.23	15245.62	15240.95	14545.13	14874.97	14704.39	14812.42	13319.2	15013.14	15478.24	12504.21	14330.52	12998.39	15306.01	12739.18	13082.75	11455.98	12603.29	14436.87	14186.91	13873.91	14844.69	15023.22	13013.55	13600.34	12858	15541.54	13096.62	16026.9	14928.01	12331.86	14578.11	13260.11	13666.49	13640.18	13807.77	15083.21	15895.87
1	Cingulate_Cortex,_Area_24a	33108.34	29901.9	32373.3	33168.93	32442.12	35609.97	30780.28	29621.25	31396.31	27943.69	31524.12	31520.75	35037.62	35540.22	33826.35	35541.05	31811.09	31120.16	34134.89	33102.82	33449.91	27913.14	32455.67	32405.83	32399.11	32677.46	30920.37	33527.89	32131.08	31755.6	32896.45	33080.53	16443.16	16976.6	16150.98	17045.48	17210.34	17090.08	17868.71	16772.71	17884.33	16970.52	17504.19	17694.64	17383.14	17756.85	17535.08	17505.4	17519.6	17325.91	17166.47	16073.64	16630.98	16544.26	16964.93	17643.58	16337.7	16625.05	17125.81	16840.58	17199.52	10667.6	17230.45	16944.05	17338.73	19611.9	19300.86	19138.18	18594.74	20455.58	18702.54	17900.61	18706.84	19106.62	18353.49	19068.51	19475.64	18183.27	18951.75	19783.25	19156.11	19045.12	17451.85	17549.67	17402.05	17454.71	16290.55	15930.92	16426.5	16368.49	16293.34	17708.19	16675.36	15899.46	18151.44	17568.09	17743.52	17372.84	17514.55	17260.26	17529.2	16642.96	16575.45	16200.24	17309.14	16973.69	17539.62	17303.5	16907.31	15190.73	17246.82	17925.48	35485.36	16474.74	17326.98	17614.24	15472.34	17089.88	17785.44	35864.22	14702.42	14183.63	17382.62	17900.9	17802.48	17576.85	17303.88	17645.7	16722.6	18038.92	17867.11	16969.24	16083.05	19246.24	17407.52	18024.17	17711.62	17887.65	35260.86	16990.25	17835.39	17297.65	17517.63	18457.62	17903.72	18407.77	17926.15	18094.47	18117.16	17866.19	17855.79	16195.55	16213.91	16941.17	18183.99	17818.75	17565.57	17044.04	16762.25	17888.75	17404.79	17727.51	17361.6	17138.56	18099.45	17924.71	18163.36	17713.98	17430.37	16941.28	16323.4	16491.53	16906.27	16546.39	15370.47	14800.66	16417.54	15732.12	16499.47	17194.39	16909.38	15031.28	17421.87	14409.38	17531.58	15825.85	16074.59	16049.93	16638.35	16318.5	15537.62	15849.46	15568.11	16432.15	15581.88	16483.09	17423.1	17213.37	15780.98	16936.38	16984.04	15562.36	17386.88	17583.14	16626.2	16105.55	17214.68	16130.07	17066.98
2	Cingulate_Cortex,_Area_24a_prime	33187.25	30001.38	31193.62	32894.38	31963.64	35109.02	29071.04	28132.74	30211.28	27119.95	30620.88	30619.39	34324.05	35275.11	32967.79	34961.75	30937.84	30815.98	33126.49	32303.65	32850.47	27498.14	31826.54	32204.06	31260.85	31962.53	29629.75	32273.29	30754.84	31303.44	31613.73	31660.7	15759.99	16288.92	15380.37	16255.41	16728.36	16560.19	17820.61	16652.4	17774.63	15995.21	17403.04	17049.93	17088.7	16891.86	17304.51	17402.13	17452.82	16590.32	16741.83	15438.42	16224.43	16448.46	16629.45	17198.69	16271.17	16516.29	16515.17	16653.1	16960.54	10644.9	16419.96	15934.84	16588.32	18843.82	18491.92	19126.56	18293.5	19382.46	18447.36	17800.96	18256.3	18895.13	17999.84	18698.5	18916.59	18100.1	19114.58	19295	19308.3	19196.17	16965.33	17448.07	16858.77	16832.16	15847.66	15507.83	15818.61	15365.25	16074.95	17010.05	16478.31	15325.17	17551.73	16941.11	16932.44	17065.51	17041.24	16821.82	17272.29	15601.02	16412.38	15693.76	16332.04	16390.49	17411.16	16342.81	16316.48	15273.87	16679.28	17304	34176.2	15211.46	16534.33	17043.57	14781.03	16311.23	16917.08	34822.55	13779.98	13651.97	16446.6	17562.25	17580.52	17264.4	16926.47	17193.29	15976.14	17520.69	17712.61	16252.47	15567.08	18591.63	16920.51	17022	17341.93	17016.5	34024.12	16682.54	17352.2	16362.53	16989.05	17684.06	17468.19	17526.26	17625.96	17441.76	17336.37	17324.66	17554.63	15634.75	15655.85	15547.9	17754.34	17222.41	17212.57	16889.28	16438.28	17548.2	16948.67	17215.68	17000.89	16564.48	17219.64	17014.19	17202.67	17372.68	16903.88	16751.29	15862.24	15930.8	16556.97	15887.24	14748.05	14644.74	16166.67	14876.05	15812.6	16379.43	16440.29	14667.81	17132.14	14138.7	16602.66	15188.41	15504.82	15557.74	16296.55	15848.86	15619.66	15319.28	15577.64	16391.82	15405.26	16021.21	16336.39	16331.26	15351.32	16387.06	16205.58	14793.17	16995.39	16714.59	16255.49	15095.51	16029.75	15399.18	16430.03
3	Cingulate_Cortex,_Area_24b	34535.22	31885.27	33235.17	34521.51	33851.36	36579.59	31795.46	31042.94	33073.03	29296.6	32679.14	32666.37	36052.65	36719.17	34856	36665.91	33214.95	32643.68	35304.45	34254	34992	29698.32	33952.12	33597.74	34086.38	33925.32	32723.27	34632.81	33184.34	33015.48	33763.64	33874.7	16851.63	17292.08	16435.86	17355.09	17590.36	17359.55	18322.91	17390.06	18471.32	17355.44	18181.23	18003.17	17892.27	17956.19	18088.09	18284.98	18122.26	17625.53	17544.84	16436.55	17101.87	17316.67	17566.34	18035.51	16930.79	17221.3	17458.7	17377.49	17970.61	11290.94	17448.81	17247.55	17726.27	19959.98	19056.48	20073.28	18920.24	20263.92	18911.07	18114.31	19324.54	19075.39	18026.04	19065.02	19386.15	18609.7	19426.81	20565.75	19235.16	19518.84	18371.44	18431.38	18307.68	18674.61	17110.78	16368.29	16985.54	16412.08	16797.75	18067.39	17152.22	16188.54	18538.28	17509.26	17697.81	17652.69	18014.64	17760.05	18099.08	16665.71	17067.41	16665.89	16970.41	17374.94	18086.29	17369.88	17216.58	16041.22	17487.86	18484.84	36560.65	16367.1	17568.59	18016.12	15977.33	17174.54	17940.67	36696.22	15188.18	15044.17	17449.72	18237.1	18220.18	17888.34	17698.56	17725.27	16842.99	18399.42	18295.17	17233.45	16408.9	19268.54	17489.97	17898.82	18026.64	18038.11	35565.55	17352.17	18318.14	17366.3	17875.11	18607.77	18421.93	18419.4	18347.72	18291.5	18021.14	18249.43	18411.45	16558.15	16600.53	16349.49	18682.84	18005.79	18277.21	17653.63	17367.24	18407.6	17985.21	18051.69	17881.05	17430.06	18259.34	18071.08	18347.42	18009.47	17837.07	18052.85	16821.82	17049.68	17371.78	17455.78	15831.4	15193.33	16916.81	16309.33	17035.12	17579.07	17311.48	15397.35	18075.85	15293.09	17548.59	16407.8	16747.27	16856.95	17170.55	16933.12	16343.16	16598.58	16642.64	17427.79	16793.5	17191.72	17274.18	17289.79	16394.15	17079.4	17164.13	15707.41	17769.72	17865.97	16521.18	16289.28	16962.38	16024.23	17151.8
4	Cingulate_Cortex,_Area_24b_prime	33297.57	30847.93	31701.91	33713.73	32612.66	35561.94	29678.13	29571.22	30868.48	27611.13	30931.01	30937.13	34852.46	35818.06	33903.46	35745.62	31885.89	31568.25	33998.3	32890.46	33337.68	28921.37	32534.54	32388.09	33202.88	32589.37	31460.7	33167.38	31540.74	32162.17	31607.82	32686.78	16322.09	16805.09	15675.66	16594.73	17040.53	17013.39	18026.54	17137.89	17943.22	16656.29	17956.73	17489.39	17526.41	17243.17	17843.87	17815.81	18000.85	17009.04	16921.2	15917.84	16493.21	16901.73	16961.46	17714.81	16835.89	16824.65	16829.29	16971.55	17537.26	11067.89	16627.86	16284.26	17004.09	19022.51	18860.58	19172.31	18657.87	19312.05	18732.75	18056.79	18649.16	18877.6	17773.72	18484.88	18593.29	18228.17	18835.42	19482.07	18402.5	19357.58	17548.01	17923.11	17441.61	17947.43	16313.84	15894.36	16247.53	15586.06	16338.36	17344.64	16629.62	15720.86	17929.81	17138.09	16949.92	17262.36	17550.14	17074.4	17430.59	15777.44	16581.14	15937.57	16846.64	16839.48	17529.54	16856.69	16473.73	15602.44	16802.02	17630.72	35125.19	15547.32	16871.76	16967.3	15101.28	16472.64	17006.39	35103.69	14202.4	14286.27	16718.49	18047.58	17388.37	17209.53	17058.45	17312.87	15942.8	17701.52	17766.19	16755.43	15570.99	18467.49	17197.92	17048.7	17551.95	17098.76	34524.57	16929.93	17626.05	16429.69	17309.78	17983.84	17765.37	17901.81	17767.91	17497.65	17039.07	17591.81	17859.39	15674.82	15764.78	15199.16	18027.08	17273.52	17523.76	17057.54	16622.91	17625.77	17467.19	17383.02	17267.65	16674.76	17515.12	17094.58	17633.53	17429.55	17007.22	17625.66	16107.63	16473.93	16506.7	16722.54	14701.62	15051.45	16013.07	15471.08	16221.26	16447.87	16655	15125.05	17486.6	14640.51	16904.21	15668.64	15862.84	15706.65	16347.73	16085.5	15773.19	15643.02	15894.53	16785.41	15900.76	16150.81	16534.4	16903.42	15604.07	16448.94	16578.44	14807.01	17035.35	17073.07	16253.38	15491.61	16342.65	15553.65	16771.06
5	Cingulate_Cortex,_Area_29a	34301.09	30102.95	30946.79	32989.1	32334.81	34938.96	28985.44	29004.29	29837.71	27404.68	30720.17	30713.23	34702	35601.39	32927.98	35516.61	30676.44	31180.9	32981.58	32543.16	32955.02	28087.53	31741.26	31619.9	31380.58	32199.92	31332.16	32723.94	30743.74	31348.83	30852.47	32135.46	15942.26	16131.59	15268.26	16204.24	16438.39	16472.01	17673.78	16599.18	18228.75	16436.69	17347.52	17251.13	17292.05	16907.4	17265.08	16834.77	17824.55	16906.26	16616.81	15777.14	16222.07	16794.03	16849.31	17397.64	16050.28	16378.83	16333.92	16727.98	16982.67	10501.32	16177.53	15492.28	16963.68	20326.4	19095.91	20060.93	18826.16	19924.15	18647.33	18411.06	19699.95	18941.51	18381.32	18369.03	19382.32	18316.11	19677.74	20571.97	19153.07	19410.23	18297.48	18330.42	18069.29	18764.15	16683.27	16228.22	16709.8	16224.44	16983.28	16672.99	16286.12	15530.15	17306.68	17022	16839.52	17126.98	17124.02	16637.12	16830.13	15658.4	16300.96	15917.42	16978.02	16677.99	17141.89	16367.83	15902.79	15086.68	16363.3	16986.76	33092.84	14906.38	16539.58	16419.99	14588.56	16434.13	16059.86	34310.09	13912.61	13434.92	15976.61	17136.14	16803.87	17139.74	16844.36	16728.85	15714.61	17152.73	17168.49	16256.9	15298.05	18134.95	16531.06	16326.86	17072.15	16561.03	33801.15	16508.09	17022.25	16226.35	16714.83	17739.64	17304	17578.71	17090.82	17222.73	16951.51	16917.73	17388.75	15205.21	15182.3	15585.78	17807.04	17070.79	16629.26	16676.29	16301.06	17200.71	16938.19	17287.46	16678.69	16152.93	16973.08	16455.51	16953.85	16872.01	16805.72	17110.34	15540.21	16224.15	15546.97	16478.69	14675.92	14471.7	15796.91	15164.13	15612.95	16304.24	16413.96	14659.83	16886.67	13932.33	16951.15	15353.79	15537.33	15848.32	15979.65	15764.65	15802.03	15259.08	15699.84	15870.07	15225.41	15577.18	15629.75	16354.18	15215.87	15829.07	15888.75	14195.42	16493.05	16411.62	15444.58	15588.08	15674.65	15532.96	16142.68
6	Cingulate_Cortex,_Area_29b	37487.93	33289.85	34947.8	36722.93	35838.78	37919.12	32819.02	33108.33	33425.49	31130.28	34817.53	34780.12	38367.96	38541.52	35990.55	38508.18	34423.34	34786.36	36477.35	35741.58	36159.14	31367.13	35362.34	35428.59	34522.09	35300.06	34345	35182.41	33644.31	34765.05	34470.26	35274.2	17674.36	17956.99	16843.54	18240.36	18124.93	18176.38	19103.19	18263	19390.05	17905.79	19204.77	18607.85	18458.06	18602.69	18600.65	18526.01	19348.76	18348.7	17996.74	17263.58	17836.46	18242.84	18160.04	18987.22	17148.34	17665.97	17764.49	17978.68	18357.89	11284.66	17384.24	17156.11	18027.74	21438.34	20091.07	20572.98	19769.96	20870.62	19900.84	19105.83	20730.43	20073.43	19281.42	20339.66	20480.57	19473.14	20474.88	21732.79	20588.54	20433.09	19618.71	19485.85	19464.55	18851.76	17816.62	17570.26	17811.66	17394.2	18672.8	18255.91	17609.38	16957.66	18989.2	18526.08	18202.45	17619.78	18587.87	17980.21	18589.38	16953.33	17175.59	17415.39	18171.53	17941.68	18326.21	17762.99	17641.01	16587.56	17542.34	18547.18	36725.09	16242.02	17580.79	18171.1	16183.47	17602.17	17817.24	37054.56	15675.33	15369.71	17200.71	18801.48	18120.18	18257.48	18343.42	17880.88	16947.61	18822.66	18612.09	17977.05	16526.88	19830.24	18025.17	17695.23	18263.66	17969.66	36032.69	17895.17	18788.47	17551.92	18164.45	19205.2	19000.95	18966.51	18767.56	18586.27	18665.12	18979.81	18885.97	16505.95	16576.09	16973.12	19186.8	18499.07	18287.24	17984.01	17660.83	18598.84	18378.76	18841.33	18073.07	17533.07	18318.11	18108.71	18700.91	18370.79	18201.45	18528.73	16942.94	17390.05	17009.48	17563.3	15855.4	15501.79	17044.85	16458.67	16991.68	17161.04	17482.14	15971.7	17971.16	15074.51	18043.13	16245.06	16875.29	16967.6	17222.41	16962.78	17036.87	16807.6	17088.04	17435.05	16444.93	16772.56	16779.28	17502.37	16267.54	17167.19	16525.09	14986.36	17868.05	17751.21	16882.55	16764.46	16955.31	16522.64	17503.23
7	Cingulate_Cortex,_Area_29c	32864.32	29324.69	30428.77	32150.55	31218.87	34135.85	27888.93	27973.76	29162.88	26253.3	29884.73	29884.26	34007.94	35036.11	32383.82	34683.6	30114.74	30288.38	32204.25	31654.05	31660.53	27220.06	30799.29	31227.44	30937.81	31475.83	28917.37	31736.68	29938.65	30690.7	30211.89	31211.8	15432.41	15931.48	14898.03	15927.94	16136.78	16258.26	17208.82	16537.27	17584.11	16114.3	17009.89	17241.31	17071.21	16667.79	17066.75	16932.66	17479.79	16619.62	16431.43	15368.03	15865	16269.72	16429.27	17168.58	16139.84	16200.21	16239.2	16450.09	16816.08	10521.5	15926.08	15525.69	16445.45	19218.47	18676.59	19290.94	18079.48	19074.44	17891.94	17616.67	18479.53	18579.33	17815.93	18229.47	18498.3	18156.04	18809.27	19322.39	19035.91	18947.73	17018.45	17212.53	16698.8	17094.79	15669.53	15547.91	15451.3	15245.96	15938.67	16517.03	16055.39	15113.89	17304.98	16502.32	16388.09	16669.46	16915.63	16308.21	16781.69	15211.82	15925.79	15356.17	16147.74	16297.16	16972.12	16117.97	15796.75	14921.58	16238.54	16846.61	33292.95	15000.17	16336.14	16299.81	14265.41	15918.93	16353.94	34042.07	13498.45	13322.9	15955.43	17079.87	16645.21	16771.67	16582.41	16597.94	15322.57	17088.75	17127.48	16089.6	15192.25	17880.56	16446.82	15911.28	17022.86	16461.03	33189.32	16135.11	16891.58	15844.4	16651.49	17421.34	17245.38	17219.89	17095.06	17054.27	16649.04	16954.56	17287.86	14921.58	14856.86	14841.44	17344.26	16708.51	16683.61	16264.78	15971.15	16939.51	16743.45	16850.16	16455.81	15813.77	16644.39	16278	17007.19	16670.93	16460.65	16709.62	15089.42	15847.66	15274.77	15845.79	14234.29	14251.7	15285.82	14594.55	15281.99	15704.02	15928.24	14333.86	16525.86	13750.33	16162.64	14543.58	14936.54	15305.76	15481.37	15418.34	15390.36	14789.46	15255.76	15747.24	15087.54	15226.89	15553.99	16356.5	14827.02	15580.39	15528.14	13868.29	16235.09	16223.16	15337.04	14765.95	15507.63	15052.71	15793.71
8	Cingulate_Cortex,_Area_30	33915.05	30910.83	32508.4	34325.86	33317.89	35715.09	30994.84	30027.53	31337.12	28747.58	32016.49	32016.64	34982.44	36293.18	34083.96	35666.64	32225.82	32700.04	34458.22	33409.42	34140.04	29510.1	32949.24	33565.88	32811.25	32923.69	32238.05	32700.48	31935.5	32708.5	32216.76	32614.78	16262.28	16751.97	15341.42	16394.21	16509.05	16918.77	17732.03	16885.46	18027.76	16304.26	17867.2	17454.54	17172.39	17199.52	17294.9	17090.4	17744.09	16755.24	16547.79	16104.33	16422.36	16966.2	16898.47	17653.16	16626.77	16449.66	16662.28	17062.25	17361.74	10789.19	15913	15981.62	16761.38	19396.08	18959.14	18947.52	18728.27	19404.21	18546.8	17858.77	19400.17	19018.42	18301.77	19002.14	18951.37	18661.44	18614.95	19978.17	18695.47	18798.88	18170.43	17966.3	18189.44	18230.24	16564.85	16697.37	16736.34	16347.49	17083.79	17245.94	16564.96	16233.73	18195.86	17515.54	17309.81	17129.07	17749.09	17441.7	17671.1	15922.82	16409.11	16489.5	17336.86	17055.72	17837.83	16988.77	16590.98	15710.97	16765.05	17611.35	34977.66	15651.35	16888.57	17159.41	15423.06	16598.86	16945.53	35638.51	14636.75	14648.93	16638.45	17886.98	17262.59	17510.52	17307.79	17284.1	15956.69	18056.97	17686.12	16589.19	15514.06	18540.84	17331.79	16840.83	17539.63	16910.32	34775.52	17003.3	17953.97	16837.17	17209.17	18184.72	17825.55	17959.34	17746.88	17584.05	17667.48	17765.58	17602.97	15712.85	15730.29	15362.06	18010.15	17496.57	17486.35	17115.34	16920.9	17797.15	17778.11	17539.35	17122.05	16427.74	17280.95	17255.07	17728.78	17344.89	17295.87	17671.95	16260.15	16731.82	16068.81	16661.6	14873.22	14730.54	16129.92	15502.81	16302.33	16211.5	16434.51	15353.13	17213.31	14957.89	17286.49	15285.68	15907.54	15683.95	15631.49	15961.38	15915.52	15578.28	15895.5	16780.87	15326.75	15938.53	16002.44	17082.85	15182.29	16491.72	16074.7	14791.68	16712.63	16593.29	16187.83	15537.19	16606.82	15526.29	16340.31
9	Cingulate_Cortex,_Area_32	34623.04	31669.48	34499.17	34952.02	34520.43	37190.73	33519.96	32110.38	34286.54	30324.94	33897.82	33887.68	37124.96	37022.94	35586.79	36795.85	34209.64	32659.07	36527.92	34931.47	35771.47	29706.18	34926.88	34612.02	35059.08	35179.73	33053.14	35716.02	34527.36	33739.83	34498.45	34732.27	17304.58	17513.19	17108.4	17640.03	17847.48	17636.14	18476.49	17334.01	18202.55	17605.59	17986.16	18358.86	18177.19	18441.23	18046.39	18102.12	17978.34	17941.47	17952.07	16909.18	17763.3	17607.34	17903.2	18420.01	16920.58	17215.69	18064.24	17566.26	18198.45	11360.3	18149.76	17985.84	18451.15	20419.03	19071.91	19739.22	19095.38	20521.4	19220.08	18048.28	19536.75	19297.84	18223.78	18752.66	19424.45	18327.69	19465.24	20520.97	18747.04	19251.76	18503.75	18724.27	18609.92	19127.3	17452.34	16522.93	17269.84	17009.92	16791.12	18815.6	17163.68	16507.11	18718.02	18028.27	18324.47	18053.39	18407.69	18319.24	18615.5	17311.67	17339.17	17055.62	18066.06	17750.96	18114.86	17744.35	17548.35	16005.31	17976.55	19046.41	37290.39	16825	18121.69	18351.17	16707.45	17676.32	18437	37262.84	15627.99	15506.29	18180.02	18797.13	18754.44	18242.91	18001.41	17747.32	17453.93	18800.18	18434.17	17825.47	16744.04	19767.9	18205.81	18500.89	18062.78	18438.88	36781.48	17886.51	18558.91	17866.1	18570.68	19219.53	18947.44	19246.75	18788.07	18942.5	18565.22	18750.75	18936.33	17321.87	17246.23	17362.24	19311.48	18652.36	18900.39	18133.87	17891.91	19091.77	18331.29	18801.36	18495.39	17887.47	19101.49	18569.44	18888.58	18819.91	18378.72	18226.16	17388.48	17605.07	17911.33	17951.29	16448.47	15422.95	17098.18	17073.3	17329.67	18155.22	17570.9	15914.57	18471.66	15911.9	18177.9	17130.43	17416.03	17361.52	17806.46	17329.36	16893.79	17504.82	17189.55	17647.1	17335.38	17748.12	17794.05	17545.73	16973.96	17205.38	17866.68	16703.87	18050.71	18365.41	17000.95	16982.63	17658.52	16772.36	17708.99
