ROI	structure	N57437	N57442	N57446	N57447	N57449	N57451	N57496	N57498	N57500	N57502	N57504	N57513	N57515	N57518	N57520	N57522	N57546	N57548	N57550	N57552	N57554	N57559	N57580	N57582	N57584	N57587	N57590	N57692	N57694	N57700	N57702	N57709	N58302	N58303	N58305	N58309	N58310	N58344	N58346	N58350	N58355	N58359	N58361	N58394	N58396	N58398	N58400	N58402	N58404	N58406	N58408	N58477	N58500	N58510	N58512	N58514	N58516	N58604	N58606	N58608	N58611	N58613	N58706	N58708	N58712	N58214	N58215	N58216	N58217	N58218	N58219	N58221	N58222	N58223	N58224	N58225	N58226	N58228	N58229	N58230	N58231	N58232	N58633	N58634	N58635	N58636	N58649	N58650	N58651	N58653	N58654	N58714	N58740	N58734	N58792	N58784	N58790	N58779	N58749	N58788	N58794	N58733	N58655	N58735	N58780	N58747	N58751	N58745	N58742	N58732	N58935	N59003	N58819	N58909	N58919	N58889	N59010	N58859	N58917	N58815	N58997	N58999	N58881	N58853	N58995	N58877	N58883	N58885	N58906	N58821	N58855	N58861	N58857	N58851	N58887	N58879	N58829	N58913	N58831	N58941	N58813	N58952	N59022	N59026	N59033	N59035	N59039	N59041	N59065	N59066	N59072	N59076	N59078	N59080	N59097	N59099	N59109	N59116	N59118	N59120	N58612	N59136	N59140	N58946	N59141	N58915	N59005	N58954	N58948	N58610	N60103	N60062	N60101	N60056	N60088	N60064	N60070	N60093	N60097	N60095	N60068	N60072	N60058	N60092	N60060	N60188	N60190	N60192	N60194	N60198	N60219	N60221	N60223	N60225	N60229	N60231	N60167	N60133	N60200	N60131	N60139	N60163	N60159	N60157	N60127	N60161	N60169	N60137	N60129
0	Exterior	0.3277652	0.300226	0.335743	0.3491858	0.332216	0.34508	0.3503706	0.3299075	0.3352866	0.3368534	0.3305415	0.330599	0.3571922	0.3325764	0.3491254	0.3245257	0.3422222	0.3432116	0.3064628	0.3253028	0.3466778	0.320039	0.3018561	0.3573487	0.3494031	0.3279575	0.2841603	0.2939999	0.3493426	0.2927416	0.3499953	0.3280362	0.4056477	0.3949409	0.4065927	0.4303675	0.431631	0.4168992	0.3937217	0.42305	0.4289671	0.4330344	0.4260339	0.4493764	0.4276835	0.4570469	0.4441018	0.4248946	0.4287254	0.4248697	0.4028511	0.4311219	0.4028846	0.4024281	0.3380037	0.3969828	0.4210825	0.4033935	0.4278539	0.4011675	0.3806704	0.383371	0.4276876	0.4127721	0.3895125	0.277769	0.3183009	0.2449334	0.3056014	0.2437634	0.328497	0.3022065	0.3348896	0.2838622	0.2932763	0.3084553	0.3027234	0.2757354	0.2826125	0.2258304	0.2735194	0.2993105	0.2840302	0.2715043	0.2745166	0.2573895	0.2532436	0.2650739	0.2560225	0.2739841	0.2629449	0.3708662	0.3966218	0.3965953	0.4081689	0.4116071	0.4346093	0.4227618	0.3872374	0.44019	0.375238	0.3856039	0.3218861	0.4185544	0.4173477	0.385134	0.3771209	0.3961182	0.4019963	0.3422627	0.3280685	0.3739964	0.3203529	0.3828905	0.4285111	0.3452931	0.3649853	0.3312596	0.379565	0.3312914	0.3410128	0.3687744	0.379029	0.3670654	0.3779727	0.3515958	0.369362	0.3784646	0.4274833	0.383702	0.3428098	0.3400585	0.3535706	0.2993394	0.4073634	0.3585426	0.3249965	0.40701	0.3052908	0.3474282	0.3644116	0.3677977	0.3789061	0.3701653	0.3865752	0.3855127	0.3669974	0.3795927	0.3949158	0.3489977	0.3648502	0.3781306	0.3732666	0.3410278	0.3440441	0.36551	0.3536305	0.3822321	0.3796943	0.3667271	0.3791693	0.3818682	0.3653079	0.3331473	0.386944	0.3926805	0.3851106	0.3493921	0.3675364	0.3969917	0.3074685	0.3387084	0.3424957	0.3570143	0.3555659	0.3408532	0.3345317	0.3464675	0.2998965	0.3274374	0.3265972	0.3038097	0.2895893	0.3287309	0.3263047	0.3093628	0.3019307	0.2819972	0.2956624	0.327189	0.3054922	0.3274541	0.3248811	0.3138001	0.2964733	0.2818871	0.3842522	0.4506816	0.3957988	0.4722808	0.4308423	0.3467853	0.394352	0.3410079	0.4255168	0.3708935	0.413514	0.4336746	0.4747903
1	Cingulate_Cortex,_Area_24a	0.2561783	0.2019847	0.2412605	0.2572989	0.2359755	0.2557666	0.2476464	0.228096	0.2389649	0.2353533	0.2335212	0.2334561	0.2623594	0.2503836	0.2568845	0.2453057	0.2389599	0.2513047	0.2239451	0.238634	0.2374538	0.2186832	0.1935316	0.2360879	0.2366648	0.2247349	0.1873582	0.210753	0.2400019	0.2069961	0.2350138	0.2325497	0.3066727	0.3023674	0.3055774	0.3383706	0.326795	0.3185229	0.3164865	0.3320089	0.3197955	0.3476847	0.3337134	0.3445389	0.3377423	0.3486687	0.3362533	0.3431602	0.3244907	0.3397653	0.3046648	0.2947389	0.2882892	0.2730518	0.2589753	0.283356	0.2888709	0.294424	0.2948416	0.2927926	0.26749	0.2626344	0.3050666	0.3085409	0.2909423	0.2668436	0.3414856	0.2591627	0.315365	0.2726064	0.3269607	0.3228513	0.3038627	0.315244	0.3238117	0.3421975	0.3407571	0.3057567	0.2813813	0.2306057	0.2952435	0.3004903	0.268955	0.278059	0.2736674	0.2642478	0.25451	0.2661763	0.2512403	0.2797129	0.2555125	0.2749328	0.3003269	0.3058603	0.3109023	0.3275132	0.322553	0.3176662	0.3006773	0.3139157	0.2949316	0.3126498	0.2722427	0.2983041	0.3131327	0.3025967	0.3043633	0.3110297	0.3085193	0.2634489	0.2781253	0.2812908	0.3526709	0.312108	0.3160203	0.2567347	0.2767719	0.3014267	0.309593	0.3027382	0.2547785	0.251417	0.2751204	0.2931638	0.2653204	0.2670946	0.2763513	0.3020549	0.3125269	0.2883056	0.2970281	0.2774253	0.2799789	0.2639583	0.295639	0.2960571	0.2962131	0.3160285	0.284348	0.272541	0.2898139	0.2897818	0.2932768	0.3047658	0.2887214	0.3093467	0.3085063	0.2940653	0.2912666	0.2779478	0.28377	0.2783765	0.2625697	0.3169869	0.2732567	0.2848615	0.2803467	0.2810952	0.2673226	0.2915756	0.2765853	0.2893687	0.2619708	0.2661206	0.3044736	0.3087093	0.2759016	0.2673056	0.2894781	0.2552784	0.2231136	0.2116916	0.234124	0.2606354	0.2508208	0.2216439	0.2462157	0.2422355	0.2232332	0.2377345	0.2230823	0.2357667	0.2233965	0.237274	0.2262521	0.1910142	0.203437	0.1972334	0.2097238	0.2137017	0.2056956	0.2168562	0.2098984	0.2036749	0.2066474	0.1859018	0.2828371	0.3039264	0.2708919	0.3105133	0.2925439	0.2527935	0.2820853	0.2637171	0.3137996	0.2636606	0.2993727	0.2889732	0.3256651
2	Cingulate_Cortex,_Area_24a_prime	0.2594666	0.2208277	0.2471345	0.2648321	0.2447103	0.2562174	0.2497183	0.2383356	0.2440942	0.2468787	0.2400434	0.2400004	0.267476	0.2558139	0.2636194	0.2458998	0.2430032	0.2512053	0.231465	0.2455054	0.2413942	0.2273415	0.211498	0.2442717	0.2286335	0.2353092	0.1921061	0.2150236	0.2416832	0.2137981	0.2385497	0.2329219	0.3109537	0.304766	0.31282	0.3311748	0.3282039	0.320365	0.3164619	0.334397	0.3256197	0.3381342	0.3362463	0.3428287	0.3392689	0.3516049	0.3358742	0.3444513	0.3307943	0.3414018	0.3168062	0.2904357	0.2897086	0.2816564	0.2680415	0.2912054	0.2953174	0.2977447	0.3001272	0.2938082	0.2732872	0.2682328	0.3071766	0.3067355	0.2947133	0.2688716	0.3370123	0.2673562	0.3190078	0.269028	0.3273775	0.3268082	0.3112344	0.3227141	0.3287796	0.3435611	0.3451318	0.3097611	0.2916039	0.2470039	0.3006926	0.3047621	0.2723414	0.2908756	0.2774155	0.2679243	0.2576417	0.2665672	0.2502858	0.2765265	0.2646766	0.2828891	0.305783	0.3057037	0.3164685	0.3255217	0.3183129	0.3195615	0.3008299	0.3172657	0.3056656	0.3072245	0.2804386	0.301583	0.3149011	0.3049393	0.3060853	0.3035622	0.3121463	0.280156	0.2828434	0.2839708	0.3031394	0.309631	0.3202477	0.2632054	0.2829092	0.2985172	0.3100937	0.2957709	0.2569149	0.2602203	0.2784036	0.3031603	0.2899194	0.2791574	0.277612	0.3042826	0.3130128	0.2973697	0.2960382	0.2818325	0.2854402	0.2785143	0.292714	0.2940902	0.2951019	0.3174167	0.2925596	0.2745134	0.2917928	0.2839641	0.2975214	0.3049313	0.2943201	0.3064131	0.3126465	0.2963368	0.2959717	0.2830848	0.292558	0.2900611	0.2725464	0.304272	0.2741838	0.2938658	0.284241	0.2795238	0.2733203	0.2910791	0.276026	0.2896139	0.2698567	0.2708966	0.2975451	0.307138	0.2792094	0.2713959	0.2876688	0.2606195	0.2321679	0.2094043	0.2410222	0.2615613	0.2547537	0.2228476	0.2481481	0.2414119	0.2256654	0.2373219	0.231426	0.2269823	0.2275812	0.2409761	0.2315669	0.1934631	0.2151255	0.2017557	0.2217903	0.217746	0.219892	0.2161267	0.2149699	0.2071598	0.2137721	0.1948874	0.2802023	0.3064445	0.2771274	0.3072918	0.2917136	0.2529643	0.2921852	0.2608559	0.3149263	0.2632863	0.2956491	0.2864971	0.3196141
3	Cingulate_Cortex,_Area_24b	0.2693961	0.2318426	0.2602529	0.2755206	0.259384	0.2675619	0.2631972	0.2514354	0.2582193	0.2522821	0.2516728	0.2516746	0.2781432	0.2648914	0.2768197	0.2594873	0.2580048	0.2638517	0.2411109	0.2560989	0.2560711	0.2449868	0.2201737	0.2556092	0.246188	0.2483831	0.2094548	0.2255902	0.2518079	0.2262467	0.2514062	0.2465257	0.3231506	0.3247047	0.3288403	0.3502627	0.3454797	0.3368121	0.3386866	0.3515354	0.3384041	0.3542494	0.3462985	0.3584271	0.3554952	0.3606751	0.3528836	0.3597899	0.3458828	0.3581374	0.3319542	0.298578	0.2973689	0.292074	0.2801573	0.3013087	0.2939633	0.3034237	0.3052743	0.3030196	0.2846508	0.2780228	0.3218663	0.3247908	0.3120925	0.2922615	0.3405326	0.2878276	0.3299575	0.2840992	0.3255677	0.328315	0.3281312	0.3167558	0.3154	0.3492371	0.3390123	0.3313407	0.3083256	0.2495045	0.3085011	0.3100871	0.2904055	0.2974735	0.299079	0.295544	0.2744419	0.2793176	0.2682642	0.292914	0.2738564	0.2902983	0.3263633	0.3171991	0.328371	0.334299	0.333427	0.3297219	0.3165898	0.3314468	0.322515	0.3267525	0.2924724	0.3196711	0.3243428	0.3195553	0.3177614	0.3248415	0.3225989	0.2951826	0.2950934	0.3011959	0.2887659	0.3217511	0.3308018	0.2857683	0.2977954	0.3153401	0.3277917	0.290362	0.2742687	0.2763963	0.2906405	0.3137177	0.3100037	0.2897961	0.2900855	0.3127826	0.3244964	0.3122681	0.3168078	0.3003886	0.3036795	0.2908674	0.3067313	0.3093309	0.3113851	0.3282703	0.2865153	0.2967147	0.31531	0.3020123	0.3103596	0.3141006	0.3107112	0.3220833	0.3319349	0.3101598	0.3126531	0.3030583	0.3112045	0.3021241	0.2842361	0.3109343	0.2969557	0.3076769	0.3039362	0.2973851	0.2888912	0.3096969	0.2868646	0.3085053	0.2884963	0.29009	0.3160352	0.3246506	0.2977241	0.2903467	0.3037714	0.2738743	0.2491245	0.2289387	0.2516298	0.2839458	0.2594619	0.2327248	0.2621201	0.2535285	0.2443621	0.2540502	0.2431724	0.248232	0.2472364	0.2539337	0.2401561	0.2083259	0.230595	0.2208759	0.2365377	0.2307734	0.2258409	0.2337004	0.2333411	0.2304699	0.2308249	0.2129791	0.2992394	0.3147751	0.295088	0.3241909	0.3115593	0.2691628	0.3054444	0.2844521	0.3309819	0.2726624	0.3124718	0.2933195	0.3309775
4	Cingulate_Cortex,_Area_24b_prime	0.2589965	0.2278604	0.2540998	0.2685374	0.2497969	0.2575386	0.2551859	0.2470459	0.2495054	0.2502919	0.2431891	0.2432349	0.270246	0.2556184	0.2684794	0.2487744	0.2505273	0.2565708	0.2356266	0.2444888	0.242473	0.2360855	0.2145413	0.2481558	0.2313431	0.2418845	0.2053651	0.2213469	0.2411705	0.2193988	0.2446186	0.2397622	0.3159988	0.3119048	0.3137164	0.3310857	0.3381345	0.3242603	0.3255771	0.3417282	0.3295154	0.3326661	0.3376355	0.3470488	0.3424001	0.349825	0.3384218	0.3456408	0.3331411	0.3396995	0.3205248	0.2906901	0.2893184	0.2832062	0.2706746	0.2889785	0.2934335	0.2978019	0.2975591	0.2933954	0.276994	0.2711487	0.3081664	0.3095575	0.2997582	0.278295	0.3389612	0.2763891	0.3231519	0.2744675	0.3235576	0.3292144	0.324292	0.3176428	0.3207018	0.340393	0.3361439	0.320949	0.3051205	0.2576633	0.3078939	0.3080951	0.2820757	0.2952945	0.2855843	0.2820953	0.2651907	0.2709045	0.254922	0.2778518	0.2728956	0.286263	0.3059704	0.3090651	0.3153322	0.321963	0.3194853	0.3204469	0.3080051	0.3206534	0.3138226	0.3081709	0.2821648	0.30488	0.320288	0.3064889	0.3038381	0.3022003	0.3094909	0.2887048	0.2870646	0.285821	0.3230345	0.3072539	0.3223428	0.2745727	0.2840405	0.2955057	0.3061216	0.3105817	0.2673009	0.2662482	0.2815747	0.3108505	0.2969231	0.2774787	0.2814746	0.3081127	0.3130701	0.3030521	0.3006637	0.2909276	0.2860978	0.2912999	0.2923741	0.292755	0.2916901	0.316802	0.2805719	0.2828164	0.2981353	0.2802622	0.2995048	0.3044675	0.3001032	0.3070081	0.3221042	0.2976626	0.2954721	0.2933803	0.3034205	0.2924269	0.276802	0.2977257	0.2826888	0.2948909	0.2890966	0.2841639	0.2779796	0.2954117	0.2779485	0.2923727	0.2820695	0.2802154	0.2931457	0.3109555	0.2881461	0.2715964	0.289894	0.2669038	0.2383789	0.2123827	0.2426558	0.2726514	0.2454553	0.2297568	0.2491141	0.2467243	0.2363644	0.234255	0.2367321	0.2377529	0.2321805	0.2423585	0.235247	0.1981107	0.2221428	0.2084184	0.229503	0.2183887	0.2180381	0.2192709	0.2234575	0.2166421	0.2142558	0.2015292	0.2880759	0.306833	0.2891924	0.3137135	0.3018718	0.2528946	0.2994365	0.2663375	0.3208769	0.267233	0.302565	0.2831368	0.3230924
5	Cingulate_Cortex,_Area_29a	0.2625646	0.2223562	0.2504257	0.2623924	0.2470756	0.2576771	0.252712	0.2408664	0.2458935	0.2505743	0.2401807	0.2401204	0.2644422	0.2561504	0.2672631	0.2482432	0.2442974	0.2484125	0.2295505	0.2460115	0.2444595	0.2275978	0.214182	0.2448092	0.235725	0.2406476	0.2038304	0.2151171	0.2349398	0.2130326	0.2366208	0.240083	0.3104964	0.3044263	0.3109399	0.3264616	0.3307075	0.3228786	0.3182201	0.3384377	0.3397128	0.3319163	0.3301289	0.3366591	0.3368653	0.3428147	0.337079	0.3349614	0.3313796	0.3333765	0.3200928	0.2999838	0.2937405	0.2831433	0.2650267	0.2857451	0.2932956	0.2911453	0.295206	0.2888849	0.2696275	0.2645863	0.3097972	0.2973286	0.3021664	0.2781295	0.3356107	0.2768661	0.3215785	0.2738243	0.3256793	0.3335343	0.3293186	0.3125911	0.3106396	0.3118915	0.3413665	0.3172952	0.3032067	0.2496356	0.2886045	0.3039505	0.298813	0.3050039	0.2969252	0.2918105	0.272351	0.2782888	0.2716945	0.2902396	0.2787849	0.2827176	0.3069012	0.3053733	0.3194711	0.3248933	0.324005	0.3257881	0.3089528	0.3267568	0.3019145	0.3104202	0.2826762	0.3028992	0.3170435	0.3054472	0.306413	0.3000005	0.3056472	0.2667033	0.2754328	0.2829776	0.336488	0.3030218	0.3231753	0.2567407	0.2863599	0.302751	0.2997319	0.3273325	0.2533806	0.2605107	0.2847618	0.2998379	0.2873644	0.2767915	0.2813897	0.3022743	0.3110991	0.2962217	0.3029271	0.2780251	0.2784843	0.2743087	0.2918511	0.2941569	0.2921279	0.3182764	0.3129985	0.2793631	0.2921735	0.2762572	0.3014871	0.2942187	0.2958049	0.3104834	0.3028635	0.2930633	0.2894615	0.2775743	0.2892943	0.2950262	0.2789451	0.2966227	0.281426	0.2865418	0.2778686	0.2756853	0.2725788	0.2820356	0.2751743	0.2921187	0.2709588	0.2772298	0.2922358	0.3034202	0.2830936	0.2725714	0.283693	0.2614466	0.2285962	0.2036428	0.2274155	0.2654009	0.2407315	0.2013867	0.2437569	0.2398154	0.2231879	0.2279179	0.2270773	0.2286483	0.2282303	0.2371716	0.2292755	0.1991235	0.2078424	0.2032486	0.2193067	0.2121412	0.2133058	0.2137024	0.215212	0.1994514	0.2068968	0.1895064	0.2751121	0.2997945	0.2710438	0.3012802	0.2897447	0.2409337	0.279732	0.2503775	0.3052768	0.2595799	0.2944139	0.2796528	0.3062377
6	Cingulate_Cortex,_Area_29b	0.2742109	0.2364635	0.268996	0.2749617	0.2631425	0.280471	0.2719846	0.2539232	0.259183	0.2672545	0.2567573	0.2566029	0.2796309	0.2653131	0.2819448	0.2609928	0.2631343	0.267313	0.2414628	0.2606947	0.2536175	0.2352647	0.227363	0.2618785	0.2490058	0.2507668	0.2217552	0.2279503	0.2478424	0.2262552	0.2549285	0.2597533	0.3281614	0.3299963	0.3240491	0.3431444	0.34683	0.3416735	0.331279	0.3571104	0.3477851	0.3456991	0.3494526	0.3624227	0.3484305	0.3605247	0.351005	0.3609207	0.3495478	0.3444377	0.3302039	0.3149036	0.3131239	0.2965099	0.2794073	0.3026159	0.3056104	0.3006805	0.3076196	0.2999843	0.2803489	0.275188	0.3221072	0.3180276	0.3182451	0.2814704	0.3509959	0.2754931	0.3262674	0.2802938	0.3538273	0.3446069	0.3475659	0.330099	0.3198163	0.321273	0.3516891	0.331515	0.3097765	0.2492703	0.3015075	0.3159053	0.3339758	0.3191262	0.3068578	0.2822298	0.2793458	0.2917451	0.2744712	0.2913753	0.3014491	0.2992518	0.3195992	0.3256505	0.3343242	0.336584	0.3308622	0.3287058	0.3210306	0.3375948	0.3181832	0.3284074	0.2942005	0.3169657	0.3239494	0.3226283	0.3143912	0.3165839	0.3257318	0.290209	0.2907808	0.2960201	0.3297258	0.3230011	0.3358962	0.2763942	0.3029968	0.3140813	0.3196363	0.3371463	0.2714503	0.2804299	0.3026207	0.3219455	0.2998883	0.2932315	0.2964145	0.3162982	0.3255601	0.3089127	0.3135858	0.2940443	0.292255	0.2949985	0.3062181	0.310161	0.3023009	0.3333283	0.3199057	0.2973355	0.3095541	0.293843	0.3193419	0.3074301	0.3169999	0.3258315	0.3235689	0.3110384	0.3074304	0.297309	0.3036744	0.3101673	0.2884119	0.3260738	0.2987153	0.3048715	0.2971488	0.2890927	0.2908996	0.3011049	0.2869347	0.3062008	0.2878776	0.2903236	0.305696	0.3194953	0.3010218	0.2840267	0.2978249	0.2738622	0.245068	0.219333	0.2402487	0.2822529	0.2556825	0.2111586	0.2590674	0.2630829	0.2403941	0.2376885	0.2405625	0.2519416	0.2410456	0.252341	0.2432705	0.2081447	0.222607	0.2167769	0.22782	0.222109	0.2249098	0.23219	0.231965	0.2196208	0.217766	0.2019939	0.2908289	0.3200806	0.2864266	0.3193956	0.2977172	0.2569851	0.3022038	0.2713263	0.3237582	0.2731872	0.3118865	0.2959959	0.3204145
7	Cingulate_Cortex,_Area_29c	0.2596216	0.2230927	0.2454768	0.2617286	0.2430512	0.2563363	0.2497627	0.2393803	0.2450505	0.245252	0.2361901	0.2361967	0.267022	0.2540479	0.2622788	0.2447044	0.2399587	0.2462294	0.226058	0.2398488	0.2368353	0.2260103	0.2135967	0.2458193	0.2269802	0.2352684	0.1972831	0.2148683	0.2320056	0.2130746	0.2349236	0.2399879	0.3052914	0.3031354	0.3049104	0.3262549	0.3325889	0.3207795	0.3103173	0.3378564	0.3309459	0.3287301	0.3289411	0.342458	0.3345562	0.3448934	0.3338062	0.3395428	0.328729	0.3337664	0.318882	0.2879126	0.291375	0.2806606	0.2667383	0.2874456	0.29516	0.2915269	0.2977626	0.2917519	0.2707039	0.2655656	0.300781	0.2995697	0.294602	0.2753503	0.3326829	0.2770056	0.3167442	0.2727764	0.3182196	0.326775	0.3202938	0.3161863	0.3118318	0.3192087	0.3345452	0.3125356	0.2951522	0.247307	0.2951033	0.3009108	0.2812817	0.2891609	0.2774635	0.2756945	0.2584172	0.2691113	0.2533635	0.2746481	0.2682611	0.2806499	0.3053691	0.3009064	0.3121192	0.321251	0.3171471	0.3229727	0.3050618	0.3208117	0.3050836	0.3087541	0.2786655	0.2913317	0.3129119	0.3028288	0.3019759	0.2975264	0.3030491	0.274794	0.2807401	0.2811978	0.3282724	0.3091077	0.319244	0.2615165	0.2858873	0.2948086	0.3066845	0.326618	0.2580737	0.2539338	0.2790965	0.3029472	0.2885562	0.2758429	0.2775245	0.3051536	0.3105764	0.2953165	0.2954845	0.2844124	0.2793444	0.2818351	0.2918542	0.2879127	0.2892015	0.3174408	0.3134871	0.2749131	0.2891587	0.274908	0.2994483	0.2965932	0.2971591	0.3086716	0.3099383	0.2902065	0.2885321	0.2810102	0.2923291	0.2868508	0.2689417	0.2972141	0.2757101	0.2857635	0.2800686	0.2742952	0.2710602	0.2842616	0.2725405	0.2849018	0.2689275	0.272061	0.286956	0.3050258	0.283995	0.2697479	0.2800356	0.258215	0.2294179	0.2059431	0.2249666	0.2652488	0.2473109	0.2079331	0.2398568	0.2382926	0.2218404	0.2262681	0.2295606	0.2292591	0.2233103	0.2373285	0.2332393	0.1900595	0.2099495	0.2004905	0.2208476	0.2127511	0.2144224	0.2122383	0.2147941	0.2075085	0.2062468	0.196149	0.2796037	0.3065971	0.274967	0.3029411	0.2861652	0.2418801	0.2861107	0.2542861	0.3028332	0.2621318	0.2966695	0.2783453	0.3066573
8	Cingulate_Cortex,_Area_30	0.2643254	0.2389836	0.2646876	0.272823	0.2599148	0.2721023	0.2676444	0.252311	0.258598	0.2601514	0.2513284	0.2512913	0.2791972	0.2620127	0.2761048	0.25611	0.256855	0.2646636	0.2400123	0.2543325	0.252997	0.2429182	0.2276147	0.2638264	0.2430526	0.2510233	0.2220663	0.2248582	0.2459929	0.2276047	0.2529084	0.2568969	0.3272165	0.3263549	0.3187208	0.3366679	0.343851	0.3402874	0.3342301	0.3480152	0.3423404	0.3376201	0.3490515	0.3567698	0.346004	0.3592644	0.3490883	0.3515876	0.3441573	0.3378532	0.327665	0.3139565	0.305909	0.2926818	0.2779329	0.2951748	0.3087186	0.3022601	0.3095964	0.3059123	0.2857677	0.283076	0.3132618	0.3158435	0.3112468	0.2882237	0.3441307	0.2766211	0.3302226	0.2826482	0.333942	0.3370677	0.3428018	0.3232982	0.3236511	0.3258336	0.340878	0.3292343	0.306704	0.2546713	0.2899121	0.2991483	0.3070587	0.3028463	0.3023459	0.2953922	0.274448	0.2842935	0.2694016	0.2933224	0.2835821	0.2974755	0.3199445	0.3252102	0.3275579	0.3331274	0.3341869	0.3268098	0.31688	0.3357374	0.3199503	0.3230606	0.2890213	0.314816	0.3284414	0.3154681	0.3139558	0.313774	0.3220028	0.2924582	0.2916925	0.2901174	0.3260265	0.3253253	0.3336911	0.277598	0.3001	0.3052588	0.3172508	0.3369952	0.2717597	0.2746372	0.3032052	0.3196035	0.3006478	0.2914813	0.2916235	0.3160441	0.3205584	0.3109201	0.3079262	0.291748	0.2831097	0.2923706	0.307649	0.3075359	0.2986652	0.3266097	0.3173268	0.2929336	0.309527	0.2915607	0.3128909	0.3076593	0.3089904	0.3214566	0.3275529	0.3059998	0.3066462	0.2968652	0.301401	0.3015384	0.2847175	0.3075643	0.2894825	0.299979	0.2962821	0.2901915	0.2902449	0.2996629	0.2899756	0.2999575	0.2858855	0.2801145	0.2991715	0.3221495	0.2993817	0.2797043	0.2952315	0.2832064	0.2507077	0.2251201	0.2407984	0.2776338	0.2521179	0.2188788	0.2593325	0.2573731	0.2419448	0.2372758	0.2421507	0.2552112	0.2400555	0.257421	0.251119	0.2054484	0.2259431	0.2115948	0.231696	0.2206755	0.223401	0.2283097	0.2284348	0.2215877	0.2176388	0.2083312	0.2984569	0.3260913	0.2907109	0.3278915	0.3091724	0.2659093	0.3044523	0.2730322	0.325623	0.2732363	0.3221756	0.2942413	0.3269071
9	Cingulate_Cortex,_Area_32	0.2690423	0.2268076	0.2627091	0.2751661	0.2590587	0.2682336	0.2618141	0.2493576	0.2578386	0.2536934	0.25454	0.2545625	0.2795825	0.2629582	0.2771156	0.2610032	0.263217	0.2674749	0.2396279	0.2616664	0.261621	0.2431922	0.2139313	0.2517169	0.2505246	0.2425084	0.208961	0.2296558	0.248647	0.228931	0.2532555	0.2490708	0.3276331	0.3222415	0.3264228	0.3512537	0.3438601	0.3414062	0.3353808	0.3572219	0.3415471	0.3611741	0.3484555	0.3586626	0.3542868	0.361091	0.3543202	0.3591702	0.3446698	0.3574564	0.3218235	0.3107446	0.3046412	0.2946506	0.2845446	0.2976511	0.2966577	0.3062616	0.30798	0.3038511	0.2864325	0.2813272	0.3283064	0.3259616	0.3106423	0.2954574	0.3398083	0.2861262	0.3300537	0.2819198	0.3243081	0.3275597	0.3292247	0.3157006	0.3151804	0.34879	0.340192	0.3219651	0.2929437	0.241379	0.3093334	0.3022661	0.2882469	0.2959088	0.3013928	0.2936833	0.274283	0.2830907	0.2751713	0.2980783	0.2713882	0.2879266	0.3220439	0.3239371	0.3309225	0.3403373	0.3302918	0.3340527	0.322055	0.3299851	0.3197981	0.3316265	0.2900831	0.3220644	0.3310048	0.3179274	0.3180663	0.3286399	0.3286079	0.2915834	0.2964291	0.3004138	0.2922486	0.3272502	0.3286065	0.2911524	0.2900917	0.3178677	0.3261638	0.2888902	0.2768097	0.2714775	0.2939034	0.3200144	0.3127898	0.2921608	0.2982095	0.3112726	0.3251494	0.3125229	0.3189183	0.2974719	0.3010963	0.2810774	0.3104064	0.3138611	0.3143183	0.3284107	0.299951	0.2978753	0.3166391	0.3033517	0.3126603	0.3152592	0.3135066	0.3213785	0.3297254	0.3143972	0.3076902	0.299718	0.3101065	0.300889	0.2913274	0.3190671	0.2965947	0.3086873	0.3048584	0.301385	0.2928782	0.3099858	0.29096	0.3129502	0.2880258	0.2880729	0.3188734	0.3299361	0.2996149	0.2887942	0.3067056	0.2783993	0.2501318	0.2324077	0.2552791	0.2868424	0.2621172	0.2329271	0.2645417	0.257099	0.2422792	0.2558621	0.2422723	0.2545283	0.2445132	0.2562311	0.241385	0.213424	0.2294542	0.2201896	0.2371396	0.2319776	0.2250283	0.239255	0.2335139	0.2323013	0.2372508	0.2145343	0.3005067	0.3146149	0.2962216	0.3298527	0.3136169	0.2761933	0.2999108	0.2885126	0.3360314	0.2719958	0.308887	0.3025896	0.331085
