ROI	structure	N57437	N57442	N57446	N57447	N57449	N57451	N57496	N57498	N57500	N57502	N57504	N57513	N57515	N57518	N57520	N57522	N57546	N57548	N57550	N57552	N57554	N57559	N57580	N57582	N57584	N57587	N57590	N57692	N57694	N57700	N57702	N57709	N58302	N58303	N58305	N58309	N58310	N58344	N58346	N58350	N58355	N58359	N58361	N58394	N58396	N58398	N58400	N58402	N58404	N58406	N58408	N58477	N58500	N58510	N58512	N58514	N58516	N58604	N58606	N58608	N58611	N58613	N58706	N58708	N58712	N58214	N58215	N58216	N58217	N58218	N58219	N58221	N58222	N58223	N58224	N58225	N58226	N58228	N58229	N58230	N58231	N58232	N58633	N58634	N58635	N58636	N58649	N58650	N58651	N58653	N58654	N58714	N58740	N58734	N58792	N58784	N58790	N58779	N58749	N58788	N58794	N58733	N58655	N58735	N58780	N58747	N58751	N58745	N58742	N58732	N58935	N59003	N58819	N58909	N58919	N58889	N59010	N58859	N58917	N58815	N58997	N58999	N58881	N58853	N58995	N58877	N58883	N58885	N58906	N58821	N58855	N58861	N58857	N58851	N58887	N58879	N58829	N58913	N58831	N58941	N58813	N58952	N59022	N59026	N59033	N59035	N59039	N59041	N59065	N59066	N59072	N59076	N59078	N59080	N59097	N59099	N59109	N59116	N59118	N59120	N58612	N59136	N59140	N58946	N59141	N58915	N59005	N58954	N58948	N58610	N60103	N60062	N60101	N60056	N60088	N60064	N60070	N60093	N60097	N60095	N60068	N60072	N60058	N60092	N60060	N60188	N60190	N60192	N60194	N60198	N60219	N60221	N60223	N60225	N60229	N60231	N60167	N60133	N60200	N60131	N60139	N60163	N60159	N60157	N60127	N60161	N60169	N60137	N60129
0	Exterior	0.3807986	0.3728164	0.376301	0.3439583	0.3745571	0.3234811	0.3427626	0.3684439	0.3459198	0.3625678	0.3626078	0.3640426	0.3519635	0.3444471	0.333101	0.3367012	0.3304873	0.3578188	0.3641322	0.3687345	0.3308069	0.376736	0.3755314	0.3230744	0.3187148	0.3696979	0.3549289	0.3770676	0.325423	0.3649982	0.3202023	0.3444493	0.3380364	0.3224903	0.3263043	0.3009988	0.3127555	0.3142717	0.3598339	0.3256082	0.3153601	0.2968959	0.3020574	0.286276	0.3162342	0.3175579	0.2959141	0.3417195	0.3037393	0.334314	0.3809418	0.2574801	0.2711693	0.2709817	0.3247929	0.2969382	0.2559713	0.2569234	0.2707688	0.2779416	0.2851147	0.306777	0.3328374	0.3079662	0.3139452	0.1817097	0.17908	0.2184286	0.1699922	0.1910182	0.1846071	0.1938891	0.1844591	0.1733485	0.1785652	0.2273657	0.1990183	0.1589956	0.2126259	0.2216047	0.1843798	0.1818056	0.2177376	0.1997499	0.2246793	0.2081781	0.2343094	0.232216	0.2182843	0.2388138	0.2284882	0.3044633	0.2992667	0.3203165	0.2741323	0.296245	0.2613905	0.3006158	0.279121	0.2478169	0.283071	0.3305794	0.3498224	0.290906	0.2814324	0.3147269	0.281357	0.2905819	0.3023972	0.3346797	0.3301574	0.2691686	0.2554952	0.2853897	0.2696249	0.311378	0.2979712	0.3322068	0.2624237	0.2602141	0.3154255	0.2950902	0.2920182	0.2795162	0.2424336	0.3191309	0.2927656	0.3033215	0.2782958	0.2778222	0.3299926	0.3202993	0.3212871	0.3051752	0.2825092	0.3188621	0.3299304	0.3035012	0.2842474	0.3133024	0.2900407	0.2785617	0.3021217	0.2951157	0.2706833	0.2635706	0.3029577	0.2800764	0.2442899	0.2982216	0.2720146	0.3011765	0.3089032	0.2845187	0.2826534	0.2665052	0.3117679	0.2546334	0.2530679	0.2572997	0.3274739	0.3109442	0.2946915	0.3399803	0.3053525	0.2906558	0.2596681	0.3170069	0.3033581	0.3002726	0.3655854	0.3254819	0.338548	0.3087884	0.3389838	0.3496285	0.337344	0.3242324	0.3601071	0.328779	0.3474035	0.3830518	0.3511874	0.3649264	0.3359907	0.3666194	0.3434407	0.4084444	0.3749322	0.3081534	0.3278181	0.3292483	0.3218764	0.298589	0.3669836	0.3722139	0.405084	0.3113109	0.3597391	0.3153183	0.3191837	0.4267233	0.3547673	0.3718508	0.34814	0.3644693	0.3797216	0.3100474	0.2872933
1	Cingulate_Cortex,_Area_24a	0.2844484	0.2410235	0.2792631	0.28755	0.2797129	0.2740202	0.2998842	0.2806217	0.2957615	0.2918611	0.2832734	0.2834138	0.2806444	0.2714954	0.2512131	0.267957	0.2824612	0.2904344	0.295323	0.2697012	0.2817535	0.2429233	0.268178	0.2935894	0.3189234	0.2639175	0.2700296	0.2912217	0.2985349	0.2640654	0.2789218	0.2775517	0.2452103	0.217375	0.2363222	0.2482594	0.2338659	0.2456326	0.2497084	0.2548949	0.2323553	0.2683853	0.2763296	0.2609681	0.2589787	0.2495422	0.2571733	0.2570102	0.2695294	0.248816	0.2444985	0.2820244	0.2944711	0.3087027	0.2599625	0.2704247	0.2805682	0.2832229	0.2777973	0.2690905	0.2662653	0.2842736	0.24708	0.2391504	0.230556	0.1783216	0.1807819	0.2032641	0.2218283	0.1120352	0.2174913	0.2017453	0.2551335	0.2098649	0.1873909	0.1680747	0.1753753	0.1892755	0.1865251	0.2135998	0.1547479	0.1908801	0.2821977	0.2867308	0.2894803	0.2912873	0.2687978	0.2640405	0.2486749	0.2174444	0.249161	0.2304825	0.2513019	0.2564685	0.2273625	0.2467862	0.2412869	0.2600801	0.2388523	0.2714488	0.2331247	0.2382423	0.2608863	0.2672537	0.2473609	0.2256301	0.2185682	0.2367551	0.2513207	0.2277482	0.2468923	0.2484179	0.2400201	0.2365429	0.2459738	0.2580191	0.2406295	0.2387671	0.2171972	0.2619287	0.2110479	0.2153259	0.2287235	0.2483076	0.2639643	0.2445249	0.2626661	0.2582695	0.2465564	0.2283607	0.2409509	0.2276375	0.2394601	0.1832404	0.2506869	0.2251576	0.2454681	0.2446138	0.2523832	0.2645953	0.2241877	0.2437034	0.2470713	0.2473324	0.256954	0.2369401	0.2318729	0.2338051	0.2321028	0.2351053	0.257392	0.2710056	0.2583682	0.2182584	0.2279744	0.2489817	0.2931235	0.293476	0.292783	0.2526285	0.2964384	0.2546219	0.2570678	0.2427411	0.2381009	0.2398943	0.2290269	0.2532081	0.2592662	0.253421	0.2981604	0.3284405	0.3138983	0.2807638	0.3320053	0.3919528	0.2867084	0.3447381	0.2856459	0.2752441	0.287615	0.3133158	0.2760085	0.3685942	0.2966693	0.3366501	0.326499	0.2964072	0.3086658	0.3150159	0.3182042	0.3170637	0.345221	0.2960974	0.3143974	0.3082397	0.2907261	0.2616369	0.3154199	0.2931442	0.2604971	0.3848062	0.2995922	0.2430621	0.2644402	0.3329009	0.2510667	0.3420818	0.2694578
2	Cingulate_Cortex,_Area_24a_prime	0.2799248	0.2368754	0.274305	0.2746643	0.2689534	0.2720717	0.2995284	0.287775	0.2878619	0.2979231	0.2610572	0.2610604	0.2704209	0.2641714	0.257055	0.2715939	0.2724198	0.2707492	0.272892	0.255762	0.2453268	0.2550361	0.249111	0.2490321	0.2844395	0.2380609	0.2664631	0.2667716	0.2803975	0.2401316	0.2696891	0.2829787	0.2674824	0.2291965	0.2377706	0.2468681	0.2200776	0.2568994	0.2502158	0.2487427	0.2266196	0.2941806	0.2714739	0.2711838	0.2752237	0.2735776	0.2728483	0.2569338	0.275859	0.2932005	0.249028	0.2829761	0.2604621	0.2774721	0.2472474	0.2669858	0.2706222	0.2590089	0.2621597	0.2600755	0.2733071	0.2825646	0.2421755	0.2502924	0.2350539	0.1774417	0.1987116	0.1905411	0.2295771	0.12984	0.2139629	0.2079221	0.2492104	0.2297477	0.2078032	0.1287156	0.2020391	0.1842804	0.157286	0.2338869	0.138673	0.18623	0.2624728	0.2342932	0.2571774	0.2688398	0.2419373	0.2517048	0.2356966	0.2261632	0.2463769	0.2251191	0.2384595	0.2527468	0.224814	0.2622	0.2348652	0.2634323	0.2192693	0.2399218	0.2180565	0.2496818	0.2340958	0.2468536	0.2518338	0.2439461	0.214049	0.2650616	0.2515821	0.2254552	0.2596577	0.2427604	0.2264218	0.2618985	0.2505499	0.2477354	0.2114656	0.2320114	0.2200907	0.2351058	0.2319387	0.220491	0.2448403	0.2196551	0.203564	0.2422747	0.2673564	0.2699361	0.2561498	0.2177847	0.2154173	0.2141495	0.2268541	0.1937194	0.2549884	0.2426039	0.2355155	0.2550431	0.2489747	0.2539202	0.2227223	0.2457824	0.2338739	0.2403	0.236387	0.244868	0.2194843	0.2251198	0.2298037	0.2303427	0.23194	0.2372107	0.2492987	0.2421832	0.2002755	0.2374229	0.270034	0.2625291	0.2652267	0.2285534	0.3040131	0.2423359	0.2368361	0.2627613	0.2500494	0.2403167	0.2276638	0.2429496	0.2475916	0.2474246	0.2991132	0.3070372	0.2890387	0.2542358	0.3202066	0.3635854	0.2506877	0.323092	0.2888158	0.2842041	0.2718428	0.2830476	0.2352265	0.315568	0.2944772	0.3240649	0.2876256	0.291632	0.2812858	0.2893355	0.260024	0.2635634	0.3036074	0.2579186	0.2704714	0.2890801	0.3286184	0.238916	0.3099437	0.297812	0.2535942	0.3846174	0.2750988	0.251101	0.2421253	0.3531867	0.2824236	0.3183642	0.2595024
3	Cingulate_Cortex,_Area_24b	0.2037336	0.1683243	0.2035213	0.205851	0.2043759	0.1982335	0.2045957	0.1891053	0.2036017	0.2131996	0.2026339	0.2031571	0.1981788	0.1896566	0.1766867	0.1986701	0.1879538	0.2050144	0.210253	0.1845127	0.1772949	0.1788024	0.1871261	0.2042564	0.2076863	0.1882042	0.1887557	0.2083653	0.2017795	0.1785954	0.2121756	0.2006644	0.1900986	0.1780642	0.1761114	0.1891755	0.173676	0.1977784	0.1861921	0.178949	0.1700231	0.2159209	0.20873	0.218187	0.2020683	0.2055161	0.198568	0.1842839	0.2056585	0.210326	0.1998706	0.190663	0.2104687	0.2051735	0.1858113	0.1931179	0.2077301	0.2110633	0.1975942	0.1935301	0.1820405	0.1879112	0.1846641	0.1955029	0.1872234	0.1182037	0.148987	0.1159526	0.1627164	0.09375677	0.1566236	0.1610709	0.154323	0.1697887	0.143977	0.137284	0.1498116	0.1225831	0.1395745	0.1347212	0.1230705	0.1332322	0.1406204	0.1459263	0.158457	0.1436132	0.1449583	0.1627784	0.146366	0.1386668	0.1527426	0.1771995	0.1741243	0.2039412	0.1777971	0.1974685	0.2010523	0.2035217	0.1744489	0.1969627	0.1744516	0.1987943	0.1863191	0.1997394	0.2067367	0.178396	0.1784847	0.1943673	0.1935167	0.174988	0.2009959	0.1795967	0.1703798	0.1840399	0.18684	0.212585	0.169534	0.1827042	0.1648813	0.1916564	0.1784742	0.1693948	0.1881265	0.1680633	0.1839836	0.1954069	0.1866546	0.2034845	0.2042108	0.1725123	0.175725	0.1696583	0.1921843	0.1649164	0.1929464	0.1922758	0.1827035	0.1908372	0.1864209	0.1973025	0.1737609	0.1887601	0.1764855	0.1780715	0.17686	0.1840996	0.1766788	0.1721881	0.1868754	0.1740456	0.1719584	0.1900756	0.1932421	0.1930194	0.1610576	0.1980881	0.2156262	0.2057702	0.2113055	0.1739271	0.2032257	0.1975598	0.1865761	0.2005759	0.1897362	0.1854879	0.1714997	0.1980619	0.190993	0.1569235	0.2422932	0.2445781	0.2445894	0.1989306	0.2757148	0.3076223	0.2285479	0.2548927	0.2290827	0.2101445	0.2249361	0.2350461	0.2211495	0.2279434	0.2481662	0.2521264	0.2348294	0.2119483	0.2279029	0.2368169	0.2198301	0.2229128	0.2382705	0.2128917	0.1930879	0.2237423	0.2758922	0.2357718	0.2474808	0.2671979	0.2150798	0.2792783	0.236309	0.202839	0.2287396	0.2711793	0.2198075	0.2844136	0.2208985
4	Cingulate_Cortex,_Area_24b_prime	0.2244862	0.1699418	0.2115848	0.2040737	0.188713	0.2098557	0.2139815	0.187409	0.2050544	0.2253227	0.2160207	0.2158068	0.1885538	0.1951232	0.1762293	0.1921398	0.2053581	0.1983636	0.2042583	0.1881541	0.1707273	0.1900138	0.1973511	0.19681	0.2074176	0.1909183	0.1898773	0.2054062	0.2237819	0.1841998	0.233717	0.206971	0.1861791	0.1703717	0.1740899	0.1819002	0.1552118	0.1930618	0.1727516	0.1864182	0.1726426	0.216011	0.2064058	0.2136539	0.2086529	0.2030664	0.1953408	0.1991816	0.2014227	0.2062085	0.2111927	0.1949787	0.2189754	0.207606	0.1979894	0.20145	0.2162299	0.2167887	0.1886082	0.2020256	0.183896	0.1856246	0.1843336	0.191041	0.195947	0.1287767	0.1627027	0.1507643	0.1590385	0.1135939	0.1461106	0.1443197	0.1687112	0.1580309	0.1453178	0.1360125	0.1561083	0.1343141	0.1333306	0.1696941	0.1301729	0.1313606	0.1595609	0.1423426	0.167857	0.1393818	0.1491397	0.1720377	0.1549779	0.1549927	0.1644044	0.1815662	0.1761298	0.1864942	0.1763716	0.193283	0.1982991	0.2007795	0.1785355	0.1946395	0.1740459	0.1975283	0.1729306	0.1937562	0.1930645	0.1775699	0.1934672	0.204946	0.1977831	0.1739161	0.1964493	0.1946836	0.1825277	0.197261	0.189282	0.2193314	0.1696832	0.202937	0.1819068	0.1912237	0.1794077	0.1786899	0.1963397	0.1673812	0.1863675	0.1981778	0.2110024	0.2097279	0.2225201	0.1685057	0.1749846	0.1577511	0.2149768	0.1829208	0.1967732	0.2158441	0.1980788	0.2051366	0.1834546	0.1922811	0.1732172	0.191796	0.1815164	0.1870912	0.1740472	0.194075	0.158208	0.18295	0.2006532	0.1706659	0.1540035	0.186064	0.1901377	0.1988631	0.1589093	0.1946288	0.2061668	0.2081331	0.2139874	0.1783914	0.2071428	0.1878324	0.1848475	0.2028899	0.2039933	0.1980798	0.1801847	0.2024108	0.1906333	0.1511757	0.2441363	0.2599159	0.2354027	0.1935695	0.2985753	0.3300319	0.2035998	0.2601167	0.2181135	0.2337212	0.2288927	0.2098916	0.195121	0.2362426	0.2442454	0.2577611	0.2196243	0.2286281	0.2131752	0.2385072	0.207236	0.2050222	0.255799	0.2253379	0.2009612	0.2399698	0.2544605	0.2260898	0.2589921	0.2385391	0.2183623	0.3122028	0.2344905	0.1979621	0.2011301	0.3253251	0.1959666	0.275606	0.1902898
5	Cingulate_Cortex,_Area_29a	0.2297118	0.2174212	0.2778073	0.2452041	0.2251454	0.2410713	0.2464269	0.2512144	0.2501826	0.2384852	0.2456097	0.2458836	0.2513039	0.2428566	0.2284812	0.2157691	0.2599766	0.2303286	0.2235417	0.2451299	0.2303962	0.2279138	0.2420498	0.2371518	0.2635229	0.2374878	0.2026115	0.2419287	0.2392199	0.2251222	0.2536469	0.2367742	0.2389431	0.2438754	0.2233927	0.2197663	0.226849	0.2322901	0.2180852	0.2134801	0.2063727	0.2255376	0.2171261	0.2246305	0.2126151	0.2289529	0.2231008	0.2615854	0.2177301	0.2337247	0.2139591	0.2222061	0.2442027	0.2322966	0.2143204	0.2311057	0.2312856	0.221715	0.2323689	0.2117194	0.2346848	0.2360273	0.2221382	0.2518764	0.2004756	0.1074001	0.1938314	0.1443907	0.1787198	0.1150493	0.1664895	0.1375549	0.1549491	0.2041752	0.159489	0.2642174	0.164013	0.178276	0.1375398	0.1325542	0.1750495	0.1454076	0.1346121	0.1554937	0.1579249	0.1376159	0.1541796	0.1836471	0.1701221	0.1539005	0.1635559	0.241706	0.2108886	0.2075386	0.2335874	0.2129188	0.2156504	0.2121302	0.2281613	0.2156147	0.2438272	0.2413187	0.2144615	0.2161052	0.2101328	0.2046787	0.2289084	0.2416919	0.2525814	0.2342582	0.2449254	0.2445698	0.2448651	0.2528121	0.2232729	0.2491829	0.2092483	0.2138866	0.2658772	0.2284925	0.2260398	0.2435181	0.2545891	0.2540534	0.2386262	0.2242014	0.2534441	0.2564094	0.2394124	0.233883	0.2128757	0.2211819	0.24627	0.2149837	0.2427893	0.2398454	0.2344882	0.2416267	0.2318799	0.2164893	0.243113	0.2293922	0.2317633	0.228945	0.2343482	0.1979475	0.221005	0.2173029	0.2307306	0.2562867	0.2158967	0.2273299	0.2308218	0.2237788	0.1915774	0.2361951	0.2797535	0.2285242	0.2283586	0.2101418	0.2576195	0.2149634	0.2272261	0.244657	0.2429416	0.2499603	0.2159954	0.2316144	0.2321848	0.2112596	0.266776	0.2424293	0.2662371	0.2313929	0.3016143	0.3375979	0.2522278	0.2705089	0.2763362	0.225523	0.2611583	0.2682406	0.2377301	0.2959514	0.2425812	0.2578051	0.2520615	0.2366223	0.2679063	0.2677517	0.2455717	0.2630265	0.2600664	0.2492059	0.2733356	0.2904948	0.2891544	0.299874	0.270378	0.2879607	0.2808659	0.3644648	0.2485056	0.2772341	0.269014	0.290374	0.2467259	0.3129974	0.2610738
6	Cingulate_Cortex,_Area_29b	0.2226012	0.1919527	0.2236235	0.2141618	0.2018416	0.2297387	0.2218332	0.2248792	0.2098244	0.2051986	0.1912594	0.1911203	0.226991	0.2166844	0.1924286	0.2138643	0.2189792	0.2109777	0.1962195	0.2119977	0.1973266	0.1952357	0.1873303	0.2004533	0.2276831	0.202284	0.1986502	0.2457681	0.2239753	0.1842174	0.2094607	0.2397441	0.1858008	0.1907667	0.1845478	0.2141138	0.174585	0.1775154	0.1764598	0.1828189	0.1934907	0.2359995	0.2107586	0.2267113	0.2275765	0.2073316	0.2201227	0.2147229	0.2199972	0.2360791	0.1968594	0.2122867	0.2403103	0.2272501	0.1894248	0.2207813	0.2479217	0.2279489	0.2329474	0.2146734	0.1878879	0.195181	0.2003222	0.2050686	0.2073909	0.1179085	0.1501872	0.1353886	0.1715932	0.1239393	0.163342	0.155845	0.1294603	0.1774931	0.1413405	0.1580611	0.1561671	0.1177948	0.134305	0.120526	0.1200579	0.118794	0.1426021	0.150882	0.1311495	0.16018	0.1578238	0.182225	0.1751302	0.1628824	0.1535597	0.1850459	0.20121	0.2082203	0.1861299	0.1973933	0.2231574	0.2317397	0.1989515	0.2081772	0.1625137	0.2301437	0.2125809	0.2136879	0.2028406	0.2145953	0.1934626	0.2131682	0.1951213	0.1854131	0.2086727	0.1993957	0.1687801	0.2203485	0.2142855	0.1667019	0.165797	0.1861033	0.2031245	0.1897479	0.1696666	0.1689747	0.2001767	0.1916301	0.2003592	0.210402	0.2197648	0.215751	0.2287798	0.172543	0.1700055	0.1679395	0.1965073	0.1732731	0.2170718	0.2042374	0.207184	0.2127686	0.2030251	0.187003	0.1834258	0.1893545	0.192128	0.2072366	0.190772	0.2141988	0.1631435	0.1891871	0.1887524	0.1853129	0.1842917	0.2325837	0.1923951	0.2157389	0.1614584	0.2000821	0.2129453	0.2199429	0.2173503	0.1759884	0.1970434	0.1896864	0.1773928	0.2137767	0.1897752	0.1876171	0.1657881	0.193811	0.1863046	0.1600307	0.2230201	0.2623807	0.2563362	0.2267533	0.2794586	0.3117853	0.22654	0.2367597	0.2408932	0.2386093	0.2603972	0.2681541	0.1997331	0.2585388	0.2729655	0.2356679	0.2529531	0.1948597	0.2560973	0.2493885	0.2186476	0.2355427	0.2308557	0.1964317	0.2509623	0.2489533	0.2617455	0.2932277	0.2450159	0.253812	0.2232296	0.3291754	0.2459058	0.2403668	0.2261238	0.270835	0.2085515	0.3143665	0.240051
7	Cingulate_Cortex,_Area_29c	0.3009247	0.2794518	0.3139778	0.3105001	0.3026647	0.2928596	0.3223907	0.2872342	0.3110724	0.327136	0.3086061	0.3083626	0.299446	0.2757418	0.2869119	0.2961103	0.3073727	0.3036672	0.2958224	0.2736327	0.2823906	0.2914852	0.289247	0.2687822	0.2899335	0.2631803	0.3103125	0.2787028	0.3071471	0.2774415	0.3179984	0.3100752	0.2862999	0.2571072	0.2690381	0.2691706	0.2479923	0.2796815	0.2779776	0.2698096	0.2526792	0.297039	0.3104345	0.280011	0.2826086	0.2925535	0.2818271	0.2660204	0.2860349	0.3004071	0.2688821	0.3012029	0.2982162	0.297992	0.27457	0.2817609	0.2865496	0.2855344	0.2971562	0.2892177	0.2839539	0.2888735	0.2632958	0.2740868	0.255644	0.1817775	0.2187284	0.1976305	0.2450922	0.1451953	0.2495568	0.2201831	0.2441742	0.2532029	0.2164566	0.1980557	0.240176	0.1771448	0.1852257	0.2286301	0.1761899	0.2023858	0.2369064	0.2336035	0.262778	0.2298318	0.2428572	0.2493501	0.2481858	0.2312834	0.2348976	0.2652749	0.2577816	0.2635978	0.2493811	0.2796595	0.2750668	0.2841482	0.2438407	0.2657564	0.2505541	0.2807	0.2724484	0.2763567	0.2549772	0.2702281	0.241594	0.2863028	0.2854679	0.2664839	0.2733705	0.2712618	0.2636852	0.2923399	0.2584537	0.3033964	0.2348841	0.2458367	0.2680235	0.2612722	0.2701295	0.2576343	0.2707018	0.2475253	0.2589177	0.2753313	0.294328	0.2859802	0.2967764	0.2521426	0.2533007	0.2548931	0.2699288	0.2310885	0.2765821	0.2903089	0.2659467	0.2834725	0.2704514	0.2890695	0.2684634	0.2832021	0.2573255	0.2622838	0.2590122	0.2597259	0.2548206	0.2524271	0.2590294	0.2386413	0.2433263	0.2673104	0.2894413	0.2791031	0.2347484	0.268495	0.2965801	0.2976559	0.2926497	0.2599322	0.311216	0.267282	0.2656175	0.2945767	0.2733967	0.2837262	0.2620646	0.2881201	0.2780144	0.2510841	0.3339768	0.3347058	0.3369166	0.2836711	0.3585568	0.4079326	0.2987218	0.3462372	0.3402336	0.3156869	0.2992284	0.3243652	0.2979191	0.3558756	0.3324627	0.3642338	0.327445	0.3140234	0.3365216	0.3410386	0.3048012	0.3185569	0.3431718	0.3018681	0.3165562	0.3411823	0.3796595	0.2684417	0.3520247	0.3453544	0.3047701	0.4528842	0.3187368	0.3013772	0.3102828	0.3944644	0.2939448	0.3552495	0.304796
8	Cingulate_Cortex,_Area_30	0.2402105	0.1941245	0.2174748	0.2153585	0.2202606	0.2249729	0.2039294	0.2075216	0.2137174	0.2132628	0.2216	0.2217768	0.214238	0.2013936	0.1983938	0.214235	0.2142762	0.2134655	0.2031875	0.1989262	0.2016749	0.1968631	0.2013029	0.1948632	0.2088092	0.1923707	0.1944875	0.2078374	0.207998	0.1987028	0.2182313	0.2198891	0.1926115	0.1962345	0.1997008	0.1993391	0.1899369	0.1995084	0.1955279	0.1932053	0.2032852	0.232446	0.2175058	0.2049674	0.2287458	0.214717	0.2092931	0.2083334	0.2134637	0.2320964	0.2206794	0.2092495	0.2203697	0.2184208	0.2119739	0.2098602	0.2121092	0.208353	0.210009	0.1904676	0.1837204	0.1888791	0.2192809	0.2075178	0.2090642	0.1383466	0.1617287	0.1588721	0.1784721	0.1158317	0.1740711	0.1598008	0.1572907	0.1731273	0.1502708	0.1710207	0.1668209	0.1338156	0.1508755	0.1566213	0.1401108	0.1375559	0.1682469	0.1643618	0.1552751	0.1563948	0.1624176	0.1735774	0.170861	0.1599649	0.1660175	0.2032703	0.2013478	0.1981422	0.189138	0.2053101	0.2117032	0.215948	0.1999848	0.2009284	0.1963399	0.2151149	0.2037292	0.2051165	0.1875384	0.1994209	0.1947022	0.2173048	0.2162967	0.1989907	0.2229936	0.2238183	0.1910844	0.2182029	0.1995108	0.2148616	0.1793329	0.204138	0.2196748	0.2015918	0.1955739	0.1909723	0.1981812	0.1915861	0.2072737	0.2130352	0.2302981	0.2081944	0.2291436	0.191692	0.1902268	0.189844	0.2495269	0.1931541	0.2030042	0.2074556	0.2115778	0.2196652	0.1945892	0.2145452	0.1910012	0.2069254	0.1828168	0.200309	0.1926155	0.2011062	0.1805179	0.1810739	0.1946785	0.1868263	0.1873435	0.2093761	0.2045324	0.2287455	0.1697544	0.2191993	0.2210467	0.2270262	0.2232209	0.189963	0.2041379	0.2105833	0.2019987	0.2309363	0.2251132	0.2022864	0.1964604	0.2204857	0.2121722	0.1580228	0.2367235	0.2471796	0.2682181	0.2148446	0.2804124	0.3375322	0.2253618	0.2615852	0.2586725	0.2445729	0.2290245	0.2381115	0.2166836	0.2595408	0.2484683	0.259996	0.2422051	0.2264479	0.2378956	0.2425371	0.2333687	0.2340873	0.248304	0.2253151	0.2420115	0.2663257	0.2944464	0.2310317	0.2868223	0.256731	0.2355992	0.3218361	0.2402781	0.2274209	0.2330275	0.2870251	0.2160889	0.2879998	0.2412063
9	Cingulate_Cortex,_Area_32	0.1699482	0.1498463	0.1676492	0.1687468	0.170184	0.1672587	0.1714752	0.1718644	0.1637468	0.1672481	0.1636585	0.1640658	0.1632298	0.1565413	0.1619727	0.163631	0.1681646	0.1762518	0.1691015	0.1719877	0.1581229	0.1615826	0.1689707	0.1824475	0.1868118	0.1624351	0.1599175	0.195424	0.1720559	0.158245	0.1756676	0.1533838	0.1597705	0.1557637	0.1590667	0.1648802	0.1556043	0.1685131	0.1534937	0.1617649	0.1591395	0.172911	0.1615473	0.177135	0.1761658	0.1654672	0.1572868	0.1538989	0.1604013	0.16906	0.1786696	0.164112	0.17235	0.1660805	0.1580471	0.1620475	0.1792937	0.1751088	0.157578	0.1634663	0.1491147	0.1515143	0.1590235	0.1554361	0.1519803	0.1197355	0.1471037	0.1090265	0.1374157	0.1142727	0.146537	0.1455795	0.1259512	0.148883	0.1334098	0.2082459	0.1355681	0.1246203	0.1325799	0.1167973	0.1347294	0.1335701	0.1351157	0.1531002	0.1355232	0.1355709	0.1599962	0.1432102	0.1490037	0.1389897	0.1513061	0.1505988	0.1542861	0.1778473	0.1655124	0.1583225	0.16531	0.1597425	0.1567538	0.1577675	0.1508454	0.1707959	0.158629	0.1635703	0.1688805	0.1507851	0.1598786	0.1709397	0.1643142	0.1388695	0.1647801	0.1631261	0.1524566	0.1560328	0.1650968	0.1504625	0.1702854	0.1656419	0.1574552	0.1642716	0.1652658	0.1627477	0.1675102	0.1521159	0.1530941	0.1660179	0.1611461	0.1719783	0.1659574	0.1552263	0.1738707	0.1693135	0.1766069	0.1405399	0.1683162	0.1652053	0.1627899	0.1571049	0.1634691	0.1609166	0.1528348	0.1674387	0.1594377	0.1652493	0.1603109	0.1604244	0.1508097	0.1472104	0.164555	0.1697702	0.1628134	0.1639082	0.1617326	0.1565084	0.1443828	0.1517738	0.1844369	0.1591523	0.1663342	0.1516259	0.1616488	0.158713	0.1542294	0.167138	0.1435366	0.1505996	0.1524456	0.1660925	0.1603113	0.1337452	0.2017411	0.2271797	0.2205399	0.1865552	0.2405482	0.2557127	0.2240412	0.2166842	0.2120346	0.1920325	0.199339	0.2187841	0.2197662	0.2080044	0.2117499	0.2176956	0.1941108	0.2102723	0.2070988	0.1940986	0.1944978	0.1894465	0.2075631	0.1910347	0.1727574	0.2204601	0.2191927	0.2217615	0.1984506	0.2120476	0.2000045	0.2320903	0.213091	0.1944324	0.2048613	0.2241546	0.2055343	0.2586035	0.1976022
