region1,region2,statistic,pvalue,hierarchy_level,corrected_pvalue,significant
A1,A1,8412.657722875445,0.0,0,0.0,True
A1,A2,974.8611247911674,2.049257062963377e-212,0,3.073885594445066e-212,True
A2,A2,58.50131084375146,1.9797108269525157e-13,0,1.9797108269525157e-13,True
A1-B0,A1-B0,49.73077034672844,1.588914135962935e-11,1,1.9861426699536688e-11,True
A1-B0,A1-B1,2058.326688724811,0.0,1,0.0,True
A1-B0,A2-B2,63.373577023498825,1.732218211151571e-14,1,2.8870303519192853e-14,True
A1-B0,A2-B3,272.9336293085377,5.410226318642483e-60,1,1.0820452637284965e-59,True
A1-B1,A1-B1,6457.327428496515,0.0,1,0.0,True
A1-B1,A2-B2,401.79459678331966,5.641724559975298e-88,1,1.4104311399938245e-87,True
A1-B1,A2-B3,476.770729437747,2.954959521650619e-104,1,9.849865072168731e-104,True
A2-B2,A2-B2,34.26369168357013,3.628556468721174e-08,1,4.031729409690193e-08,True
A2-B2,A2-B3,1.5272413230355453,0.4659762268422617,1,0.4659762268422617,False
A2-B3,A2-B3,55.296602634896686,9.82868244871421e-13,1,1.4040974926734588e-12,True
A1-B0-C4,A1-B0-C4,96.6093147930977,1.0508817317721114e-21,2,2.9101340264458473e-21,True
A1-B0-C4,A1-B0-C5,2.266249999999786,0.32202535316504105,2,0.3409680209982788,False
A1-B0-C4,A1-B1-C6,244.80681404486512,6.932274702527963e-54,2,2.772909881011185e-53,True
A1-B0-C4,A1-B1-C7,1286.4334692165944,4.513583610109971e-280,2,5.416300332131965e-279,True
A1-B0-C4,A2-B2-C0,7.4312796208534735,0.024339863233827353,2,0.02758314730413106,True
A1-B0-C4,A2-B2-C1,32.22494707127729,1.0056379490691551e-07,2,1.8101483083244792e-07,True
A1-B0-C4,A2-B3-C2,60.06672823828228,9.05056496445994e-14,2,2.061312143285754e-13,True
A1-B0-C4,A2-B3-C3,154.12341825973363,3.408199111276454e-34,2,1.1154106182359303e-33,True
A1-B0-C5,A1-B0-C5,3.1720338983049894,0.20473947757339217,2,0.22335215735279146,False
A1-B0-C5,A1-B1-C6,133.41182754491018,1.0714939872311242e-29,2,3.2144819616933725e-29,True
A1-B0-C5,A1-B1-C7,532.2074662284788,2.7078031843504654e-116,2,1.949618292732335e-115,True
A1-B0-C5,A2-B2-C0,12.90263582571278,0.0015784405502474103,2,0.002029423564603813,True
A1-B0-C5,A2-B2-C1,21.27604166666661,2.3986465280657725e-05,2,3.597969792098659e-05,True
A1-B0-C5,A2-B3-C2,69.65072319583679,7.508231034190227e-16,2,1.930687980220344e-15,True
A1-B0-C5,A2-B3-C3,58.23678986050317,2.2596530384101843e-13,2,4.785147610750979e-13,True
A1-B1-C6,A1-B1-C6,628.1321482068907,4.007163509311016e-137,2,3.606447158379915e-136,True
A1-B1-C6,A1-B1-C7,2349.032850886548,0.0,2,0.0,True
A1-B1-C6,A2-B2-C0,265.2568723395786,2.5130551994149292e-58,2,1.5078331196489575e-57,True
A1-B1-C6,A2-B2-C1,166.4066194907225,7.33266258935045e-37,2,2.6397585321661618e-36,True
A1-B1-C6,A2-B3-C2,43.42316285997998,3.7220310480500674e-10,2,7.444062096100135e-10,True
A1-B1-C6,A2-B3-C3,21.858026839222592,1.793039178797576e-05,2,2.806496105944032e-05,True
A1-B1-C7,A1-B1-C7,4069.016877870581,0.0,2,0.0,True
A1-B1-C7,A2-B2-C0,18.452610930117036,9.841616735062011e-05,2,0.00014171928098489296,True
A1-B1-C7,A2-B2-C1,60.04238736470407,9.16138730349224e-14,2,2.061312143285754e-13,True
A1-B1-C7,A2-B3-C2,264.4074965469946,3.842745634770866e-58,2,1.9762691835964454e-57,True
A1-B1-C7,A2-B3-C3,256.99412345584074,1.5647146572712121e-56,2,7.041215957720455e-56,True
A2-B2-C0,A2-B2-C0,17.652173913043477,0.00014685175395719703,2,0.0002033331977868882,True
A2-B2-C0,A2-B2-C1,7.416666666666621,0.024518353159227606,2,0.02758314730413106,True
A2-B2-C0,A2-B3-C2,0.41600000000014176,0.8122070367118814,2,0.8122070367118814,False
A2-B2-C0,A2-B3-C3,8.698124621899375,0.012918920833311878,2,0.016037281034456126,True
A2-B2-C1,A2-B2-C1,13.074285714285738,0.0014486215105082817,2,0.0019314953473443756,True
