region1,region2,statistic,pvalue,hierarchy_level,corrected_pvalue,significant
L,L,9.612639564530676,0.008177900840505788,0,0.012266851260758682,True
L,R,2.3568441290041284,0.30776398737547983,0,0.30776398737547983,False
R,R,11.869415897212345,0.0026459954083557333,0,0.0079379862250672,True
FB,FB,598.685605090261,9.932822100135513e-131,1,1.489923315020327e-129,True
FB,HB,27.31522872173945,1.1710446305633567e-06,1,1.951741050938928e-06,True
FB,MB,8.558709577224006,0.013851596411652126,1,0.017314495514565157,True
FB,VS,13.370828103349751,0.0012489974972111197,1,0.0018734962458166796,True
FB,WM,79.19889505061917,6.341302243773143e-18,1,1.3588504808085306e-17,True
HB,HB,207.98510126197533,6.864503043602679e-46,1,3.432251521801339e-45,True
HB,MB,164.54134480954514,1.8633779504789196e-36,1,6.987667314295949e-36,True
HB,VS,9.205020631028143,0.010026634110679668,1,0.013672682878199548,True
HB,WM,335.8999094312172,1.1488449805878335e-73,1,8.616337354408751e-73,True
MB,MB,28.471883027260834,6.567637227706557e-07,1,1.2314319801949795e-06,True
MB,VS,3.193588822520157,0.20254475363270463,1,0.20254475363270463,False
MB,WM,162.64309775610482,4.813933232075552e-36,1,1.4441799696226657e-35,True
VS,VS,4.156135265700499,0.12517185663433858,1,0.14442906534731373,False
VS,WM,3.4543938891922994,0.1777820451168747,1,0.1904807626252229,False
WM,WM,104.7603410377951,1.7847647609520432e-23,1,4.461911902380108e-23,True
L-FB,L-FB,196.64014533382004,1.995882546729437e-43,2,5.488677003505952e-42,True
L-FB,L-HB,8.5345131522449,0.01402019377530958,2,0.024097208051313344,True
L-FB,L-MB,12.58912807904995,0.001846314037541688,2,0.003626688288028316,True
L-FB,L-VS,3.0969736471392855,0.2125693855731402,2,0.29977733862878747,False
L-FB,L-WM,83.90479732266523,6.029825704254462e-19,2,3.684893485933282e-18,True
L-FB,R-FB,233.0802693209009,2.4392852894703286e-51,2,1.3416069092086807e-49,True
L-FB,R-HB,5.830441902805443,0.05419205589929357,2,0.09032009316548929,False
L-FB,R-MB,0.8516304192686444,0.6532370428801915,2,0.7044713207531477,False
L-FB,R-VS,4.148172725766037,0.12567119292462633,2,0.19199765585706802,False
L-FB,R-WM,21.087829420632215,2.635336175404136e-05,2,7.247174482361375e-05,True
L-HB,L-HB,60.31966814771694,7.975363503897486e-14,2,3.1331785193882986e-13,True
