region1,region2,statistic,pvalue,hierarchy_level,corrected_pvalue,significant
L,L,0.004687774592470296,1.2099651568733226e-42,0,3.6298954706199684e-42,True
L,R,5.934650822403059e-06,0.7824739225113928,0,0.7824739225113928,False
R,R,0.004211666919481252,2.2337697988754564e-38,0,3.350654698313185e-38,True
FB,FB,0.03257151491434583,0.0,1,0.0,True
FB,HB,0.00014808904520748406,0.08382935436841298,1,0.09672617811739959,False
FB,MB,0.009004983577896891,6.19203503321423e-22,1,8.443684136201224e-22,True
FB,VS,0.00023757816674436333,0.6807460520063391,1,0.6807460520063391,False
FB,WM,0.0018316235402304744,1.7497364550293025e-14,1,2.187170568786628e-14,True
HB,HB,0.08954419565530534,3.1542312930972923e-116,1,1.577115646548646e-115,True
HB,MB,0.1442677816079536,1.7781014065299278e-126,1,1.333576054897446e-125,True
HB,VS,0.10346801508376849,4.0073855044304765e-27,1,6.011078256645715e-27,True
HB,WM,0.04242325235498418,9.407144986964695e-113,1,3.5276793701117607e-112,True
MB,MB,0.20095613171686094,2.392057775157422e-28,1,3.986762958595703e-28,True
MB,VS,0.3396313904701587,6.79009963916187e-33,1,1.2731436823428507e-32,True
MB,WM,0.11922500081146922,1.672867731284961e-106,1,5.018603193854883e-106,True
VS,VS,0.09665921265162479,0.11827256505790028,1,0.12672060541917887,False
VS,WM,0.13324836009774776,2.0916502875111508e-36,1,4.482107758952466e-36,True
WM,WM,0.0683019798901672,1.3621005908675252e-93,1,3.405251477168813e-93,True
L-FB,L-FB,0.045023072675330025,6.874340309799496e-121,2,1.8904435851948615e-119,True
L-FB,L-HB,0.005590279871608124,6.526597639370937e-11,2,1.1217589692668799e-10,True
L-FB,L-MB,0.02100891619931571,3.6738898070633123e-13,2,7.216569263874365e-13,True
L-FB,L-VS,0.0034857686491709,0.24439616540510056,2,0.2635644921035398,False
L-FB,L-WM,0.009861895975168383,2.583450386801116e-19,2,6.45862596700279e-19,True
L-FB,R-FB,0.03480695069997534,1.217406010466351e-187,2,6.695733057564931e-186,True
L-FB,R-HB,0.006475113580197798,1.575073628811149e-12,2,2.887634986153773e-12,True
L-FB,R-MB,0.03357916524346302,9.925084996542279e-21,2,2.8730509200517125e-20,True
L-FB,R-VS,0.002941840969255893,0.30459194178641974,2,0.3221645538125594,False
L-FB,R-WM,0.007562602231788993,5.7866792656522386e-15,2,1.224105229272589e-14,True
L-HB,L-HB,0.10039114811602823,1.0504834119313377e-32,2,4.444352896632583e-32,True
L-HB,L-MB,0.09346747095941701,1.7668610993647607e-20,2,4.858868023253092e-20,True
L-HB,L-VS,0.09310800020750672,1.388892921288976e-06,2,1.7764909458347367e-06,True
L-HB,L-WM,0.021781402833934125,6.0671917264360254e-15,2,1.2359094257554867e-14,True
L-HB,R-FB,0.004353742883110535,1.1817928514044548e-08,2,1.710489653348553e-08,True
L-HB,R-HB,0.0934464349710685,4.4319714564092655e-62,2,8.125281003416988e-61,True
L-HB,R-MB,0.1712983436295387,1.505112264222862e-38,2,8.278117453225741e-38,True
L-HB,R-VS,0.10902340725727763,1.2065592674426584e-07,2,1.580018088317767e-07,True
L-HB,R-WM,0.05301707635461491,6.801466650497928e-36,2,3.400733325248964e-35,True
L-MB,L-MB,0.1417493744238944,4.1546313238482995e-05,2,4.9674939741664455e-05,True
L-MB,L-VS,0.35670131523482157,4.63394485559296e-09,2,7.079637973822578e-09,True
L-MB,L-WM,0.07692656826665475,2.3203107727115074e-17,2,5.5485692390927354e-17,True
L-MB,R-FB,0.0025366874455827345,0.03254703438079245,2,0.03729347689465801,True
L-MB,R-HB,0.1473301703156111,8.259343144183256e-33,2,3.7855322744173257e-32,True
L-MB,R-MB,0.22666101588216753,2.648077432956665e-17,2,6.061360098024742e-17,True
L-MB,R-VS,0.3223028959646486,4.467349146995623e-08,2,5.992785441091689e-08,True
L-MB,R-WM,0.10510954347701246,8.353836272573714e-24,2,2.702711735244437e-23,True
L-VS,L-VS,0.0,1.0,2,1.0,False
L-VS,L-WM,0.15846293324591887,2.1034786483305315e-11,2,3.73197824703804e-11,True
L-VS,R-FB,0.008687982272292056,0.029572277520815576,2,0.03460585667329483,True
L-VS,R-HB,0.13759121017296072,1.344058122400502e-09,2,2.112091335200789e-09,True
L-VS,R-MB,0.37982280133850427,9.428380090782442e-10,2,1.5713966817970737e-09,True
L-VS,R-VS,0.08079442885811808,0.36387462798771814,2,0.37760574602499053,False
L-VS,R-WM,0.17589083033874808,1.0661697834467209e-12,2,2.022046141019643e-12,True
L-WM,L-WM,0.05824164657571804,4.467501579048046e-20,2,1.1700599373697261e-19,True
L-WM,R-FB,0.0006089578775233637,0.07203626304701197,2,0.07923988935171317,False
L-WM,R-HB,0.03924733153492471,1.4195231436915234e-26,2,5.204918193535586e-26,True
