region1,region2,statistic,pvalue,genotype1,genotype2,corrected_pvalue,significant
L-FB-DI,L-FB-DI,0.42946974793227444,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,L-FB-IS,0.024008971550259207,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,L-FB-PA,0.02293130499071258,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,L-FB-SP,0.3085106735829973,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,L-HB-BS,0.9344172428078977,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,L-HB-ME,0.3724607606597077,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,L-HB-PM,0.5616146548140942,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,L-HB-PO,0.40105139317086186,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,L-HB-PP,0.5721825849729475,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,L-MB-DI,0.492930713186568,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,L-MB-MB,0.5711007026423776,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,L-VS-VS,0.22056760031519707,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,L-WM-FB,0.3701293784618488,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,L-WM-HB,0.36870360089878346,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,L-WM-MB,0.4527016811646604,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,R-FB-DI,0.47487656102113657,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,R-FB-IS,0.03762041021338286,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,R-FB-PA,0.19254112831802597,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,R-FB-SP,0.40183245771181797,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,R-HB-BS,0.9279590478672805,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,R-HB-ME,0.7957511730559187,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,R-HB-PM,0.38177185836431204,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,R-HB-PO,0.3414560060709873,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,R-HB-PP,0.5735327295602842,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,R-MB-DI,0.24241176460980612,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,R-MB-MB,0.5871856797859434,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,R-VS-VS,0.23589956631405445,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,R-WM-FB,0.48057446919088825,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,R-WM-HB,0.29728134034980813,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-DI,R-WM-MB,0.36708515872291186,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-IS,L-FB-IS,0.004222918363117502,0.003996003996003996,APOE22,APOE33,0.006280800539173745,True
L-FB-IS,L-FB-PA,0.0009884190723631326,0.0989010989010989,APOE22,APOE33,0.11835705278328229,False
L-FB-IS,L-FB-SP,0.17150691130734522,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-IS,L-HB-BS,0.15491914014703922,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-IS,L-HB-ME,0.23524431235774,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-IS,L-HB-PM,0.3085492957837487,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-IS,L-HB-PO,0.10858547602585131,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-IS,L-HB-PP,0.2218250604618421,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-IS,L-MB-DI,0.06473724713053881,0.001998001998001998,APOE22,APOE33,0.003327471008079373,True
L-FB-IS,L-MB-MB,0.21497156173796736,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
L-FB-IS,L-VS-VS,0.022033278249928546,0.011988011988011988,APOE22,APOE33,0.017196777022104533,True
L-FB-IS,L-WM-FB,0.018455901529838357,0.000999000999000999,APOE22,APOE33,0.0017619963928688762,True
