Name,Hemisphere,Structure,Corrected Pval,Pval
PR_p3Tg_L.1,Right,FB,1.0,0.1475370492590148
PHD_PaMP_Post_and_LatHy.1,Right,FB,1.0,0.016579668406631866
IRN.1,Right,HB,1.0,0.09793804123917521
CSF.1,Right,VS,1.0,0.44303113937721245
RR.1,Right,HB,1.0,0.2111557768844623
PaR.1,Right,MB,1.0,0.4761504769904602
RMC.1,Right,MB,1.0,0.1866562668746625
cbw.1,Right,WM,1.0,0.022139557208855822
AThal,Right,FB,1.0,0.09771804563908722
LDVL.1,Right,FB,1.0,0.17091658166836662
APT.2,Right,FB,1.0,0.4393312133757325
MiTg.1,Right,HB,1.0,0.0033599328013439733
4V.1,Right,VS,1.0,0.5798284034319313
Post.1,Right,FB,1.0,0.23027539449211015
das.1,Right,WM,1.0,0.28653426931461373
A25.1,Right,FB,1.0,0.3255734885302294
LP.1,Right,FB,1.0,0.14565708685826284
vhc.1,Right,WM,1.0,0.03393932121357573
lo.1,Right,WM,1.0,0.14271714565708685
cg.1,Right,WM,1.0,0.037039259214815705
Su5.1,Right,HB,1.0,0.007999840003199936
CG.1,Right,HB,1.0,0.02369952600947981
PCRt.1,Right,HB,1.0,0.00885982280354393
KF.1,Right,HB,1.0,0.020459590808183836
ParB.1,Right,HB,1.0,0.0371792564148717
FasMed.1,Right,HB,1.0,0.8298034039319213
FasDL.1,Right,HB,1.0,0.7223655526889462
m5.1,Right,WM,1.0,0.250354992900142
Int.1,Right,HB,1.0,0.2248155036899262
Iped.1,Right,HB,1.0,0.21911561768764626
BS_R.1,Right,HB,1.0,0.3184136317273655
PrCn.1,Right,MB,1.0,0.02891942161156777
Cn.1,Right,MB,1.0,0.6512869742605147
RI.1,Right,MB,1.0,0.06443871122577549
MRN.1,Right,MB,1.0,0.008599828003439931
RPC.1,Right,FB,1.0,0.015599688006239875
Den.1,Right,HB,1.0,0.11523769524609508
5N.1,Right,HB,1.0,0.753244935101298
PnC.1,Right,HB,1.0,0.017939641207175856
Raph.1,Right,HB,1.0,0.010439791204175916
st.1,Right,WM,1.0,0.11057778844423112
fx.1,Right,WM,1.0,0.09287814243715126
cc.1,Right,WM,1.0,0.050558988820223597
fi.1,Right,WM,1.0,0.043379132417351654
ot.1,Right,WM,1.0,0.3107337853242935
ac.1,Right,WM,1.0,0.10529789404211916
Cu.1,Right,HB,1.0,0.044379112417751644
Gi.1,Right,HB,1.0,0.028239435211295773
Ve.1,Right,HB,1.0,0.06175876482470351
Sp5.1,Right,HB,1.0,0.29871402571948563
Oliv.1,Right,HB,1.0,0.012819743605127897
RTg.1,Right,HB,1.0,0.0032799344013119736
Pn.1,Right,HB,1.0,0.4394112117757645
CoN.1,Right,HB,1.0,0.6049079018419632
Tg.1,Right,HB,1.0,0.039559208815823685
DTg.1,Right,HB,1.0,0.05481890362192756
Pr5.1,Right,HB,1.0,0.08019839603207936
IC.1,Right,MB,1.0,0.006439871202575949
A24b.1,Right,FB,1.0,0.004859902801943961
BLA,Left,FB,1.0,0.8041039179216416
A24a.1,Right,FB,1.0,0.22133557328853423
Hyp,Left,FB,1.0,0.3971920561588768
APir,Left,FB,1.0,0.9722205555888882
Pir,Left,FB,1.0,0.08839823203535929
PrS,Left,FB,1.0,0.3871922561548769
PRh,Left,FB,1.0,0.5652886942261155
PaS,Left,FB,1.0,0.05369892602147957
Ect,Left,FB,1.0,0.4596908061838763
Preopt,Left,FB,1.0,0.06987860242795144
Hc,Left,FB,1.0,0.0042999140017199655
PLCo,Left,FB,1.0,0.7770644587108257
DCl,Left,FB,1.0,0.016879662406751865
Cl,Left,FB,1.0,0.30819383612327755
VIEnt,Left,FB,1.0,0.8114837703245935
