region1,region2,statistic,pvalue,hierarchy_level,corrected_pvalue,significant
A1,A1,68.89035949410948,1.0981167288402392e-15,0,1.0981167288402392e-15,True
A1,A2,81.88462096482849,1.6556955484034587e-18,0,2.483543322605188e-18,True
A2,A2,6727.864100664015,0.0,0,0.0,True
A1-B1,A1-B1,51.76945026454585,5.733326960761663e-12,1,1.1466653921523326e-11,True
A1-B1,A1-B2,31.963341870103097,1.1461685862649144e-07,1,1.7192528793973716e-07,True
A1-B1,A2-A2,4.97359209590421,0.08317603213541672,1,0.08317603213541672,False
A1-B2,A1-B2,17.27276946281589,0.00017752755326957381,1,0.00021303306392348858,True
A1-B2,A2-A2,109.99542239322612,1.30255931798042e-24,1,3.90767795394126e-24,True
A2-A2,A2-A2,6727.864100664015,0.0,1,0.0,True
A1-B1-C1,A1-B1-C1,40.85317119027649,1.3453850327757167e-09,2,4.708847614715008e-09,True
A1-B1-C1,A1-B1-C2,11.612717805297578,0.0030083639005093537,2,0.004679677178570105,True
A1-B1-C1,A1-B2-C3,1.5947154307824243,0.4505177890386225,2,0.485173003580055,False
A1-B1-C1,A1-B2-C4,25.48948567227499,2.917618559830055e-06,2,8.169331967524153e-06,True
A1-B1-C1,A2-A2-A2,0.2906345959885466,0.8647478668118951,2,0.8647478668118951,False
A1-B1-C2,A1-B1-C2,16.8743561030234,0.00021666069373238111,2,0.00037915621403166697,True
A1-B1-C2,A1-B2-C3,2.7481012658227337,0.2530797473736674,2,0.29525970526927864,False
A1-B1-C2,A1-B2-C4,6.683435731529217,0.0353761340435418,2,0.049526587660958514,True
A1-B1-C2,A2-A2-A2,18.540039904784262,9.420663417344129e-05,2,0.00018841326834688257,True
A1-B2-C3,A1-B2-C3,,,2,,
A1-B2-C3,A1-B2-C4,23.83564142963814,6.670466804395907e-06,2,1.556442254359045e-05,True
A1-B2-C3,A2-A2-A2,47.87240639835265,4.023824521052275e-11,2,1.8777847764910617e-10,True
A1-B2-C4,A1-B2-C4,6.410592067159506,0.04054689661806145,2,0.05160514115026003,False
A1-B2-C4,A2-A2-A2,81.26137876452592,2.2610793587259225e-18,2,1.582755551108146e-17,True
A2-A2-A2,A2-A2-A2,6727.864100664015,0.0,2,0.0,True
A1-B1-C1-C1,A1-B1-C1-C1,40.85317119027649,1.3453850327757167e-09,3,6.726925163878583e-09,True
A1-B1-C1-C1,A1-B1-C2-D4,8.138287220026621,0.017092019676100346,3,0.031076399411091537,True
A1-B1-C1-C1,A1-B1-C2-D5,3.8184615384625307,0.14819433840707869,3,0.21170619772439814,False
A1-B1-C1-C1,A1-B2-C3-C3,1.5947154307824243,0.4505177890386225,3,0.5631472362982781,False
A1-B1-C1-C1,A1-B2-C4-C4,25.48948567227499,2.917618559830055e-06,3,1.167047423932022e-05,True
A1-B1-C1-C1,A2-A2-A2-A2,0.2906345959885466,0.8647478668118951,3,0.8647478668118951,False
A1-B1-C2-D4,A1-B1-C2-D4,5.043771043771062,0.0803080413349618,3,0.12355083282301815,False
A1-B1-C2-D4,A1-B1-C2-D5,13.836956521739012,0.0009893343043403434,3,0.0024733357608508586,True
A1-B1-C2-D4,A1-B2-C3-C3,1.2107496463934089,0.5458697836323467,3,0.6072551981375184,False
A1-B1-C2-D4,A1-B2-C4-C4,11.415073115858295,0.0033208431816270966,3,0.006641686363254193,True
A1-B1-C2-D4,A2-A2-A2-A2,11.986537437892881,0.00249549363675305,3,0.005545541415006778,True
A1-B1-C2-D5,A1-B1-C2-D5,1.2083333333333286,0.5465296783237665,3,0.6072551981375184,False
A1-B1-C2-D5,A1-B2-C3-C3,2.0701754385965407,0.3551952220827256,3,0.4735936294436341,False
A1-B1-C2-D5,A1-B2-C4-C4,0.2970521541941782,0.8619775290057048,3,0.8647478668118951,False
A1-B1-C2-D5,A2-A2-A2-A2,17.980128452650515,0.00012464208767723012,3,0.0003561202505063718,True
A1-B2-C3-C3,A1-B2-C3-C3,,,3,,
A1-B2-C3-C3,A1-B2-C4-C4,23.83564142963814,6.670466804395907e-06,3,2.2234889347986355e-05,True
A1-B2-C3-C3,A2-A2-A2-A2,47.87240639835265,4.023824521052275e-11,3,2.682549680701517e-10,True
A1-B2-C4-C4,A1-B2-C4-C4,6.410592067159506,0.04054689661806145,3,0.06757816103010242,False
A1-B2-C4-C4,A2-A2-A2-A2,81.26137876452592,2.2610793587259225e-18,3,2.2610793587259223e-17,True
A2-A2-A2-A2,A2-A2-A2-A2,6727.864100664015,0.0,3,0.0,True
