region1,region2,statistic,pvalue,hierarchy_level,corrected_pvalue,significant
A1,A1,11764.297837638209,0.0,0,0.0,True
A1,A2,1291.5073054138338,3.570688464543214e-281,0,5.356032696814821e-281,True
A2,A2,307.36403451068327,1.8061255579623125e-67,0,1.8061255579623125e-67,True
A1-B0,A1-B0,595.0406546215454,6.145590166087617e-130,1,1.5363975415219042e-129,True
A1-B0,A1-B1,4513.046894217536,0.0,1,0.0,True
A1-B0,A2-B2,348.8422242794204,1.7777613919576382e-76,1,2.962935653262731e-76,True
A1-B0,A2-B3,294.827734912069,9.527321216354353e-65,1,1.361045888050622e-64,True
A1-B1,A1-B1,6889.7774543193955,0.0,1,0.0,True
A1-B1,A2-B2,1164.1601971900454,1.606294434002165e-253,1,5.354314780007217e-253,True
A1-B1,A2-B3,540.005305068189,5.487037208164794e-118,1,1.0974074416329588e-117,True
A2-B2,A2-B2,86.00928899557312,2.1053300940173705e-19,1,2.1053300940173705e-19,True
A2-B2,A2-B3,174.94437520394422,1.026388091244957e-38,1,1.2829851140561961e-38,True
A2-B3,A2-B3,163.28191183475428,3.497706368559501e-36,1,3.886340409510557e-36,True
A1-B0-C3,A1-B0-C3,1.0666666666666664,0.5866462195100319,2,0.6092095356450332,False
A1-B0-C3,A1-B0-C4,114.94554971390198,1.0962030850074132e-25,2,2.46645694126668e-25,True
A1-B0-C3,A1-B1-B1,383.6954466621951,4.803882669423459e-84,2,2.1617472012405563e-83,True
A1-B0-C3,A2-B2-C5,11.403508771929822,0.0033401004888472287,2,0.004099214236312508,True
A1-B0-C3,A2-B2-C6,26.512195842566143,1.749644521414298e-06,2,2.486336951483476e-06,True
A1-B0-C3,A2-B3-C0,96.04761310157755,1.3916365129883126e-21,2,2.8903219885141878e-21,True
A1-B0-C3,A2-B3-C1,1.4434286775139071,0.48591851256604623,2,0.5247919935713299,False
A1-B0-C4,A1-B0-C4,510.8424202859078,1.1802605030217354e-111,2,6.373406716317371e-111,True
A1-B0-C4,A1-B1-B1,4191.382866128675,0.0,2,0.0,True
A1-B0-C4,A2-B2-C5,5.967736574768651,0.050596732119930876,2,0.05939616379296233,False
A1-B0-C4,A2-B2-C6,325.9243361518402,1.6843395468765464e-71,2,6.496738252238108e-71,True
A1-B0-C4,A2-B3-C0,192.27061411782051,1.7740531550736626e-42,2,5.322159465220988e-42,True
A1-B0-C4,A2-B3-C1,67.87741707409714,1.8222424496720644e-15,2,3.2800364094097157e-15,True
A1-B1-B1,A1-B1-B1,6889.7774543193955,0.0,2,0.0,True
A1-B1-B1,A2-B2-C5,27.123539831315156,1.2888374909976105e-06,2,1.9332562364964158e-06,True
A1-B1-B1,A2-B2-C6,1198.175078660468,6.600661961579592e-261,2,5.940595765421633e-260,True
A1-B1-B1,A2-B3-C0,554.3982910808991,4.110935884991359e-121,2,2.7748817223691677e-120,True
A1-B1-B1,A2-B3-C1,29.94152422958723,3.149782919960868e-07,2,5.315258677433965e-07,True
A2-B2-C5,A2-B2-C5,,,2,,
A2-B2-C5,A2-B2-C6,13.345714570176938,0.0012647797468951475,2,0.0016261453888651895,True
A2-B2-C5,A2-B3-C0,0.06857438535985239,0.9662939522341665,2,0.9662939522341665,False
A2-B2-C5,A2-B3-C1,2.198975128109055,0.33304170251844956,2,0.3746719153332558,False
A2-B2-C6,A2-B2-C6,77.17793330889799,1.741906018185186e-17,2,3.359390177928573e-17,True
A2-B2-C6,A2-B3-C0,160.27043552096438,1.576584020712968e-35,2,4.256776855925014e-35,True
A2-B2-C6,A2-B3-C1,29.77930770434341,3.415902723475838e-07,2,5.425257266696919e-07,True
A2-B3-C0,A2-B3-C0,235.92163631596486,5.892065867669934e-52,2,1.9885722303386028e-51,True
A2-B3-C0,A2-B3-C1,116.28439707115831,5.612598944744005e-26,2,1.3776379228008014e-25,True
A2-B3-C1,A2-B3-C1,23.45547872397765,8.066915539118429e-06,2,1.089033597780988e-05,True
A1-B0-C3-C3,A1-B0-C3-C3,1.0666666666666664,0.5866462195100319,3,0.6453108414610351,False
A1-B0-C3-C3,A1-B0-C4-C4,114.94554971390198,1.0962030850074132e-25,3,4.384812340029653e-25,True
A1-B0-C3-C3,A1-B1-B1-B1,383.6954466621951,4.803882669423459e-84,3,3.5228472909105364e-83,True
A1-B0-C3-C3,A2-B2-C5-C5,11.403508771929822,0.0033401004888472287,3,0.005652477750356848,True
A1-B0-C3-C3,A2-B2-C6-D1,25.953281030767243,2.3137510589459625e-06,3,5.6558359218679075e-06,True
A1-B0-C3-C3,A2-B2-C6-D2,6.105820105820101,0.04722130774837165,3,0.06492929815401102,False
A1-B0-C3-C3,A2-B3-C0-C0,96.04761310157755,1.3916365129883126e-21,3,5.1026672142904796e-21,True
A1-B0-C3-C3,A2-B3-C1-D3,0.8371014492753375,0.6579997519466482,3,0.7061460752598175,False
A1-B0-C3-C3,A2-B3-C1-D4,3.4273227969348454,0.1802047817317961,3,0.23320618812350086,False
A1-B0-C4-C4,A1-B0-C4-C4,510.8424202859078,1.1802605030217354e-111,3,1.0386292426591272e-110,True
A1-B0-C4-C4,A1-B1-B1-B1,4191.382866128675,0.0,3,0.0,True
A1-B0-C4-C4,A2-B2-C5-C5,5.967736574768651,0.050596732119930876,3,0.06746230949324117,False
A1-B0-C4-C4,A2-B2-C6-D1,365.26358948295456,4.830802959480893e-80,3,3.03650471738799e-79,True
A1-B0-C4-C4,A2-B2-C6-D2,10.201782508266888,0.006091315235645683,3,0.009699534257394348,True
A1-B0-C4-C4,A2-B3-C0-C0,192.27061411782051,1.7740531550736626e-42,3,8.673148758137905e-42,True
A1-B0-C4-C4,A2-B3-C1-D3,10.011972156338516,0.006697733601998756,3,0.009823342616264844,True
A1-B0-C4-C4,A2-B3-C1-D4,59.287886419681854,1.335977186614976e-13,3,3.918866414070597e-13,True
A1-B1-B1-B1,A1-B1-B1-B1,6889.7774543193955,0.0,3,0.0,True
A1-B1-B1-B1,A2-B2-C5-C5,27.123539831315156,1.2888374909976105e-06,3,3.335814682582051e-06,True
A1-B1-B1-B1,A2-B2-C6-D1,1369.1309977289493,4.977157016248466e-298,3,7.29983029049775e-297,True
A1-B1-B1-B1,A2-B2-C6-D2,19.65831774815797,5.3858039343276506e-05,3,0.00011284541576686505,True
A1-B1-B1-B1,A2-B3-C0-C0,554.3982910808991,4.110935884991359e-121,3,4.522029473490495e-120,True
A1-B1-B1-B1,A2-B3-C1-D3,10.105142426517887,0.006392874851464456,3,0.009699534257394348,True
A1-B1-B1-B1,A2-B3-C1-D4,25.607387049174577,2.750594398899825e-06,3,6.369797555346963e-06,True
A2-B2-C5-C5,A2-B2-C5-C5,,,3,,
A2-B2-C5-C5,A2-B2-C6-D1,15.618514980780901,0.00040595936467033934,3,0.0007766179150215188,True
A2-B2-C5-C5,A2-B2-C6-D2,10.152046783625735,0.006244692401306009,3,0.009699534257394348,True
A2-B2-C5-C5,A2-B3-C0-C0,0.06857438535985239,0.9662939522341665,3,0.9662939522341665,False
A2-B2-C5-C5,A2-B3-C1-D3,3.228387096774199,0.19905113083586323,3,0.24328471546605504,False
A2-B2-C5-C5,A2-B3-C1-D4,0.7481475515463671,0.6879261576726134,3,0.7206845461332141,False
A2-B2-C6-D1,A2-B2-C6-D1,80.21745521967568,3.810666331692012e-18,3,1.2897639891880654e-17,True
A2-B2-C6-D1,A2-B2-C6-D2,3.3357396074499093,0.18864849624795402,3,0.2371581095688565,False
A2-B2-C6-D1,A2-B3-C0-C0,147.04249809188332,1.175241819049402e-32,3,5.171064003817369e-32,True
A2-B2-C6-D1,A2-B3-C1-D3,2.489839746438065,0.28796398083320635,3,0.3334319778068705,False
A2-B2-C6-D1,A2-B3-C1-D4,23.548015591098192,7.702175045516114e-06,3,1.6944785100135452e-05,True
A2-B2-C6-D2,A2-B2-C6-D2,0.62222222222222,0.7326324677392166,3,0.7496704321052449,False
A2-B2-C6-D2,A2-B3-C0-C0,15.99266102409274,0.0003366958652655075,3,0.000673391730531015,True
A2-B2-C6-D2,A2-B3-C1-D3,9.017971014492758,0.011009623695653763,3,0.01562656266479889,True
A2-B2-C6-D2,A2-B3-C1-D4,1.87746647509573,0.3911229815832221,3,0.4412669535810711,False
A2-B3-C0-C0,A2-B3-C0-C0,235.92163631596486,5.892065867669934e-52,3,3.240636227218464e-51,True
A2-B3-C0-C0,A2-B3-C1-D3,46.433799045624255,8.260924449716981e-11,3,2.2717542236721698e-10,True
A2-B3-C0-C0,A2-B3-C1-D4,73.9011753552677,8.965276092254488e-17,3,2.8176582004228393e-16,True
A2-B3-C1-D3,A2-B3-C1-D3,2.8800000000000097,0.23692775868212057,3,0.2817519292436028,False
A2-B3-C1-D3,A2-B3-C1-D4,13.913189834024934,0.0009523338355837269,3,0.0017459453652368328,True
A2-B3-C1-D4,A2-B3-C1-D4,13.652817790089102,0.0010847465702876315,3,0.0019091539637062314,True
