region1,region2,statistic,pvalue,hierarchy_level,corrected_pvalue,significant
L,L,0.04909355756728272,0.0,0,0.0,True
L,R,0.05506646869841136,0.0,0,0.0,True
R,R,0.05562211626192216,0.0,0,0.0,True
FB,FB,0.030792525578478114,0.0,1,0.0,True
FB,HB,0.06607142182924815,0.0,1,0.0,True
FB,MB,0.06901038441266778,2.2320378207006663e-168,1,5.580094551751666e-168,True
FB,VS,0.043150652440436005,9.892591519949012e-32,1,1.4838887279923519e-31,True
FB,WM,0.038509709455784115,2.0582849877284083e-295,1,7.718568703981531e-295,True
HB,HB,0.1625734733528684,3.5804136761790715e-219,1,1.0741241028537215e-218,True
HB,MB,0.1670244308754561,3.1265288673449983e-148,1,5.862241626271872e-148,True
HB,VS,0.1096131590721868,8.720971487736492e-29,1,1.18922338469134e-28,True
HB,WM,0.13515830958298966,0.0,1,0.0,True
MB,MB,0.16261587230608368,1.4098063565673462e-22,1,1.7622579457091827e-22,True
MB,VS,0.10583953759522859,2.1264739100716858e-09,1,2.278364903648235e-09,True
MB,WM,0.16885425314522667,7.955783654537693e-155,1,1.70481078311522e-154,True
VS,VS,0.07914173521847265,0.1770307038075797,1,0.1770307038075797,False
VS,WM,0.06876961034398459,1.6723496089657916e-18,1,1.929634164191298e-18,True
WM,WM,0.08870923458124517,1.1566178898737121e-122,1,1.9276964831228536e-122,True
L-FB,L-FB,0.02050950545274366,8.858411095155645e-55,2,2.1340717638329507e-54,True
L-FB,L-HB,0.06322198625803764,2.1983128750877057e-119,2,2.91276455949121e-118,True
L-FB,L-MB,0.0856845255703467,3.45183891740941e-53,2,7.954237505334727e-53,True
L-FB,L-VS,0.04353363830723716,1.5857118159010374e-08,2,2.1549416985321793e-08,True
L-FB,L-WM,0.02949396084846055,7.110644766577164e-57,2,1.8843208631429484e-56,True
L-FB,R-FB,0.03293958130140165,1.9193720868289977e-177,2,1.0172672060193688e-175,True
L-FB,R-HB,0.050570877176873225,5.1829184344889246e-95,2,3.0521630780879226e-94,True
L-FB,R-MB,0.04897896140858168,3.88492787755705e-30,2,7.3536134825187e-30,True
L-FB,R-VS,0.03449727721189962,7.047553861871744e-07,2,8.893341778076248e-07,True
L-FB,R-WM,0.035278512369331425,4.363440477048852e-68,2,1.6518738948827796e-67,True
L-HB,L-HB,0.1820844029343838,1.758364911456436e-61,2,5.8245837691994445e-61,True
L-HB,L-MB,0.2116695279314436,1.3313847359792998e-48,2,2.8225356402761153e-48,True
L-HB,L-VS,0.12361107066893917,1.2364308537206228e-08,2,1.7244956643998163e-08,True
L-HB,L-WM,0.13320217838243217,5.185926527866652e-93,2,2.4986736906993868e-92,True
L-HB,R-FB,0.08406769649516374,2.853870356655596e-160,2,7.56275644513733e-159,True
L-HB,R-HB,0.1506494558243865,7.677784130888178e-103,2,5.813179413386764e-102,True
L-HB,R-MB,0.10376583006647555,8.858582962875839e-23,2,1.422742112219453e-22,True
L-HB,R-VS,0.09581588076071522,9.192819789671051e-07,2,1.1073169292103766e-06,True
L-HB,R-WM,0.11031158570883719,3.484902025285121e-76,2,1.4207677487700877e-75,True
L-MB,L-MB,0.2734677711791429,6.963416339002097e-10,2,1.0251696276864198e-09,True
L-MB,L-VS,0.18228092110487173,0.00015786275876672161,2,0.00018188535249209228,True
L-MB,L-WM,0.2396371579683237,1.1708293800173945e-57,2,3.265997744259048e-57,True
L-MB,R-FB,0.08935533142966368,1.5207512138063664e-55,2,3.838086396749401e-55,True
L-MB,R-HB,0.26014771205606013,2.2321188385311042e-61,2,6.958958731891089e-61,True
L-MB,R-MB,0.1553566421710555,1.2912062484443144e-11,2,1.955255176215676e-11,True
L-MB,R-VS,0.10278739678509012,0.0089319935380988,2,0.009467913150384729,True
L-MB,R-WM,0.21711068897478894,1.3665451101847846e-51,2,3.0177871183247326e-51,True
L-VS,L-VS,,,2,,
L-VS,L-WM,0.04976620628953862,0.0006931738612727818,2,0.0007653794718220299,True
L-VS,R-FB,0.03780882110465294,1.7618268962677777e-07,2,2.3344206375548054e-07,True
L-VS,R-HB,0.1372217448470019,1.4258976295215848e-09,2,2.0425020098552434e-09,True
L-VS,R-MB,0.09081363311686962,0.015900171145855232,2,0.016523707269222105,True
L-VS,R-VS,0.045167791950429165,0.5742813604339432,2,0.5742813604339432,False
L-VS,R-WM,0.09787343493178535,4.222938184246927e-07,2,5.458920091831394e-07,True
L-WM,L-WM,0.1046908035761121,2.187692512570228e-36,2,4.2943593765267444e-36,True
L-WM,R-FB,0.048072930798868985,3.9808679264243905e-93,2,2.109860001004927e-92,True
L-WM,R-HB,0.16689465895695624,1.3195602113254298e-118,2,1.3987338240049554e-117,True
L-WM,R-MB,0.11927314676243249,4.0414056256277145e-27,2,7.139816605275629e-27,True
L-WM,R-VS,0.05001471214336542,0.0006678137178453026,2,0.0007530665328893837,True
L-WM,R-WM,0.08724692873777844,1.4525911076999048e-61,2,5.132488580539664e-61,True
R-FB,R-FB,0.03952131755795947,6.626862143701889e-106,2,5.8537282269366686e-105,True
R-FB,R-HB,0.07004626951044854,1.1429303582845937e-132,2,2.019176966302782e-131,True
R-FB,R-MB,0.059250673845029904,1.6965849453041767e-36,2,3.458423157735437e-36,True
R-FB,R-VS,0.061440516717333284,7.732807318274756e-12,2,1.205408199613418e-11,True
R-FB,R-WM,0.04772641814201273,1.916716488548902e-92,2,8.465497824424316e-92,True
