ROI,structure,N57437,N57442,N57446,N57447,N57449,N57451,N57496,N57498,N57500,N57502,N57513,N57515,N57518,N57520,N57522,N57546,N57548,N57550,N57552,N57580,N57582,N57584,N57587,N57590,N57692,N57694,N57700,N57702,N57709,N58302,N58305,N58303,N58309,N58310,N58355,N58344,N58346,N58350,N58394,N58396,N58398,N58359,N58361,N58404,N58402,N58516,N58608,N58606,N58604,N58512,N58477,N58500,N58510,N58406,N58408,N58514,N58655,N58952,N58706,N58708,N58712,N58714,N58732,N58733,N58734,N58735,N58740,N58742,N58745,N58747,N58749,N58751,N58779,N58780,N58784,N58788,N58790,N58792,N58794,N58829,N58813,N58815,N58821,N58819,N58831,N58851,N58853,N58855,N59003,N58913,N58915,N58909,N58906,N58883,N58887,N58885,N58919,N58879,N58881,N58889,N58877,N60129,N60131,N60127,N60139,N58917,N58995,N59005,N58857,N58859,N58861,N59065,N59066,N59080,N58948,N59072,N58935,N59039,N58946,N58954,N59033,N59022,N59035,N59026,N59109,N59097,N59099,N59116,N59118,N59120,N59041,N58941,N60056,N60058,N60060,N60062,N60068,N59136,N59140,N59141,N60095,N60133,N60137,N60198,N60103,N60097,N60163,N60169,N60190,N60188,N60200,N60192,N58997,N58999,N59010,N59078,N59076,N60157,N60159,N60064,N60101,N60093,N60161,N60167,N60194,N60088,N60070,N60072,N60092
103,Trigeminal_Motor_Nucleus,0.1361407,0.1573729,0.134865,0.1454355,0.1402414,0.1254791,0.1447065,0.1292153,0.1324958,0.1346828,0.1352295,0.1250235,0.1316756,0.1396946,0.1427018,0.1196471,0.1314934,0.1282129,0.1354118,0.1416083,0.1366875,0.1408793,0.1410615,0.1542746,0.1298531,0.1300354,0.1163666,0.1314934,0.1309466,0.139239,0.1433396,0.141426,0.1356851,0.1422461,0.1493539,0.1237478,0.1542746,0.144342,0.1271194,0.1364141,0.1437041,0.1287596,0.1356851,0.1437953,0.1486249,0.1491716,0.1343182,0.1314934,0.1353206,0.1236566,0.1419728,0.1335893,0.1345005,0.1328603,0.1396035,0.1306733,0.1383277,0.1109903,0.1274839,0.1244768,0.1357763,0.1422461,0.1420639,0.1287596,0.1264815,0.1138151,0.1183714,0.1342271,0.1314023,0.1451621,0.1269371,0.1352295,0.1218341,0.1205584,0.121743,0.1243856,0.137052,0.1201939,0.1215608,0.1203761,0.1183714,0.1221986,0.1097145,0.1017866,0.1114459,0.1641161,0.1074364,0.1204673,0.1197383,0.1437953,0.1211051,0.1111725,0.1383277,0.1445243,0.1285774,0.1376899,0.1373254,0.1375076,0.1360496,0.1368698,0.1376899,0.1190093,0.1364141,0.1234744,0.1198294,0.1111725,0.1082565,0.111537,0.1242945,0.1286685,0.1216519,0.1139974,0.1103524,0.1495361,0.1342271,0.1269371,0.1368698,0.1375988,0.1528166,0.136323,0.1321312,0.139239,0.1353206,0.1361407,0.13122,0.1206495,0.1329514,0.125388,0.125388,0.1222898,0.134136,0.1365053,0.1167311,0.1263904,0.1204673,0.1196471,0.1314023,0.1330425,0.1277573,0.1360496,0.1245679,0.1351384,0.1331336,0.1138151,0.1170045,0.1295798,0.13122,0.1395124,0.118098,0.1244768,0.1429751,0.1350473,0.133407,0.1293064,0.1116281,0.13122,0.1318579,0.136323,0.126117,0.1258436,0.1438864,0.1313111,0.1307644,0.143613,0.1375988,0.134865,0.137052,0.1442509,0.1219253
104,Pontine_Reticular_NucleusOral,3.195845,3.265465,3.293622,3.244323,3.249518,3.199217,3.292073,3.233571,3.264006,3.237307,3.221542,3.138801,3.219446,3.235484,3.306471,3.344652,3.296356,3.106816,3.267925,3.549957,3.282596,3.304648,3.372354,3.649556,3.123765,3.111919,3.196392,3.211154,3.14035,3.220267,3.140623,3.13634,3.241863,3.355769,3.221178,3.162584,3.309842,3.322235,3.14846,3.091051,3.198214,3.193567,3.10636,3.167323,3.236942,3.210881,3.128504,3.166958,3.110096,3.179625,3.110552,3.159395,3.197303,3.150374,3.336178,3.126499,2.950719,2.757989,2.989356,3.092782,2.92894,3.106725,3.039383,3.096245,3.058155,2.806103,2.87955,3.188555,3.029633,3.06016,2.72081,2.75881,2.770018,2.915818,2.901693,3.001384,3.039657,2.708235,2.847474,2.763275,2.848385,2.701036,2.702859,2.76291,2.678437,3.214161,2.714978,2.698211,2.796353,3.116384,3.143539,2.92001,3.101075,3.133424,3.037561,3.074375,2.970675,3.102169,3.087497,3.159577,3.039657,2.940148,2.996464,3.139712,3.090504,2.683631,2.780497,2.759994,2.860049,2.784962,2.815125,2.743227,2.698211,3.2651,3.038199,2.900873,3.100255,3.269565,3.306288,3.112557,3.109914,3.218899,3.220175,3.220449,3.151923,3.07884,3.180445,3.159577,3.07638,3.176709,3.166776,3.179351,2.964296,3.064625,3.013868,2.998559,3.098979,3.123036,3.144633,3.195389,3.168234,3.088135,2.974229,3.220631,3.189466,3.209332,3.008857,3.063167,3.185001,3.12905,3.094241,3.277584,2.887569,2.845378,2.749424,3.039019,3.109003,2.873262,2.760267,3.238127,3.352033,3.125223,3.060251,3.199854,3.326336,3.188555,3.115655,3.181447,3.053872
105,Raphe_Nucleus,0.3789889,0.4172614,0.4032281,0.407511,0.3968494,0.4056885,0.4112471,0.4193573,0.4234579,0.4000387,0.429381,0.3682361,0.3993098,0.4001299,0.4096069,0.4094246,0.4237313,0.392931,0.3870079,0.431568,0.4035926,0.4215443,0.4127963,0.4598168,0.403137,0.3925665,0.408969,0.4021346,0.3911996,0.4368533,0.4158034,0.4123406,0.4146188,0.423549,0.4178081,0.3976695,0.4180815,0.4302011,0.4027725,0.392202,0.4025903,0.4106093,0.3859144,0.4324793,0.4112471,0.4103359,0.3836363,0.3819049,0.3953914,0.4096069,0.3787155,0.4004033,0.402408,0.3967583,0.4273763,0.4103359,0.3927488,0.3325151,0.3820871,0.395118,0.3843653,0.4066909,0.4238224,0.3983985,0.3981251,0.3968494,0.3855499,0.4263739,0.3932044,0.3968494,0.3386205,0.3489176,0.3804469,0.3930221,0.3923843,0.3925665,0.3766196,0.3387116,0.3525626,0.3373448,0.3538384,0.3390761,0.3152925,0.3225825,0.3269565,0.4086956,0.3333353,0.3356134,0.3391673,0.4030459,0.3872813,0.3842741,0.3857321,0.4068731,0.4084223,0.404595,0.3839096,0.4248248,0.4051418,0.4069643,0.392202,0.4014968,0.406782,0.418446,0.4083311,0.341172,0.3332441,0.339714,0.3539295,0.3420832,0.3526538,0.3310571,0.3374359,0.438129,0.4027725,0.389286,0.3998565,0.4084223,0.4217265,0.4063264,0.3942979,0.4251893,0.4138898,0.414072,0.4261916,0.4173525,0.4248248,0.4217265,0.4291076,0.4261916,0.4159856,0.3899239,0.3788067,0.4004944,0.3893771,0.3693296,0.4055974,0.3992186,0.4275585,0.416988,0.3913819,0.3989453,0.3843653,0.3898328,0.409698,0.4146188,0.4059619,0.4048684,0.3854588,0.4157123,0.4018613,0.4296544,0.3489176,0.3340642,0.3545674,0.4008589,0.4117939,0.3625864,0.3785333,0.4281053,0.4117939,0.3998565,0.356481,0.4098803,0.4065086,0.4021346,0.3737948,0.398034,0.3894683
106,Trigeminal_Sensory_Nucleus,0.3518336,0.3487354,0.345546,0.377622,0.3408986,0.3607639,0.3875546,0.3357956,0.3583035,0.3366158,0.3434501,0.3262275,0.3712433,0.3504668,0.3679627,0.3613106,0.351378,0.346275,0.3566633,0.3744326,0.3839096,0.3981251,0.3475507,0.4022258,0.3472774,0.3660491,0.3379826,0.3454549,0.351378,0.3398051,0.3472774,0.3238583,0.3642266,0.3836363,0.3724279,0.3471863,0.3816315,0.3603083,0.3284145,0.3487354,0.3347933,0.3797179,0.3400785,0.3664136,0.3910174,0.352107,0.3431768,0.3648645,0.3593059,0.347733,0.3195754,0.3392584,0.3416276,0.3311483,0.3676894,0.3391673,0.2951539,0.3102806,0.3436324,0.3507401,0.3453638,0.3460016,0.321489,0.325863,0.3191198,0.3082759,0.2998013,0.3599437,0.350649,0.3204866,0.3089138,0.3336086,0.312012,0.3182996,0.3126499,0.3070913,0.3498289,0.3329708,0.3340642,0.330966,0.3536561,0.3336998,0.2833987,0.2947894,0.2942426,0.3545674,0.3146546,0.3058155,0.3365246,0.3286879,0.3385294,0.3332441,0.3235849,0.3443614,0.3148369,0.3431768,0.3213979,0.3101895,0.3169328,0.302535,0.3082759,0.3086404,0.325134,0.3474596,0.3261364,0.3050865,0.3218535,0.3318773,0.3378915,0.3152014,0.3183908,0.296703,0.303993,0.4305656,0.324405,0.3102806,0.302535,0.3187553,0.3459105,0.3352489,0.344817,0.3593059,0.3741592,0.3460016,0.3480064,0.3183908,0.3276855,0.3441791,0.3361601,0.3198487,0.3211245,0.3288701,0.3189375,0.3180262,0.2854946,0.3084581,0.3322418,0.3195754,0.352107,0.3509224,0.3187553,0.3341554,0.3118297,0.3307838,0.3115564,0.3356134,0.3489176,0.3335175,0.3501934,0.347004,0.3454549,0.347733,0.3238583,0.3228559,0.309096,0.3319684,0.3618574,0.3297814,0.3014415,0.3634065,0.3620396,0.3479153,0.3125588,0.3599437,0.3755261,0.3693296,0.3337909,0.3383471,0.3101895
107,Dorsal_Tegmentum,0.8757113,0.8815433,0.9028665,0.8811788,0.8723397,0.8574862,0.9079695,0.8677834,0.8781716,0.8619514,0.8670544,0.8802675,0.866052,0.8432708,0.899586,0.9076961,0.8990393,0.8369831,0.8919315,0.9519829,0.8749823,0.9014996,0.8574862,0.9916223,0.8778071,0.8401725,0.8847327,0.8830924,0.8727953,0.8657786,0.8610402,0.8925694,0.86751,0.8953943,0.8865551,0.8706994,0.9242809,0.8894712,0.8540235,0.8295109,0.8611313,0.8659609,0.8211274,0.8447288,0.9076051,0.8671455,0.8619514,0.8546614,0.8646852,0.8621336,0.8515632,0.8588532,0.86022,0.850014,0.9107944,0.8644118,0.8402637,0.7622607,0.8402637,0.8008065,0.8422684,0.8749823,0.8357074,0.8508341,0.8314245,0.7854064,0.7844952,0.8629538,0.8506519,0.8518365,0.7577044,0.7881402,0.7935165,0.7901449,0.8008065,0.8137463,0.8330648,0.7592535,0.7897804,0.7735602,0.7977083,0.7553352,0.7404818,0.7754738,0.7385681,0.8922049,0.7560642,0.7692773,0.7673637,0.8795385,0.852201,0.7741069,0.8205807,0.8466424,0.8094634,0.8290552,0.8126528,0.8283263,0.8311511,0.8745267,0.8714284,0.8231322,0.8308778,0.8775338,0.8301488,0.766179,0.7584334,0.7782075,0.8150221,0.7878668,0.7991663,0.7845863,0.7818525,0.9063293,0.8557549,0.8256837,0.8432708,0.8840948,0.8821812,0.8545703,0.8556638,0.8757113,0.8521099,0.8668721,0.8871019,0.8526567,0.8352517,0.8585798,0.8490117,0.8476447,0.8516543,0.8470981,0.8236789,0.8776249,0.7940633,0.8253192,0.8464602,0.8372566,0.8633183,0.8724308,0.8519276,0.8358896,0.7674547,0.8355252,0.8761669,0.8800853,0.78003,0.8373476,0.8346139,0.8750734,0.8378944,0.88209,0.7487742,0.7893248,0.7657234,0.8430885,0.8417217,0.8007154,0.7670903,0.8661432,0.8746178,0.8241345,0.8111036,0.8919315,0.8967612,0.8758935,0.8948475,0.8923872,0.8342494
108,Tegmental_Nucleus,0.01339538,0.0149445,0.01521788,0.01394213,0.01594688,0.01576463,0.01704038,0.0149445,0.016038,0.01521788,0.01467113,0.01485338,0.0142155,0.0156735,0.01649363,0.016038,0.01631138,0.0164025,0.01558238,0.01795163,0.01649363,0.0149445,0.01467113,0.01631138,0.018225,0.01476225,0.01631138,0.01585575,0.01767825,0.01576463,0.01467113,0.01512675,0.01412438,0.0185895,0.015309,0.01594688,0.0156735,0.01612912,0.01594688,0.0156735,0.01540013,0.01740487,0.01357763,0.01540013,0.0156735,0.01540013,0.01540013,0.0149445,0.0164025,0.01558238,0.01549125,0.0149445,0.01667587,0.0142155,0.01521788,0.0142155,0.01330425,0.01521788,0.01394213,0.013122,0.01585575,0.0142155,0.017496,0.01521788,0.01476225,0.01448888,0.01439775,0.0156735,0.01631138,0.01667587,0.0149445,0.0156735,0.01485338,0.01521788,0.01549125,0.013851,0.01503563,0.01412438,0.01439775,0.01430663,0.01649363,0.01512675,0.0134865,0.01631138,0.01430663,0.01795163,0.01430663,0.01485338,0.015309,0.0164025,0.0149445,0.01366875,0.01357763,0.0142155,0.01458,0.01476225,0.0164025,0.01558238,0.01512675,0.0156735,0.01585575,0.01540013,0.01330425,0.01521788,0.01458,0.0149445,0.01594688,0.01284862,0.0149445,0.01430663,0.01558238,0.01476225,0.01658475,0.01594688,0.01458,0.01512675,0.0164025,0.01503563,0.01549125,0.01467113,0.013851,0.01521788,0.01694925,0.01622025,0.01612912,0.01576463,0.01458,0.01685813,0.01467113,0.01467113,0.016038,0.01503563,0.01412438,0.01540013,0.01366875,0.01430663,0.01394213,0.0149445,0.015309,0.01503563,0.01403325,0.01540013,0.01375988,0.01540013,0.01458,0.01594688,0.01366875,0.01375988,0.01622025,0.01549125,0.01476225,0.01521788,0.01503563,0.01549125,0.013851,0.01394213,0.01585575,0.01375988,0.013851,0.01649363,0.01649363,0.01430663,0.01612912,0.0164025,0.01503563,0.01540013,0.01540013,0.01403325,0.0142155
109,Cochlear_Nucleus,0.4142542,0.424278,0.4415006,0.4669245,0.4435054,0.4305656,0.384912,0.4237313,0.4522534,0.4210886,0.441045,0.441774,0.4012234,0.4407716,0.4113383,0.4189928,0.4269206,0.4113383,0.3963938,0.4034104,0.4491552,0.4032281,0.4032281,0.4325704,0.4139809,0.4052329,0.4136164,0.4136164,0.4209064,0.4610014,0.4365799,0.4573564,0.3639533,0.408969,0.4322059,0.3789889,0.4470593,0.4603635,0.4165324,0.3889215,0.4017701,0.4056885,0.4216354,0.4348485,0.4355775,0.412614,0.4211798,0.396576,0.4094246,0.4188105,0.3971228,0.381267,0.4018613,0.4385846,0.4383112,0.4269206,0.4123406,0.4200863,0.4014056,0.4456924,0.3887393,0.4125229,0.4170792,0.449064,0.4426853,0.3918375,0.3851854,0.4409539,0.4582676,0.4079666,0.4116116,0.4353041,0.3855499,0.3992186,0.4010412,0.4216354,0.4065998,0.4438699,0.4897058,0.4258271,0.4783151,0.4499753,0.4261916,0.4183549,0.435942,0.4582676,0.4321148,0.418446,0.4528001,0.4261005,0.4340284,0.4433231,0.443232,0.4141631,0.4424119,0.4356686,0.4054151,0.4713897,0.4385846,0.4243691,0.4164413,0.414072,0.4383112,0.4625505,0.4249159,0.4297455,0.443961,0.4640996,0.4759459,0.4345751,0.4712074,0.4440521,0.446877,0.3558431,0.445419,0.422091,0.451251,0.4640996,0.4751258,0.4325704,0.4110649,0.4313858,0.4338461,0.431568,0.4582676,0.4513421,0.497178,0.4340284,0.4256449,0.4638263,0.3887393,0.4533469,0.3810848,0.4189928,0.3539295,0.4008589,0.3977606,0.4428675,0.4599079,0.4290165,0.4101536,0.411885,0.4022258,0.443232,0.4168969,0.4181726,0.3876458,0.4173525,0.4240957,0.391473,0.4124318,0.4548049,0.4810489,0.4677446,0.4775862,0.440316,0.4042305,0.3788978,0.3625864,0.3687829,0.424278,0.3833629,0.3949358,0.3922931,0.4269206,0.4422296,0.4158945,0.414801,0.3857321
110,Pontine_Nucleus,0.5235131,0.6025185,0.5688022,0.620379,0.5860249,0.5514885,0.6051611,0.5717183,0.5893965,0.5385488,0.5636992,0.5357239,0.5697135,0.5617856,0.6086239,0.5928593,0.5987824,0.550395,0.5575027,0.6099908,0.6176453,0.6129979,0.607986,0.7000223,0.5233309,0.5665241,0.5374553,0.5718094,0.5595986,0.5966865,0.5736319,0.5500305,0.6817973,0.6387863,0.6187388,0.5771858,0.6230217,0.6385129,0.5469323,0.5327168,0.5749988,0.6474431,0.5872095,0.6237506,0.6716824,0.5886675,0.538731,0.5748165,0.5555891,0.576639,0.5659774,0.5544956,0.5738142,0.5414647,0.5778236,0.5090243,0.5275226,0.5024633,0.6565557,0.6214725,0.5362706,0.6061635,0.5753633,0.5628791,0.5893965,0.59049,0.5739053,0.6516349,0.6078949,0.5143095,0.5471145,0.5876651,0.5052881,0.5018254,0.5332635,0.5334458,0.6030653,0.5379109,0.609444,0.492075,0.5604188,0.5187746,0.4892502,0.4724831,0.4925306,0.450522,0.4867898,0.4849673,0.5286161,0.5733585,0.586845,0.5595986,0.5604188,0.5709893,0.5297096,0.5881208,0.4918016,0.5432873,0.5267025,0.5345393,0.5294363,0.5359061,0.540918,0.5323523,0.5107557,0.5825621,0.5534021,0.562059,0.6165518,0.5863894,0.5659774,0.4712985,0.4671979,0.480411,0.6252998,0.5045592,0.5369996,0.5808308,0.6099908,0.5629703,0.5721739,0.6008782,0.5718094,0.5828355,0.5185013,0.4792264,0.5505773,0.5281605,0.5375464,0.5989646,0.5199593,0.5801929,0.4896146,0.5704425,0.5039213,0.4890679,0.4842383,0.5176811,0.5245155,0.5616945,0.4948999,0.5522175,0.4983626,0.5282516,0.5268848,0.4954467,0.5524909,0.5632436,0.5318055,0.5224196,0.5345393,0.5103911,0.571536,0.5472968,0.5534021,0.5626969,0.5745431,0.5561359,0.5203238,0.5734497,0.6282158,0.5451097,0.4453279,0.5272493,0.5464767,0.5989646,0.499365,0.4617304,0.4799554
111,Reticulotegmental_Nucleus_of_Pons,0.4014968,0.4000387,0.374706,0.4129785,0.3829984,0.4023169,0.4181726,0.4190839,0.4051418,0.3877369,0.3737036,0.4024991,0.3940245,0.3877369,0.4238224,0.4178993,0.3847298,0.3830895,0.3988541,0.4282875,0.3888304,0.399492,0.3993098,0.4599079,0.361584,0.3851854,0.3788067,0.3645,0.3699675,0.3899239,0.374706,0.3848209,0.3647734,0.3864611,0.3516514,0.3709699,0.3603083,0.3829984,0.3682361,0.3704231,0.3728835,0.416988,0.3781688,0.3854588,0.365229,0.3755261,0.3747971,0.3797179,0.3880103,0.355752,0.3886481,0.3979429,0.3930221,0.3757084,0.3602171,0.3714255,0.3714255,0.331695,0.3437235,0.3706054,0.3193931,0.3501022,0.3442703,0.3466395,0.3525626,0.3408986,0.3401696,0.4005855,0.3747971,0.3336998,0.3254074,0.3479153,0.3301459,0.3488265,0.351378,0.3445436,0.3838185,0.3181174,0.3467306,0.3242228,0.3297814,0.336798,0.3347021,0.3563899,0.3306015,0.3539295,0.3268654,0.3254074,0.3209423,0.3755261,0.3832718,0.3629509,0.3760729,0.371061,0.3549319,0.3525626,0.3583035,0.3487354,0.3758906,0.3640444,0.3542029,0.3880103,0.4022258,0.3881925,0.384912,0.337527,0.3274121,0.340443,0.3441791,0.3283234,0.3406253,0.3322418,0.3225825,0.3587591,0.3562076,0.3628598,0.3437235,0.3865523,0.3850943,0.3788978,0.3962115,0.3697852,0.3902884,0.3815404,0.3882836,0.3735214,0.3923843,0.4197218,0.3984896,0.4269206,0.3884659,0.3955736,0.3836363,0.3604905,0.3721545,0.3570278,0.3771664,0.4086045,0.3712433,0.3792623,0.3534739,0.3746149,0.3635888,0.376164,0.384912,0.3624041,0.360126,0.347004,0.3916553,0.4012234,0.368874,0.3772575,0.2989811,0.3215801,0.2990723,0.3737948,0.4028637,0.3590325,0.3641355,0.398763,0.3583035,0.3746149,0.3606728,0.3425389,0.3915641,0.3483709,0.3648645,0.3542029,0.3699675
112,Olivary_Complex,0.9446018,0.9692055,0.9864281,1.008207,0.9941738,0.9614599,0.9612777,0.9728505,0.9788648,0.9523474,0.9686588,0.9617333,0.9282904,0.9390432,0.9836033,0.9656516,1.012672,0.9613688,0.9661072,1.016499,0.9641025,0.9472444,0.9888885,1.050762,0.951345,0.9250099,0.9288372,0.9570859,0.946971,0.9552634,0.9347603,0.957177,0.9298396,1.008207,1.02142,0.9559924,0.9918045,1.015953,0.94041,0.9102476,0.9713925,0.9592729,0.9283815,0.9830565,0.9919868,0.9560835,0.9288372,0.9560835,0.9342135,0.9179022,0.9231874,0.9640114,0.9273791,0.9189045,0.9665629,0.9330289,0.8794474,0.8178469,0.9020464,0.938223,0.8533856,0.8464602,0.8491939,0.8759847,0.88209,0.802629,0.8245901,0.9406834,0.8888333,0.8534768,0.7912384,0.8282351,0.8096457,0.7977994,0.8214919,0.8312423,0.8698792,0.8242257,0.8641384,0.7854975,0.8400814,0.8061829,0.7891425,0.778572,0.7992574,0.8898357,0.8018089,0.8144753,0.8283263,0.9131637,0.8584887,0.8134729,0.8957587,0.9288372,0.88209,0.9289283,0.8671455,0.9107944,0.8919315,0.8904735,0.839079,0.8748912,0.9226407,0.9276525,0.9041423,0.7827638,0.8003509,0.7801211,0.868968,0.853659,0.8610402,0.8214919,0.7916029,0.9922602,0.8403548,0.8000775,0.84564,0.9089719,0.965925,0.8732509,0.8335204,0.883548,0.885006,0.8869197,0.9059648,0.8468246,0.922914,0.8929339,0.882819,0.8922049,0.8160244,0.9116145,0.7957947,0.8305133,0.7489564,0.7769318,0.823041,0.871155,0.8807232,0.8721574,0.8168445,0.8830924,0.8568484,0.8845504,0.871155,0.8692414,0.8717018,0.8763492,0.9266502,0.9012263,0.8837303,0.9694789,0.8276884,0.8275973,0.8161155,0.9158063,0.86022,0.8324269,0.7840395,0.8632271,0.9269235,0.8382589,0.9333023,0.8727953,0.9939004,0.8841859,0.8195783,0.861678,0.8347961
113,Pontine_Reticular_NucleusCaudal,1.420365,1.486249,1.471942,1.457453,1.438317,1.492081,1.48151,1.421003,1.39804,1.435037,1.438955,1.402049,1.471487,1.447338,1.475405,1.504383,1.527528,1.454628,1.484153,1.605896,1.493539,1.502833,1.527164,1.735202,1.451895,1.398587,1.428202,1.408792,1.449617,1.496637,1.458273,1.434034,1.41262,1.622207,1.558055,1.458456,1.450892,1.482604,1.430025,1.375623,1.427655,1.469573,1.458456,1.470849,1.542108,1.506843,1.361316,1.459276,1.431938,1.421915,1.432303,1.46693,1.409522,1.38428,1.541197,1.464834,1.353115,1.269189,1.380908,1.418816,1.374438,1.440048,1.452624,1.41098,1.398131,1.282493,1.272014,1.430025,1.390659,1.435492,1.234653,1.332521,1.218159,1.290786,1.320857,1.357125,1.332977,1.211507,1.286412,1.263539,1.279304,1.243127,1.203579,1.190366,1.18663,1.524066,1.248321,1.244494,1.296709,1.445516,1.471851,1.363959,1.430754,1.467933,1.370976,1.419363,1.358856,1.438317,1.443785,1.405694,1.368242,1.345552,1.316756,1.405148,1.420639,1.235564,1.283222,1.231828,1.3543,1.318943,1.286412,1.25953,1.254609,1.554501,1.393028,1.315845,1.377901,1.428111,1.534909,1.436677,1.405512,1.480964,1.48552,1.435948,1.474403,1.411435,1.43285,1.426288,1.406332,1.437041,1.400682,1.459458,1.362683,1.439684,1.331792,1.36806,1.329058,1.391661,1.504109,1.461372,1.405694,1.352477,1.298896,1.337897,1.401594,1.403234,1.417449,1.449981,1.355849,1.432303,1.426835,1.518234,1.306824,1.314296,1.281855,1.414442,1.449708,1.320128,1.252878,1.424648,1.430025,1.360132,1.317394,1.554866,1.522516,1.424466,1.34054,1.385647,1.401411
114,Spinal_Trigeminal_Nucleus,2.191921,2.068355,2.11009,2.115922,2.034548,2.055051,2.132689,2.082753,1.958459,2.11492,2.145812,1.741854,2.2486,1.902234,2.233929,1.982789,2.225728,2.131596,2.194108,2.199393,2.205316,2.130594,2.144718,2.263272,2.096331,1.989806,2.096695,2.047305,2.050677,2.141984,1.998462,2.113007,2.047943,2.150368,2.207959,2.059698,2.274024,2.211604,2.108906,2.001561,1.955634,2.147634,2.051497,2.157111,2.264092,2.158751,2.042931,1.58029,1.901323,2.027349,2.117654,2.090954,2.106628,1.972856,2.154742,1.855669,1.93349,1.608083,1.648269,1.622116,1.651185,1.701395,1.784865,1.863689,2.022519,1.656561,1.909616,2.122848,2.018145,1.796256,1.726272,1.836169,1.734838,1.663213,1.88246,1.761264,1.924287,1.817762,1.777575,1.8492,1.772017,1.580381,1.466384,1.455357,1.599517,1.713241,1.691371,1.776026,1.485337,1.914992,1.857036,1.516776,1.295798,1.932488,1.922191,2.040653,1.702944,1.979144,1.64918,1.675789,1.718435,1.69128,1.999738,1.94807,1.810927,1.52844,1.39968,1.233741,1.91727,1.904877,1.797167,1.542199,1.699846,1.871708,1.579196,1.439866,1.734929,2.042749,2.002381,1.863962,1.494359,1.653828,1.675971,1.945063,1.951351,1.855943,1.770832,1.886743,1.746957,1.711874,1.435766,1.960281,1.628404,1.737845,1.573364,1.654648,1.737936,1.857401,1.606716,1.865602,1.76819,1.76336,1.908158,1.869247,1.826054,1.676518,1.895947,1.799628,1.882187,1.789239,1.617469,1.776938,1.630773,1.392481,1.345643,1.620111,1.656926,1.805824,1.655741,1.828879,1.716339,1.383642,1.844735,1.963926,1.985067,1.758621,1.722354,1.77876,1.683808
115,Vestibular_Nuclei,1.328147,1.403052,1.36888,1.356396,1.296344,1.292973,1.370793,1.319217,1.331974,1.317941,1.346828,1.258983,1.337533,1.298714,1.36888,1.335346,1.385647,1.277026,1.299169,1.464288,1.390932,1.385556,1.349743,1.459276,1.277117,1.261626,1.281035,1.310195,1.323226,1.30737,1.346645,1.290057,1.309284,1.3697,1.33489,1.299716,1.417541,1.390385,1.275203,1.292153,1.317759,1.3389,1.279577,1.335619,1.39485,1.346554,1.262901,1.2855,1.269007,1.300263,1.287505,1.318123,1.262901,1.277117,1.387378,1.304728,1.229185,1.093956,1.260441,1.237933,1.209502,1.243765,1.266364,1.316756,1.265635,1.167129,1.214605,1.305001,1.238207,1.268916,1.08457,1.149724,1.177608,1.130952,1.203397,1.240485,1.234835,1.094776,1.16394,1.120108,1.161206,1.122204,1.092315,1.087759,1.063702,1.259439,1.106166,1.124118,1.107624,1.26682,1.27976,1.173599,1.248868,1.277664,1.275932,1.273563,1.216063,1.25789,1.259985,1.285227,1.259803,1.179157,1.188088,1.259165,1.184534,1.093591,1.085299,1.105073,1.191642,1.160568,1.177426,1.095596,1.129403,1.305274,1.246499,1.197747,1.274657,1.299351,1.438135,1.316392,1.274657,1.343183,1.244585,1.288234,1.308555,1.227909,1.317121,1.277664,1.25388,1.297529,1.189728,1.304272,1.121293,1.186083,1.143437,1.155101,1.197383,1.259439,1.297711,1.324411,1.212145,1.214514,1.149269,1.235746,1.237113,1.225358,1.228365,1.235108,1.188543,1.207497,1.235746,1.26764,1.167676,1.147173,1.157014,1.26928,1.285409,1.173143,1.104253,1.284498,1.311471,1.193555,1.224173,1.337442,1.306459,1.282311,1.275021,1.223353,1.179978
