ID,Genotype,Sex,Weight,Diet,Age,Allele
N58879,APOE44,Male,31.2,Control,14.77,Non-HN
N58881,APOE44,Male,34.1,Control,14.77,Non-HN
N58889,APOE44,Male,32.8,Control,16.83,Non-HN
N58877,APOE22,Male,27,Control,14.33,HN
N60129,APOE33,Female,28.9,Control,14.5,HN
N60131,APOE33,Male,32.3,Control,14.5,HN
N60127,APOE33,Male,35.9,Control,14.5,HN
N60139,APOE33,Male,33.8,Control,14.5,HN
N58917,APOE33,Female,40.9,Control,15.5,Non-HN
N58995,APOE33,Female,29,Control,15.5,Non-HN
N59005,APOE33,Female,33.2,Control,15.5,Non-HN
N58857,APOE33,Female,28.9,Control,15.0,Non-HN
N58859,APOE33,Female,28.1,Control,15.0,Non-HN
N58861,APOE33,Female,26.8,Control,15.03,Non-HN
N59065,APOE33,Male,34.6,Control,15.03,Non-HN
N59066,APOE33,Male,35.7,Control,15.03,Non-HN
N59080,APOE22,Male,/,Control,15.03,Non-HN
N58948,APOE44,Female,52.6,HFD,16.37,HN
N59072,APOE44,Male,28.4,Control,16.07,HN
N58935,APOE44,Male,29.5,Control,16.07,HN
N59039,APOE44,Male,33.4,Control,16.07,HN
N58946,APOE44,Male,45.3,HFD,15.87,HN
N58954,APOE44,Male,51.1,HFD,15.87,HN
N59033,APOE44,Female,30.2,Control,15.87,HN
N59022,APOE44,Female,26.5,Control,15.87,HN
N59035,APOE44,Female,25.5,Control,15.87,HN
N59026,APOE44,Female,25.5,Control,15.6,HN
N59109,APOE33,Male,51.8,HFD,15.67,HN
N59097,APOE33,Male,53.6,HFD,15.7,HN
N59099,APOE33,Male,66.2,HFD,15.67,HN
N59116,APOE33,Female,57.7,HFD,15.67,HN
N59118,APOE33,Female,54.3,HFD,17.27,HN
N59120,APOE33,Female,52.2,HFD,15.63,HN
N59041,APOE44,Male,26.6,Control,16.1,HN
N58941,APOE44,Male,49.9,HFD,15.93,HN
N60056,APOE22,Female,40.9,HFD,15.07,HN
N60058,APOE22,Female,33.9,HFD,15.07,HN
N60060,APOE22,Female,27.3,HFD,15.07,HN
N60062,APOE22,Female,28.2,HFD,15.07,HN
N60068,APOE22,Female,36.6,HFD,15.07,HN
N59136,APOE33,Male,52.1,HFD,15.77,HN
N59140,APOE33,Male,47.3,HFD,15.77,HN
N59141,APOE33,Female,44.8,HFD,15.83,HN
N60095,APOE22,Male,38.1,HFD,15.43,HN
N60133,APOE33,Female,26.7,Control,15.87,HN
N60137,APOE33,Female,26.8,Control,15.87,HN
N60198,APOE33,Female,34.3,Control,15.87,HN
N60103,APOE22,Male,34.7,HFD,15.03,HN
N60097,APOE22,Male,42,HFD,15.03,HN
N60163,APOE22,Female,23.5,Control,14.33,HN
N60169,APOE22,Female,22,Control,14.33,HN
N60190,APOE22,Female,27,Control,14.33,HN
N60188,APOE22,Female,26.1,Control,14.3,HN
N60200,APOE22,Female,26.1,Control,14.33,HN
N60192,APOE22,Male,34.5,Control,13.63,HN
N58997,APOE33,Male,37.1,Control,13.17,Non-HN
N58999,APOE33,Male,36.3,Control,13.17,Non-HN
N59010,APOE33,Male,37.2,Control,12.77,Non-HN
N59078,APOE44,Male,43.1,HFD,14.07,HN
N59076,APOE44,Female,25.6,Control,14.07,HN
