A24a,A24aPrime,A24b,A24bPrime,A29a,A29b,A29c,A30,A32,Au1,AuD,AuV,DLO,Fr3,FrA,Ins,LO,LPtA,M1,M2,MO,MPtA,PtPR,S1,S1BF,S1DZ,S1FL,S1HL,S1J,S1Sh,S1Tr,S1ULp,S2,TeA,V1,V1B,V1M,V2L,V2ML,V2MM,VO,CEnt,DIEnt,DLEnt,MEnt,VIEnt,Cl,DCl,PLCo,VCl,Hc,DTT,Ect,PaS,PRh,PrS,Pir,APir,Hyp,Preopt,Sthal,SPT,GP,CPu,Amy,Acb,BNst,Vpal,PAG,APT,VTA,Thal_R,VT,LDNT,MGN,LGN,ZI,RTN,Sub_PP,DpMe,SC,IC,SN,RPC,MRN,RI,Cn,PrCn,BS_R,Iped,Cb_1_10,Den,Int,FasDL,FasMed,Vll,ParB,KF,PCRt,CG,Su5,m5,5N,PnO,Raph,Pr5,DTg,Tg,CoN,Pn,RTg,Oliv,PnC,Sp5,Ve,Gi,Cu,ac,ot,fi,cc,fx,st,cg,lo,vhc,ic,fr,sm,mt,pc,bsc,cp,ll,sp5,py,n8,n7,lfp,mlf_ts,sc,ml,vsc,mcp,scp,icp_oc_tz,cbw,LV,A25,das,Post,4V,MiTg,PT,LDVL,LP,Athal,RMC,PaR,RR,CSF,IRN,PHD_PaMP_Post_and_LatHy,PR_p3Tg_L,PVG,BLA,A24a.1,A24aPrime.1,A24b.1,A24bPrime.1,A29a.1,A29b.1,A29c.1,A30.1,A32.1,Au1.1,AuD.1,AuV.1,DLO.1,Fr3.1,FrA.1,Ins.1,LO.1,LPtA.1,M1.1,M2.1,MO.1,MPtA.1,PtPR.1,S1.1,S1BF.1,S1DZ.1,S1FL.1,S1HL.1,S1J.1,S1Sh.1,S1Tr.1,S1ULp.1,S2.1,TeA.1,V1.1,V1B.1,V1M.1,V2L.1,V2ML.1,V2MM.1,VO.1,CEnt.1,DIEnt.1,DLEnt.1,MEnt.1,VIEnt.1,Cl.1,DCl.1,PLCo.1,VCl.1,Hc.1,DTT.1,Ect.1,PaS.1,PRh.1,PrS.1,Pir.1,APir.1,Hyp.1,Pre_Tel,Sthal.1,SPT.1,GP.1,CPu.1,Amy.1,Acb.1,BNst.1,Vpal.1,PAG.1,APT.1,VTA.1,Thal_R.1,VT.1,LDNT.1,MGN.1,LGN.1,ZI.1,RTN.1,Sub_PP.1,DpMe.1,SC.1,IC.1,SN.1,RPC.1,MRN.1,RI.1,Cn.1,PrCn.1,BS_R.1,Iped.1,Cb_1_10.1,Den.1,Int.1,FasDL.1,FasMed.1,Vll.1,ParB.1,KF.1,PCRt.1,CG.1,Su5.1,m5.1,5N.1,PnC.1,Raph.1,Pr5.1,DTg.1,Tg.1,CoN.1,Pn.1,RTg.1,Oliv.1,PnRt,Sp5.1,Ve.1,Gi.1,Cu.1,ac.1,ot.1,fi.1,cc.1,fx.1,st.1,cg.1,lo.1,vhc.1,ic.1,fr.1,sm.1,mt.1,pc.1,bsc.1,cp.1,ll.1,sp5.1,py.1,n8.1,n7.1,lfp.1,mlf_ts.1,sc.1,ml.1,vsc.1,mcp.1,scp.1,icp_oc_tz.1,cbw.1,LV.1,A25.1,das.1,Post.1,4V.1,MiTg.1,APT.2,LDVL.1,LP.1,AThal,RMC.1,PaR.1,RR.1,CSF.1,IRN.1,PHD_PaMP_Post_and_LatHy.1,PR_p3Tg_L.1,PVG.1,BLA.1
0.3152649,0.307638,0.2124137,0.21894070000000002,0.2625367,0.2360045,0.33529549999999997,0.2092697,0.1787828,0.177086,0.1665966,0.185409,0.1789159,0.14285789999999998,0.176286,0.21786889999999998,0.2072466,0.11285839999999998,0.19253879999999998,0.2025666,0.18450129999999998,0.15225650000000002,0.1046142,0.1772289,0.1892684,0.1933747,0.1933838,0.1808421,0.13779860000000002,0.1256455,0.1180164,0.1592097,0.1801128,0.1753637,0.12054780000000001,0.1215129,0.1665124,0.1402524,0.17550860000000001,0.17780520000000002,0.2561876,0.19516820000000001,0.21090630000000002,0.23424829999999996,0.1636261,0.1955414,0.3680148,0.3818261,0.258677,0.4500005999999999,0.27417709999999995,0.15667479999999998,0.21310279999999998,0.20063989999999998,0.2377928,0.1737007,0.267269,0.16194260000000002,0.2168216,0.2556393,0.3639809,0.30680759999999996,0.315784,0.24992089999999997,0.2384575,0.21270219999999998,0.2950658,0.3210812,0.2209225,0.2507244,0.3741972,0.275046,0.28667459999999995,0.22722889999999998,0.2745599,0.3316962,0.3482426,0.3730468,0.2971109,0.28567370000000003,0.24980700000000003,0.2567932,0.3724575,0.3014128,0.33079949999999997,0.367292,0.2954202,0.27018459999999994,0.37001090000000003,0.25705,0.27981890000000004,0.3674828,0.2932254,0.3175377,0.36192959999999996,0.36851269999999997,0.2964292,0.3222506,0.2667246,0.2547981,0.2906265,0.42255119999999996,0.24046309999999999,0.301483,0.4360321,0.3449007,0.23080100000000003,0.35380459999999997,0.3839407,0.46332790000000007,0.36256669999999996,0.2618495,0.2058448,0.3122836,0.3420057,0.27500159999999996,0.33224570000000003,0.6140406999999999,0.6942145000000001,0.6936334,0.5278876,0.571126,0.7268803,0.5004086,0.5406291,0.6603178000000001,0.6304964,0.4949527,0.5759076,0.4701982,0.42469490000000004,0.5431600000000001,0.6760775,0.4375587,0.6474726,0.6901853,0.6626953000000001,0.5355175,0.5866492,0.4228357,0.655149,0.46657730000000003,0.5341861999999999,0.7538739000000001,0.4758273,0.6157913,0.46092879999999997,0.20236529999999997,0.2247848,0.5202846999999999,0.2667663,0.17563710000000002,0.2591137,0.26985679999999995,0.24913049999999998,0.24519829999999998,0.29461729999999997,0.40998370000000006,0.31428959999999995,0.37645159999999994,0.1782358,0.2367922,0.3154567,0.4182607,0.2807935,0.24444179999999996,0.31280979999999997,0.2893193,0.21916390000000002,0.2344781,0.2749934,0.25384059999999997,0.3312334,0.22402260000000002,0.1862454,0.15633570000000002,0.158145,0.17905770000000001,0.1907511,0.1489463,0.1758274,0.22398969999999999,0.208027,0.1126758,0.18544560000000002,0.2117978,0.194676,0.16959820000000003,0.11557429999999999,0.1697318,0.1872318,0.1756247,0.19001120000000002,0.19820410000000002,0.1473063,0.1379157,0.1218326,0.1506128,0.1780592,0.1665816,0.1119499,0.12071580000000001,0.1702463,0.134222,0.16868470000000002,0.18221500000000002,0.2507606,0.1988432,0.22428389999999998,0.2428529,0.1523014,0.1955319,0.4086376,0.3756138,0.27859659999999997,0.451945,0.2815333,0.1575456,0.2116699,0.21065770000000003,0.24249659999999998,0.20637660000000002,0.2689623,0.16986199999999999,0.2201009,0.2554709,0.3469528,0.31042859999999994,0.29551540000000004,0.257088,0.2390016,0.21799339999999998,0.2921793,0.3109435,0.2330105,0.26986350000000003,0.3752284,0.27674709999999997,0.2834625,0.2445862,0.28186669999999997,0.3513255,0.3424667,0.3719378,0.3167807,0.3003258,0.2535481,0.27026669999999997,0.378396,0.3020281,0.3463902,0.37118809999999997,0.309067,0.3010751,0.376445,0.2421106,0.286579,0.3725699,0.3044579,0.3175192,0.36298359999999996,0.3532264,0.30673059999999996,0.32447950000000003,0.2611395,0.2604282,0.2932522,0.4222827,0.22801799999999997,0.29466529999999996,0.4419956,0.33062790000000003,0.23785509999999999,0.35783400000000004,0.3979479,0.4677001,0.3522328,0.269024,0.2073655,0.33293829999999996,0.3425804,0.27889250000000004,0.3344776,0.6087273,0.6865423,0.7013326999999999,0.5184028,0.5625603,0.7399198,0.4998838,0.5659187,0.6648414,0.6087453,0.5101125,0.5824431999999999,0.4769562,0.4773428,0.5518641,0.6666546,0.47312780000000004,0.65233,0.7064746999999999,0.6366457,0.563561,0.6564241999999999,0.4304661,0.7135444000000001,0.4478456,0.5184491,0.7568807,0.4906805,0.6083151,0.4597375,0.21805389999999997,0.24325479999999997,0.5512564999999999,0.3179667,0.24472310000000003,0.2787334,0.26254099999999997,0.30930559999999996,0.2528468,0.2883197,0.42967510000000003,0.31664190000000003,0.3727446,0.1788224,0.2371143,0.32389520000000005,0.4290549,0.3055565,0.2474417
0.31083,0.2953031,0.2076843,0.20974770000000004,0.2710337,0.21721149999999997,0.3180842,0.2182281,0.17215239999999998,0.17545479999999997,0.1667838,0.17321589999999998,0.17749600000000001,0.1543635,0.1727281,0.20886679999999996,0.1952185,0.1223424,0.1849813,0.1994996,0.1915047,0.1685056,0.11354739999999999,0.1749692,0.1911973,0.18282020000000002,0.1953861,0.19059949999999998,0.14050439999999997,0.1347533,0.12437730000000001,0.15646870000000002,0.1760338,0.1695911,0.10708599999999999,0.1257276,0.16505379999999997,0.1496116,0.16629229999999998,0.1820025,0.2433196,0.1958888,0.2141067,0.22574960000000002,0.1362743,0.1848049,0.3699991,0.360621,0.2392697,0.4447342000000001,0.2746482,0.1580653,0.2041259,0.2024579,0.2343985,0.1776779,0.2679284,0.17940889999999998,0.20543920000000002,0.234469,0.3564413,0.2956023,0.3058853,0.24101079999999997,0.236604,0.2013296,0.30325440000000004,0.2936249,0.22716639999999996,0.2347696,0.3615136,0.27096020000000004,0.2826512,0.2304991,0.2643704,0.3288477,0.3525014,0.3740686,0.29059009999999996,0.28858140000000004,0.236303,0.2588149,0.3763386,0.2928059,0.33662270000000005,0.3499127,0.3068371,0.2793948,0.35301409999999994,0.2344348,0.28065,0.37286090000000005,0.2947651,0.31128940000000005,0.3657732,0.34498249999999997,0.29532859999999994,0.3250268,0.2512494,0.2476138,0.3104376,0.3924638,0.21977829999999998,0.29058259999999997,0.4131212,0.3297299,0.22353670000000003,0.3503438,0.3981628,0.4297411,0.3401635,0.24906810000000001,0.1991685,0.29702470000000003,0.3397542,0.2511795,0.3360277,0.6074653,0.6675321,0.6927057,0.5215337,0.541582,0.734952,0.4924559,0.5267085,0.6209302,0.6177676,0.4804271,0.5843816,0.44596030000000003,0.4323616,0.561729,0.6646407,0.45126400000000005,0.6341414000000001,0.6457929,0.6595169,0.5406401999999999,0.588436,0.3837797,0.6340439,0.45503879999999997,0.5117729,0.7385845,0.4433237,0.5875231,0.45028050000000003,0.2055536,0.23320029999999997,0.5481625,0.2503846,0.1762141,0.2654282,0.2474748,0.26210289999999997,0.24852039999999997,0.2855121,0.3842408,0.3257469,0.3725095,0.1722223,0.23272420000000002,0.31287059999999994,0.4035179,0.2833082,0.23303110000000002,0.3109385,0.2862695,0.2119973,0.2167701,0.2669292,0.2272051,0.3181651,0.21616970000000002,0.1786037,0.15306470000000003,0.14919449999999998,0.163332,0.17247010000000002,0.1465774,0.1687489,0.2039083,0.1986572,0.1271954,0.182557,0.2051375,0.203345,0.1639664,0.1281868,0.158979,0.18418829999999997,0.1746954,0.1847387,0.18390510000000002,0.1399954,0.14723699999999998,0.1227482,0.1477535,0.17421270000000003,0.16369260000000002,0.1213346,0.12015289999999999,0.1602559,0.1318733,0.17846070000000003,0.1803239,0.2516581,0.19960429999999998,0.23101239999999998,0.24498760000000003,0.1628302,0.2042378,0.3884062,0.3865376,0.28966390000000003,0.42317669999999996,0.28080029999999995,0.1444795,0.2107157,0.19777920000000002,0.2451237,0.20019070000000003,0.2688188,0.2181089,0.2099424,0.24198609999999998,0.354696,0.2962401,0.2899722,0.24089090000000002,0.23861,0.2105342,0.2978416,0.298553,0.2273715,0.24505729999999998,0.3627269,0.2679808,0.27671890000000005,0.2295915,0.2687062,0.32987059999999996,0.3484472,0.3684875,0.30781290000000006,0.29506740000000004,0.23915450000000002,0.263179,0.364373,0.2960923,0.3349121,0.3538653,0.3069008,0.28829520000000003,0.35322790000000004,0.23906999999999998,0.2842676,0.3719245,0.29814450000000003,0.3168738,0.36732790000000004,0.3538792,0.2934929,0.3230375,0.263221,0.24047529999999998,0.28177859999999993,0.3883933,0.236823,0.2866327,0.416034,0.3325579,0.22630799999999998,0.3382746,0.4164581,0.4392638,0.3489414,0.2622099,0.20520970000000002,0.30687729999999996,0.33103790000000005,0.2613956,0.3136914,0.6088412,0.6772804,0.6923199999999999,0.5055975,0.5398361,0.7369285,0.4890528,0.5515909000000001,0.6414721,0.6035661,0.4792332,0.5961867,0.4414129,0.4478432,0.568238,0.669409,0.45535290000000006,0.6363747,0.6624114999999999,0.6392964,0.5656713000000001,0.6472667,0.38290250000000003,0.6476775,0.43063549999999995,0.5168505999999999,0.7418637,0.43679629999999997,0.5924679,0.4511733,0.2195436,0.25472110000000003,0.495972,0.2861497,0.1687109,0.26701529999999996,0.24778850000000002,0.2865033,0.23504339999999999,0.27892449999999996,0.39869740000000004,0.26044989999999996,0.37680820000000004,0.16511779999999998,0.24469229999999997,0.31554590000000005,0.41172359999999997,0.28974590000000006,0.2535464
0.3163689,0.2907099,0.20688179999999998,0.2253181,0.2600683,0.2333337,0.3156191,0.21199410000000002,0.1808669,0.1454508,0.1420287,0.1594031,0.1838807,0.1421885,0.1761291,0.1893365,0.21278060000000001,0.1121819,0.1787238,0.1998801,0.1879551,0.15954770000000001,0.09685978,0.1394501,0.1889854,0.19224520000000003,0.1924371,0.1749895,0.1386815,0.11247049999999999,0.11058,0.1412594,0.15060420000000002,0.16068179999999999,0.1059463,0.1099625,0.1542481,0.11874030000000001,0.1691561,0.1841523,0.2541198,0.1896661,0.21196700000000002,0.24956279999999997,0.171302,0.1991175,0.408112,0.3285444,0.2561876,0.3943934,0.26926609999999995,0.14412779999999997,0.18745870000000003,0.207702,0.22550389999999998,0.19737879999999997,0.2586265,0.19072879999999998,0.2004479,0.2278471,0.3648145,0.2940955,0.2941551,0.2293245,0.2211987,0.2050154,0.28550240000000005,0.283622,0.2233929,0.2459228,0.3660476,0.2690956,0.2865247,0.22531710000000002,0.2584686,0.3223783,0.3474587,0.3831719,0.2941527,0.29049709999999995,0.2430842,0.2610634,0.3728907,0.3184853,0.3364452,0.3730809,0.30058379999999996,0.2757423,0.3462841,0.25738130000000004,0.277616,0.3806035,0.3069568,0.3108958,0.36941940000000006,0.3532287,0.291173,0.3199013,0.2575563,0.2483485,0.3091954,0.4160928,0.247507,0.2923465,0.44211049999999996,0.3402463,0.2229899,0.34595549999999997,0.3992501,0.4405516,0.3702103,0.2411674,0.2120054,0.30065990000000004,0.3499804,0.26676700000000003,0.3216965,0.6074094,0.6817674,0.6822469,0.511989,0.5446122,0.7289524000000001,0.4787518,0.5155103,0.657971,0.6252673000000001,0.5054989000000001,0.5688316999999999,0.4742706,0.4357004,0.5533568,0.6778951,0.45845929999999996,0.6288302,0.6363196,0.6794088,0.6138736,0.5723161999999999,0.38379450000000004,0.6013035,0.4677384,0.5163289000000001,0.7507182,0.4463026,0.6290233000000001,0.4622987,0.1856429,0.2412455,0.544686,0.24170879999999997,0.17691310000000002,0.2716221,0.2554298,0.2555019,0.2420667,0.2898875,0.39553979999999994,0.30806849999999997,0.37981020000000004,0.1766193,0.243211,0.3173787,0.41627020000000003,0.3017652,0.22508029999999998,0.3063209,0.276565,0.2103356,0.2234945,0.2674863,0.23377759999999997,0.31225,0.21632910000000002,0.180561,0.14615479999999997,0.1420681,0.1620616,0.1853868,0.1408836,0.1733814,0.1992568,0.19829929999999998,0.11431559999999999,0.17784460000000002,0.2008625,0.1876219,0.15586889999999998,0.1060392,0.1505392,0.17882520000000002,0.16986020000000002,0.17908510000000002,0.1788489,0.1297333,0.12922999999999998,0.1119534,0.1476492,0.15845789999999998,0.1560501,0.09774278,0.10206,0.1537896,0.11401010000000002,0.1500909,0.1690641,0.24057699999999999,0.18946559999999998,0.20762150000000001,0.23286759999999998,0.151132,0.18654779999999999,0.4053737,0.35299749999999996,0.2791533,0.41424700000000003,0.2707624,0.1518483,0.20106079999999998,0.2026458,0.23278829999999998,0.18716570000000002,0.2592004,0.1896283,0.2061011,0.23983520000000003,0.35323940000000004,0.2915551,0.2967169,0.2375452,0.2413565,0.2022023,0.292543,0.29363049999999996,0.24031100000000002,0.2447906,0.3634667,0.2644331,0.2676947,0.22411060000000002,0.26398879999999997,0.3275437,0.34796309999999997,0.3676167,0.3115934,0.3083204,0.240826,0.2712759,0.3792745,0.3271539,0.3448961,0.3782157,0.3185281,0.3003114,0.3479534,0.2556564,0.2719051,0.3840418,0.3030309,0.30771040000000005,0.36047009999999996,0.3418857,0.2997015,0.323477,0.2514636,0.2473571,0.30617300000000003,0.4426365,0.2376155,0.28583179999999997,0.426171,0.3323578,0.2288585,0.3338434,0.3949062,0.45035569999999997,0.3285324,0.24120860000000002,0.20555389999999998,0.2851835,0.33856679999999995,0.2540219,0.3051282,0.5970171999999999,0.681707,0.6836566,0.4984018,0.5376022,0.7331579,0.46973980000000004,0.5414366,0.6486536,0.6137792,0.4652616,0.5892618000000001,0.4665398,0.4338119000000001,0.5779423,0.6577488,0.44803729999999997,0.6250945,0.6477585,0.6508301,0.6326982,0.544041,0.39076740000000004,0.6170769,0.4389206,0.5105323,0.7394460999999999,0.4538957,0.6207632,0.4531755,0.1999148,0.2369567,0.5472607,0.2914682,0.17000829999999997,0.2718642,0.23453569999999999,0.2916835,0.23887729999999996,0.2738041,0.41365640000000004,0.3039304,0.3816465,0.18128339999999998,0.24195999999999998,0.3325043,0.4359327,0.27535740000000003,0.25030389999999997
0.29338459999999994,0.27983620000000003,0.2133879,0.2345134,0.27188390000000007,0.2214027,0.3282854,0.22057190000000002,0.1828187,0.16551749999999998,0.1473953,0.1696542,0.1817219,0.1268872,0.16920120000000002,0.1883928,0.1939477,0.1158794,0.1714612,0.2008428,0.1906807,0.165259,0.10364809999999999,0.14573470000000002,0.1759838,0.17977020000000002,0.1850154,0.1769206,0.12660410000000002,0.11117069999999998,0.11854160000000001,0.1376229,0.1546145,0.1560744,0.1170876,0.12476300000000001,0.15527620000000003,0.1207923,0.1550756,0.1779126,0.2386799,0.1800177,0.20362950000000002,0.2141196,0.1484511,0.1826902,0.4025106,0.36040690000000003,0.26472540000000006,0.4188535,0.2661544,0.14963089999999998,0.1798808,0.2106915,0.20583379999999998,0.2032197,0.2563497,0.2002354,0.2001773,0.23630679999999998,0.35518330000000004,0.2873215,0.2873824,0.23510309999999998,0.23154299999999997,0.20941469999999998,0.2811931,0.28718140000000003,0.2266839,0.24242929999999996,0.36032220000000004,0.2635367,0.27445240000000004,0.2241485,0.2565326,0.3358012,0.34296459999999995,0.3761957,0.29502399999999995,0.2934938,0.24698029999999999,0.2696352,0.3714328,0.3063373,0.3305573,0.3719627,0.29745540000000004,0.2814595,0.34661529999999996,0.24493449999999997,0.2701412,0.3809282,0.3083242,0.3113964,0.349455,0.3407708,0.2744917,0.29918890000000004,0.24901350000000003,0.24700450000000002,0.28286609999999995,0.43634220000000007,0.23342800000000002,0.2935873,0.4270933,0.32566300000000004,0.2248471,0.32395050000000003,0.38853740000000003,0.4299449000000001,0.3523093,0.2436611,0.19568870000000002,0.28203059999999996,0.32765120000000003,0.25550389999999995,0.3262516,0.6083783,0.6814606,0.6397479,0.513469,0.5424392,0.7076643,0.49033290000000007,0.5387369000000001,0.6507426,0.6211025,0.46402669999999996,0.5684735,0.4602174,0.4341067,0.5094443000000001,0.6592511999999999,0.4425867,0.6256558000000001,0.6513262,0.6505765,0.5823588000000001,0.5936284000000001,0.40466540000000006,0.6572631,0.45031190000000004,0.5076268,0.7444016,0.45076009999999994,0.6194349,0.45540109999999995,0.1655501,0.2421271,0.5307155,0.2553124,0.1685646,0.2625612,0.23802150000000002,0.2584144,0.23746199999999998,0.2903018,0.3947605,0.3186897,0.3814652,0.1605056,0.2267795,0.3031061,0.4093725,0.2787335,0.2452599,0.29851259999999996,0.2667468,0.2063936,0.2049201,0.285192,0.20904789999999998,0.3095932,0.2135581,0.1806067,0.1548065,0.1309285,0.152705,0.1822648,0.1412715,0.1690402,0.1858167,0.2005767,0.09734714,0.1749467,0.2000192,0.19471549999999999,0.1559058,0.1016077,0.1476291,0.1787984,0.174682,0.1826394,0.1818942,0.12705450000000001,0.1268071,0.11493540000000001,0.13722579999999998,0.14797470000000001,0.1374527,0.1112056,0.11872930000000001,0.1586342,0.112397,0.1556611,0.17611529999999997,0.24374160000000003,0.1850307,0.20441389999999998,0.22522319999999998,0.1595432,0.1853424,0.4160892,0.3299778,0.257888,0.39795359999999996,0.268821,0.15176579999999998,0.15628820000000002,0.21844149999999998,0.19439620000000002,0.211277,0.2513805,0.1735617,0.2068916,0.234544,0.34048259999999997,0.287697,0.28532199999999996,0.2317636,0.22524470000000002,0.20585949999999997,0.27767470000000005,0.2900081,0.22760429999999995,0.24751639999999997,0.35837070000000004,0.2645384,0.279632,0.2347447,0.27966940000000007,0.33021269999999997,0.33896079999999995,0.37455900000000003,0.29525429999999997,0.2995991,0.24508429999999998,0.27444250000000003,0.36688940000000003,0.29280900000000004,0.34395180000000003,0.3740513,0.3268904,0.3100412,0.34525690000000003,0.2348303,0.2782182,0.3774447,0.2934765,0.3148198,0.3631267,0.3589206,0.2885643,0.32318959999999997,0.2575104,0.2468212,0.2959312,0.4198959,0.24692229999999998,0.2877982,0.434283,0.3408256,0.2243491,0.312845,0.4130902,0.43371590000000004,0.32816799999999996,0.2442726,0.20683449999999998,0.27410209999999996,0.3379567,0.262794,0.3271011,0.6040196999999999,0.6840210999999999,0.6423533,0.50457,0.5693236999999999,0.7166901,0.46895640000000005,0.5354879,0.6522796999999999,0.6134056,0.45629319999999995,0.5861228,0.4492706,0.4338641,0.5627151,0.660647,0.4855438,0.6448198,0.6504145,0.6429746999999999,0.6169022,0.58175,0.4127071,0.6831253,0.4535251,0.5304051,0.7532843000000001,0.4363252,0.620113,0.4548351,0.16636579999999998,0.2508379,0.5391688,0.25571,0.1684146,0.2953126,0.25174989999999997,0.2770449,0.2230125,0.2865811,0.39322209999999996,0.3431829,0.3928295,0.16048110000000002,0.2485473,0.3187955,0.4269489000000001,0.3123155,0.2331842
0.2891385,0.28969040000000007,0.2033811,0.21145770000000003,0.25055479999999997,0.24936309999999998,0.3156786,0.22180010000000003,0.1599931,0.14733949999999998,0.15291670000000002,0.1646214,0.1690936,0.14305009999999999,0.17573060000000001,0.1932463,0.208452,0.1303503,0.1784351,0.1902613,0.1833767,0.1862421,0.11392419999999999,0.1581428,0.1796644,0.1690429,0.1811813,0.1732963,0.1347244,0.1134549,0.13058430000000001,0.1445339,0.14662039999999998,0.14990050000000002,0.108154,0.11350739999999998,0.1444971,0.12296880000000002,0.15451629999999997,0.17837709999999998,0.2550908,0.18409560000000003,0.1807493,0.1780479,0.1259789,0.1683791,0.3571592,0.3478653,0.2574647,0.41103729999999994,0.2542087,0.1574863,0.1976075,0.2012876,0.20710320000000002,0.182178,0.2562742,0.1700848,0.21442719999999998,0.22662190000000001,0.34706479999999995,0.28611440000000005,0.2926818,0.226888,0.2372365,0.1969234,0.308745,0.2655945,0.2144123,0.2318134,0.3555003,0.265144,0.2766425,0.2158423,0.25486179999999997,0.30995429999999996,0.3372386,0.3676485,0.28179,0.2780924,0.2416695,0.2607063,0.3659828,0.3002801,0.30685159999999995,0.3492625,0.28610440000000004,0.27871490000000004,0.3458034,0.2628313,0.26995490000000005,0.3561788,0.2782206,0.29848470000000005,0.33463940000000003,0.3149147,0.260179,0.3063322,0.24331799999999998,0.2506402,0.26682690000000003,0.43166759999999993,0.24905700000000003,0.27676880000000004,0.40841459999999996,0.3488236,0.2014118,0.2933249,0.40401509999999996,0.4525198,0.3735765,0.241073,0.234129,0.277663,0.3295862,0.27136570000000004,0.337046,0.6020684000000001,0.6875033,0.6638261999999999,0.49164079999999993,0.5409975,0.7153757,0.4750887,0.5332222,0.6521805,0.6041641,0.4739387,0.5884794,0.43898149999999997,0.38846640000000005,0.547242,0.6720125,0.4238588,0.610612,0.6173776999999999,0.6519074,0.6163071,0.5966117,0.4192714,0.6729227,0.441144,0.514605,0.7277103,0.40264759999999994,0.6190449,0.43918379999999996,0.183781,0.21219490000000002,0.5147178,0.267375,0.1695371,0.2560631,0.2510618,0.23711079999999998,0.22307950000000001,0.2821776,0.37849629999999995,0.3077797,0.35480320000000004,0.217705,0.2557533,0.33901090000000006,0.42090070000000007,0.3081001,0.23083789999999998,0.29039040000000005,0.274002,0.20938389999999998,0.2083222,0.25443330000000003,0.224566,0.3180666,0.2183446,0.1782656,0.15223710000000001,0.1399924,0.16261170000000003,0.17205789999999999,0.1315991,0.1642503,0.1914385,0.2108114,0.1213847,0.1783796,0.20116679999999998,0.1972201,0.1770694,0.118305,0.1425668,0.18427000000000002,0.17985109999999999,0.1876354,0.18336470000000002,0.13068039999999997,0.133772,0.12238740000000001,0.14011400000000002,0.1532149,0.147386,0.10360150000000001,0.10793410000000002,0.1427112,0.1214431,0.15387699999999999,0.17667420000000003,0.26972270000000004,0.1757484,0.17923229999999998,0.18894670000000002,0.129684,0.1703142,0.3841522,0.3395188,0.26467340000000006,0.4065261,0.2600709,0.1552354,0.18999470000000002,0.1942077,0.2105287,0.18005410000000002,0.2546101,0.1771135,0.2197527,0.2314252,0.3552425,0.29043850000000004,0.28167729999999996,0.22688579999999997,0.2362104,0.20731679999999997,0.30021620000000004,0.28870690000000004,0.21928320000000004,0.2547536,0.35507849999999996,0.2680422,0.2794232,0.2330509,0.2733616,0.32536679999999996,0.3488033,0.3597405,0.2848005,0.2842185,0.24269659999999998,0.2629311,0.3698474,0.3007149,0.3205547,0.3616917,0.2920312,0.28456329999999996,0.3437072,0.2726932,0.2753813,0.355904,0.29325070000000003,0.2955702,0.33644009999999996,0.33517329999999995,0.2636967,0.3140942,0.2462021,0.2589819,0.27215300000000003,0.4511582,0.25031590000000004,0.2808923,0.4083873,0.3556558,0.2035366,0.2792383,0.40408590000000005,0.45869670000000007,0.3685131,0.2437459,0.23454339999999999,0.2856631,0.33739640000000004,0.27008920000000003,0.32119709999999996,0.6047130999999999,0.6977522,0.6753690999999999,0.4901365,0.5377005,0.7258174,0.49638109999999996,0.5632142,0.6360219,0.5940095999999999,0.4607303,0.5918101,0.42444709999999997,0.3887703,0.5778525999999999,0.6605333000000001,0.4550031,0.6184475,0.6412614999999999,0.6262054,0.6465865,0.5871357,0.4123946,0.6812431999999999,0.42107609999999995,0.5169652,0.7329289000000001,0.4130183,0.6049495,0.44468670000000005,0.19310070000000001,0.22619160000000002,0.5041553,0.25881529999999997,0.17055979999999998,0.2633493,0.253832,0.26565659999999996,0.2390013,0.29293420000000003,0.3924453,0.2914718,0.3685405,0.2053506,0.261335,0.346619,0.4299031,0.2853427,0.21978240000000002
